local,year,fleet_monitored,assisted_trips,estimated_fishermen,production_ton,local_original,local_norm,local_canonical,total_vessels,fleet_production_ton,fishermen_per_vessel,cpue,total_production_ton,species_richness,shannon_index,pielou_index,sp_production_ton,lat,lon,region,port_name
GUAMARE,2006,50.0,1224,158.87,48.93,GUAMARE,GUAMARE,GUAMARE,51,48.93,3.18,0.004995915032679738,48.92,29,2.566,0.762,48.919999999999995,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2006,199.0,3454,504.59,216.66,MACAU,MACAU,MACAU,216,216.65,2.54,0.0031365083960625366,216.67000000000002,34,2.5332,0.7184,216.68,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2006,44.0,2664,105.2,85.16,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,44,85.16,2.39,0.0031966966966966966,85.16,28,2.7635,0.8293,85.15999999999998,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2007,61.0,241,265.31,55.91,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,61,55.91,4.35,0.03313574392412567,55.900000000000006,19,1.9428,0.6598,55.900000000000006,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2007,208.0,5534,654.75,509.34,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,219,509.34000000000003,3.15,0.007079869895193351,509.34,31,2.0913,0.609,509.34000000000003,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2007,51.0,1025,163.13,51.93,GUAMARE,GUAMARE,GUAMARE,51,51.93,3.2,0.004607538802660754,51.95,32,2.6231,0.7569,51.94,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2007,247.0,4853,617.58,369.66,MACAU,MACAU,MACAU,274,369.66999999999996,2.5,0.0030469400370904593,369.67,35,2.3328,0.6561,369.67,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2007,75.0,1926,200.31,44.82,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,75,44.82,2.67,0.0019396850121149187,44.83,32,3.0549,0.8815,44.769999999999996,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2008,108.0,1867,360.84,377.11,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,120,377.11,3.34,0.016832262096054276,377.11,35,2.1634,0.6085,377.1,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2008,199.0,5402,634.87,429.4,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,211,429.39,3.19,0.007226111541180033,429.39,35,2.5117,0.7065,429.4,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2008,120.0,4544,299.8,462.76,GUAMARE,GUAMARE,GUAMARE,125,462.77000000000004,2.5,0.006365261883802816,462.78000000000003,37,2.5483,0.7057,462.78,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2008,307.0,11470,765.92,969.82,MACAU,MACAU,MACAU,356,969.8199999999999,2.49,0.0033820749782040105,969.81,37,2.5313,0.701,969.8,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2008,119.0,9864,372.87,351.49,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,146,351.48,3.13,0.0027411254601035625,351.5,32,1.8877,0.5447,351.46000000000004,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2009,153.0,2570,641.0,841.98,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,248,841.9770000000001,3.05,0.152979171435111,6683.66,40,2.4244,0.6572,837.721,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2009,130.0,5082,854.5,1485.851,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,268,1485.8480000000002,3.04,0.19155074952595613,10708.07,40,2.5074,0.6797,1485.9555,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2009,134.0,4440,176.5,438.73699999999997,GUAMARE,GUAMARE,GUAMARE,107,438.22499999999997,2.38,0.16067238392238392,9274.01,40,2.5147,0.6817,438.6166,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2009,295.0,13518,685.0,2406.311,MACAU,MACAU,MACAU,394,2406.31,2.43,0.049210047978356895,13969.65,40,1.9307,0.5234,2353.1777,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2009,152.0,7982,350.5,570.5830000000001,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,162,570.58,3.09,0.20722287647206214,16540.53,40,2.3047,0.6248,570.7532,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2010,125.0,4427,490.5,704.232,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,200,704.2719999999999,3.03,0.1286036221581472,9678.58,39,2.488,0.6791,704.2330000000001,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2010,61.0,5675,797.5,1346.424,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,241,1346.423,3.06,0.14899760855884203,11837.86,39,2.9162,0.796,1346.4279999999999,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2010,185.0,4796,168.5,364.437,GUAMARE,GUAMARE,GUAMARE,105,364.43899999999996,2.29,0.13011480921601334,9984.49,39,2.7599,0.7533,364.4479999999999,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2010,167.0,18778,723.0,2081.226,MACAU,MACAU,MACAU,394,2081.226,2.28,0.05644468704512373,19078.53,39,1.9665,0.5368,2081.1380000000004,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2010,142.0,7630,328.0,452.342,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,156,459.976,2.62,0.15572698860772255,15446.56,39,2.8979,0.791,452.34399999999994,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2011,167.0,4846,386.0,708.344,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,303,708.348,4.03921568627451,0.005621940379059652,708.3420000000001,52,2.7837,0.7045,708.341,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2011,217.0,10818,685.0,1257.689,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,294,1230.6891,3.397321428571428,0.006838765456265701,1257.69,52,2.8047,0.7098,1257.695,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2011,139.0,4404,157.0,346.651,GUAMARE,GUAMARE,GUAMARE,91,346.651,2.794117647058823,0.00437290594409123,346.649,52,2.929,0.7413,346.64799999999997,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2011,248.0,15919,584.0,1752.6779999999999,MACAU,MACAU,MACAU,358,1752.678,3.226086956521739,0.005794727254092263,1752.679,52,2.3456,0.5936,1752.674,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2011,147.0,7627,291.5,579.2239999999999,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,176,557.813,2.952586206896552,0.003164317556050872,579.222,52,2.9725,0.7523,579.2229999999998,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2012,196.0,5090,578.0,984.0999999999999,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,243,679.4,2.580357142857143,0.00690710075778838,984.4,53,2.2684,0.5714,984.5000000000001,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2012,406.0,14516,1143.0,1450.1,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,268,1450.3,2.574324324324324,0.00369987650919037,1450.1,53,2.5195,0.6346,1450.2,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2012,111.0,4293,274.0,183.8,GUAMARE,GUAMARE,GUAMARE,104,183.6,2.140625,0.0015848366419062901,183.7,53,2.6106,0.6575,183.29999999999998,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2012,366.0,15622,965.0,1086.1,MACAU,MACAU,MACAU,339,1086.0,2.359413202933985,0.0024832196353128375,1086.2,53,2.8383,0.7149,1085.3000000000002,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2012,209.0,10340,552.0,559.0,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,186,559.1,2.3,0.00200300881151945,559.1999999999999,53,2.9413,0.7408,558.7,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2013,198.0,5141,328.5,1454.6,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,118,1454.4999999999998,3.174887892376681,0.01163603060364391,1435.7,42,1.6298,0.4361,1454.8,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2013,356.0,14222,566.0,1634.4,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,212,1634.6000000000001,2.626450116009281,0.0032654807106361036,1114.6,42,2.5992,0.6954,1634.5,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2013,104.0,4401,127.25,195.0,GUAMARE,GUAMARE,GUAMARE,59,195.0,2.232758620689655,0.001473150041657199,155.6,42,2.7849,0.7451,194.59999999999997,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2013,340.0,16881,509.25,1470.3,MACAU,MACAU,MACAU,210,1470.3,2.429256594724221,0.0025576091463775843,1036.2,42,2.6414,0.7067,1470.3000000000002,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2013,190.0,10207,298.0,663.5,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,124,663.5,2.311284046692607,0.001879837366513177,460.5,42,2.965,0.7933,663.5999999999999,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2014,101.0,2292,389.0,1328.79,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,114,1328.6999999999998,3.813725490196079,0.021470816366104324,1328.7,42,0.8756,0.2343,1328.9,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2014,178.0,6908,557.0,1081.2,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,220,1081.3,2.578703703703704,0.006019776401942007,1081.2,42,2.2838,0.611,1081.0,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2014,62.0,2535,141.0,102.38,GUAMARE,GUAMARE,GUAMARE,66,102.3,2.274193548387097,0.0015521165225307239,102.30000000000001,42,2.79,0.7464,102.5,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2014,170.0,7897,507.0,818.85,MACAU,MACAU,MACAU,212,818.8,2.668421052631579,0.003987882448057199,818.8000000000001,42,2.7665,0.7402,818.7,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2014,95.0,4468,266.0,257.51,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,121,257.5,2.198347107438016,0.0022166173128572416,257.5,42,3.0226,0.8087,257.5,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2015,119.0,2875,490.0,2131.7,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,134,2131.8,3.712121212121212,0.02647080745341615,2130.9,53,0.6664,0.1678,2131.8999999999996,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2015,181.0,7474,604.0,760.9,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,225,760.6999999999999,2.696428571428572,0.003636415765128636,761.0,53,2.9235,0.7363,760.8999999999999,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2015,64.0,2830,155.0,117.2,GUAMARE,GUAMARE,GUAMARE,73,116.99999999999999,2.152777777777778,0.0014765270065623423,117.0,53,2.7766,0.6993,117.1,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2015,182.0,9924,535.0,752.9,MACAU,MACAU,MACAU,214,832.9,2.388392857142857,0.0027098808084297806,753.0,53,2.5833,0.6506,752.8,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2015,126.0,6281,285.0,218.2,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,136,218.20000000000002,2.261904761904762,0.001238428821616212,217.8,53,3.1349,0.7896,218.2,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2016,110.0,2705,404.0,3070.2,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,124,3069.0,3.607142857142857,0.03913824972910957,3070.2000000000003,43,0.854,0.227,3070.1999999999994,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2016,177.0,6376,561.0,1672.6,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,221,1672.0,2.527027027027027,0.009049020032016613,1673.2,43,2.7411,0.7288,1673.0000000000005,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2016,59.0,2482,140.0,228.4,GUAMARE,GUAMARE,GUAMARE,68,226.0,2.372881355932203,0.00317597043541082,228.6,43,2.8445,0.7563,228.90000000000003,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2016,199.0,10102,521.0,1466.0,MACAU,MACAU,MACAU,225,1467.0,2.325892857142857,0.005006178360037957,1466.6,43,2.8451,0.7564,1466.6999999999998,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2016,122.0,5701,272.0,527.6,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,125,527.0,2.158730158730159,0.0031972612185400024,528.6,43,3.1339,0.8332,528.1,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2017,99.0,2342,326.0,3005.0,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,99,3005.0,3.292929292929293,0.04424894725993109,3005.2999999999997,38,0.8816,0.2424,3005.7,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2017,190.0,5230,494.0,1750.0,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,189,1750.0,2.6,0.011542163908485528,1750.6,40,2.6854,0.728,1750.4,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2017,65.0,2266,137.0,230.0,GUAMARE,GUAMARE,GUAMARE,65,231.0,2.107692307692308,0.003512189183431232,230.8,38,2.7343,0.7517,230.0,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2017,208.0,9162,481.0,1533.0,MACAU,MACAU,MACAU,208,1536.0,2.3125,0.005765192060158526,1531.8,38,2.6722,0.7346,1532.5999999999997,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2017,116.0,4348,244.0,529.0,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,117,529.0,2.103448275862069,0.004198521714303842,529.4,38,3.0693,0.8438,528.9999999999999,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2018,103.0,1978,390.0,2284.02,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,103,2284.0,3.577981651376147,0.04811046511627907,2283.9,53,0.7354,0.1852,2283.5,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2018,171.0,4084,554.0,424.39,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,171,424.4,2.77,0.004156709108716944,424.4,53,2.9291,0.7378,424.4,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2018,58.0,2051,152.0,111.81,GUAMARE,GUAMARE,GUAMARE,59,111.89999999999999,2.338461538461539,0.0020965382740126765,111.8,53,2.6121,0.6579,111.69999999999999,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2018,198.0,8221,558.0,595.3,MACAU,MACAU,MACAU,198,595.3,2.619718309859155,0.0027850813582476395,595.3,53,2.5769,0.6491,594.5999999999999,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2018,93.0,2996,279.0,150.24,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,92,150.4,2.513513513513514,0.0020080106809078776,150.4,53,3.0855,0.7771,149.39999999999998,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2019,104.0,5729,380.0,4065.29,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,119,4065.2000000000003,5.648648648648648,0.025342867117173283,4065.3,54,0.7067,0.1772,4065.3,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2019,150.0,12633,561.0,1122.63,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,207,1122.7,3.502463054187192,0.003064224240290209,1122.6000000000001,54,2.7859,0.6984,1122.6499999999999,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2019,60.0,8084,147.0,296.318,GUAMARE,GUAMARE,GUAMARE,65,296.3,2.983870967741935,0.001263884386357044,296.29999999999995,54,2.756,0.6909,296.37,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2019,231.0,23069,661.0,1643.916,MACAU,MACAU,MACAU,279,1643.9,3.277551020408163,0.0024575449065098558,1644.1,54,2.7081,0.6789,1643.8899999999999,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2019,111.0,7740,295.0,398.551,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,116,398.6,3.641025641025641,0.00177626303127506,398.7,54,3.1897,0.7996,398.53999999999996,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2020,81.0,4398,296.0,3364.9,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,98,3364.8,3.020408163265306,0.02732573247580069,3365.0000000000005,55,0.5825,0.1454,3364.91,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2020,154.0,8105,534.0,999.21,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,197,999.2,2.724489795918367,0.004251100853028144,999.2,55,2.6967,0.6729,999.2399999999999,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2020,57.0,3756,136.0,188.79,GUAMARE,GUAMARE,GUAMARE,63,188.9,2.229508196721311,0.0017324005728765008,188.7,55,2.9206,0.7288,188.77999999999997,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2020,220.0,18086,597.0,1370.75,MACAU,MACAU,MACAU,252,1370.7,2.378486055776893,0.0026133759394769054,1370.7,55,2.6997,0.6737,1370.7499999999995,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2020,101.0,6156,290.0,321.68,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,116,321.59999999999997,2.5,0.0018663557040750022,321.7,55,3.0672,0.7654,321.69,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2021,93.0,5340,337.7,4081.78639,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,111,4081.786,3.075591985428051,0.02831044527673741,4081.7999999999997,55,0.7181,0.1792,4081.7599999999998,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2021,138.0,8799,509.6,1250.73997,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,186,1250.74,2.738312735088662,0.004901419048402835,1250.6999999999998,55,2.6265,0.6554,1250.7,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2021,52.0,3347,134.9,203.42719,GUAMARE,GUAMARE,GUAMARE,61,203.427,2.25963149078727,0.002095546191648723,203.4,55,2.776,0.6927,203.44000000000003,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2021,211.0,18623,615.1,1308.62037,MACAU,MACAU,MACAU,256,1308.619,2.407436399217221,0.002423032697794903,1308.6000000000001,55,2.793,0.697,1308.61,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2021,111.0,7032,300.2,354.64167,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,121,354.642,2.485099337748344,0.00173933937468126,354.7,55,3.0613,0.7639,354.64000000000004,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2022,111.9,5041,320.6,3794.97,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,111,3820.0,2.865058087578195,0.03136613105865239,3794.8,55,0.7612,0.1899,3794.91,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2022,191.8,8280,531.1,898.67,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,193,899.0,2.769030239833159,0.004719596723377442,898.8,55,2.9609,0.7389,898.7199999999999,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2022,71.6,4387,164.9,342.24,GUAMARE,GUAMARE,GUAMARE,72,342.0,2.303072625698324,0.0032510827444723043,342.3,55,2.4759,0.6178,342.13999999999993,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2022,284.0,18228,684.1,1358.49,MACAU,MACAU,MACAU,284,1359.0,2.408802816901408,0.003104884426889035,1358.3,55,2.7866,0.6954,1358.4099999999999,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2022,117.9,6901,278.3,649.24,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,119,650.0,2.360474978795589,0.003920325556682606,649.3,55,2.5671,0.6406,649.2700000000001,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
