mpa_exposure_class,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,n_locals,cpue_ton_per_trip,cpue_per_fisherman,richness,shannon_h,simpson_1d,pielou_j,total_production_div
0-10 km,2001,267.13,4621,265.0,673.5999999999999,2,0.05780783380220731,0.39657066508313543,28,2.0784188933278527,0.7524728738323645,0.623736894593715,267.11999999999995
0-10 km,2002,326.04999999999995,5488,289.0,770.6899999999999,2,0.059411443148688035,0.423062450531342,29,2.4069352427323634,0.8349416273331001,0.714797678688668,326.04
0-10 km,2003,445.36,6089,292.0,743.19,2,0.07314173099031039,0.5992545647815498,31,2.1295527006742656,0.757021044865277,0.6201399637985975,445.35
0-10 km,2004,837.1500000000001,9109,320.0,881.62,2,0.09190361181249315,0.949558766815635,31,2.0649208180719505,0.7335855740976878,0.6013187280881385,837.1600000000001
0-10 km,2005,472.91999999999996,7513,326.0,737.96,2,0.06294689205377345,0.6408477424250636,35,2.5935132525948785,0.8740354187454844,0.7294681723815245,472.9799999999999
0-10 km,2006,265.59,4678,249.0,663.46,2,0.05677426250534416,0.400310493473608,34,2.6973160306696866,0.8837894282325084,0.7649008125631979,265.59999999999997
0-10 km,2007,421.59000000000003,5878,298.0,780.71,2,0.07172337529772031,0.5400084538432965,36,2.517798950239805,0.8429147054036521,0.7026051748242051,421.61
0-10 km,2008,1432.58,16014,427.0,1065.72,2,0.08945797427251155,1.3442367601246106,37,2.7829008206439374,0.903845188307207,0.7706906908349125,1432.5800000000002
0-10 km,2009,2845.0480000000002,17958,429.0,861.5,2,0.15842788729257157,3.302435287289611,39,2.2192555286841316,0.7655343928123468,0.6057644835944427,2845.0067999999997
0-10 km,2010,2445.663,23574,559.0,891.5,2,0.10374408246373124,2.743312394840157,39,2.21244958416106,0.7717433912288931,0.603906743728031,2445.586
0-10 km,2011,2099.329,20323,387.0,741.0,2,0.10329818432318064,2.8331025641025644,52,2.604385741626696,0.8630035682131318,0.6591306249673002,2099.3219999999997
0-10 km,2012,1269.8999999999999,19915,477.0,619.5,2,0.06376600552347476,2.0498789346246973,47,2.899930382805466,0.9108656413441396,0.7531997946046147,1268.6000000000001
0-10 km,2013,1665.3,21282,444.0,636.5,2,0.07824922469692698,2.6163393558523174,42,2.7542901747032906,0.8953877102881797,0.7369003833913702,1664.8999999999999
