log_fish_dm,cpue_effect,ci_lo,ci_hi
-2.2327012499545056,-0.45826276737341054,-0.8868513593726999,-0.02967417537412126
-2.2166493223847437,-0.45050635190162985,-0.8745683385183145,-0.026444365284945148
-2.2005973948149817,-0.4427578520263492,-0.8623205471518698,-0.023195156900828684
-2.18454546724522,-0.43501786405391707,-0.8501093133043014,-0.0199264148035328
-2.1684935396754583,-0.42728698429068296,-0.8379359698832813,-0.016637998698084522
-2.1524416121056964,-0.41956580904299495,-0.8258018545535737,-0.013329763532416161
-2.1363896845359345,-0.41185493461720246,-0.8137083095996981,-0.010001559634706836
-2.1203377569661725,-0.40415495731965423,-0.8016566817694082,-0.006653232869900327
-2.1042858293964106,-0.39646647345669905,-0.7896483220964392,-0.0032846248169588477
-2.0882339018266487,-0.38879007933468596,-0.7776845857008811,0.00010442703150914667
-2.072181974256887,-0.381126371259964,-0.76576683156546,0.0035140890455319096
-2.0561300466871253,-0.37347594553888164,-0.7538964222859377,0.006944531208174454
-2.0400781191173634,-0.36583939847778807,-0.742074723793757,0.010395926838180913
-2.0240261915476014,-0.35821732638303205,-0.7303031050489863,0.013868452282922161
-2.0079742639778395,-0.35061032556096255,-0.7185829377015552,0.017362286579630126
-1.9919223364080778,-0.3430189923179284,-0.7069155957187032,0.02087761108284647
-1.9758704088383159,-0.33544392296027853,-0.6953024549765097,0.024414609055952552
-1.959818481268554,-0.3278857137943617,-0.6837448928133228,0.027973465224599425
-1.9437665536987923,-0.320344961126527,-0.6722442875428749,0.031554365289820974
-1.9277146261290303,-0.3128222612631231,-0.6608020179248328,0.03515749539858665
-1.9116626985592684,-0.30531821051049907,-0.6494194625905375,0.03878304156953938
-1.8956107709895065,-0.2978334051750037,-0.6380979994216782,0.04243118907167093
-1.8795588434197448,-0.2903684415629859,-0.6268390048796831,0.04610212175371131
-1.8635069158499828,-0.2829239159807946,-0.6156438532836448,0.04979602132205557
-1.8474549882802211,-0.2755004247347786,-0.6045139160346815,0.053513066565124334
-1.8314030607104592,-0.2680985641312868,-0.5934505607847251,0.05725343252215159
-1.8153511331406973,-0.2607189304766681,-0.582455150547859,0.06101728959452285
-1.7992992055709354,-0.25336212007727144,-0.5715290427524957,0.0648048025979528
-1.7832472780011737,-0.24602872923944571,-0.5606735882328768,0.06861612975398543
-1.7671953504314117,-0.23871935426953966,-0.5498901301586242,0.07245142161954488
-1.75114342286165,-0.23143459147390227,-0.5391800029013443,0.07631081995353967
-1.735091495291888,-0.22417503715888248,-0.528544530837622,0.08019445651985696
-1.7190395677221262,-0.2169412876308291,-0.5179850270881072,0.08410245182644899
-1.7029876401523643,-0.20973393919609104,-0.5075027921928248,0.08803491380064268
-1.6869357125826023,-0.20255358816101715,-0.49709911272330937,0.09199193640127507
-1.6708837850128406,-0.19540083083195642,-0.48677525983269554,0.0959735981687827
-1.6548318574430787,-0.18827626351525764,-0.4765324877454673,0.099979960714952
-1.638779929873317,-0.1811804825172698,-0.46637203218920653,0.10401106715466699
-1.622728002303555,-0.1741140841443416,-0.4562951087713545,0.10806694048267129
-1.6066760747337931,-0.167077664702822,-0.44630291130473,0.112147581899086
-1.5906241471640312,-0.16007182049905994,-0.4363966100863223,0.11625296908820243
-1.5745722195942695,-0.15309714783940442,-0.42657735013468,0.12038305445587116
-1.5585202920245076,-0.14615424303020413,-0.416846249392067,0.12453776333165872
-1.5424683644547459,-0.13924370237780803,-0.40720439689842186,0.1287169921428058
-1.526416436884984,-0.13236612218856494,-0.3976528509450368,0.13292060656790686
-1.510364509315222,-0.12552209876882384,-0.3881926372167651,0.13714843967911747
-1.4943125817454601,-0.11871222842493354,-0.3788247469324414,0.1414002900825743
-1.4782606541756982,-0.11193710746324295,-0.3695501349940613,0.14567592006757543
-1.4622087266059365,-0.10519733219010113,-0.3603697181560904,0.14997505377588816
-1.4461567990361748,-0.09849349891185676,-0.3512843732270377,0.15429737540332417
-1.4301048714664129,-0.09182620393485867,-0.34229493531614447,0.1586425274464271
-1.414052943896651,-0.0851960435654559,-0.3334021961386441,0.1630101090077323
-1.398001016326889,-0.07860361410999728,-0.32460690239357265,0.1673996741735781
-1.381949088757127,-0.0720495118748317,-0.3159097542285051,0.1718107304788417
-1.3658971611873654,-0.06553433316630813,-0.3073114038058494,0.17624273747323319
-1.3498452336176034,-0.05905867429077532,-0.2988124539854467,0.18069510540389608
-1.3337933060478417,-0.052623131554582356,-0.2904134571381674,0.18516719402900267
-1.3177413784780798,-0.046228301264077815,-0.28211491410496703,0.1896583115768114
-1.301689450908318,-0.039874779725610744,-0.2739172733154569,0.1941677138642354
-1.285637523338556,-0.03356316324553009,-0.2658209300794369,0.1986946035883767
-1.2695855957687943,-0.027294048130184732,-0.2578262260640563,0.20323812980368683
-1.2535336681990323,-0.021068030685923417,-0.24993344896828174,0.2077973875964349
-1.2374817406292706,-0.014885707219095226,-0.24214283240519513,0.21237141796700465
-1.2214298130595087,-0.008747674036048873,-0.2344545560013043,0.21695920792920656
-1.2053778854897468,-0.0026545274431333207,-0.22686874572056384,0.2215596908342972
-1.1893259579199849,0.0033931362533025844,-0.21938547441916273,0.2261717469257679
-1.1732740303502232,0.009394720746909802,-0.21200476263539178,0.2307942041292114
-1.1572221027804612,0.015349650368602924,-0.20472657232523345,0.23542587306243928
-1.1411701752106993,0.021257589357481396,-0.19755073393909792,0.24006591265406071
-1.1251182476409376,0.02711835673211905,-0.19047698803381435,0.24471370149805244
-1.1090663200711757,0.03293177409074799,-0.18350504269119358,0.24936859087268956
-1.0930143925014137,0.03869766303159994,-0.17663457483863831,0.2540299009018382
-1.0769624649316518,0.044415845152906704,-0.16986523076717727,0.2586969210729907
-1.0609105373618901,0.05008614205290009,-0.16319662678544117,0.2633689108912413
-1.0448586097921282,0.05570837532981201,-0.15662835000840486,0.2680451006680289
-1.0288066822223663,0.061282366581874324,-0.15015995927868128,0.2727246924424299
-1.0127547546526046,0.06680793740731875,-0.14379098621711842,0.27740686103175594
-0.9967028270828426,0.07228490940437726,-0.1375209363984613,0.2820907552072158
-0.9806508995130807,0.07771310417128166,-0.1313492906468896,0.2867754989894529
-0.964598971943319,0.0830923433062637,-0.12527550644535002,0.2914601930578774
-0.9485470443735571,0.08842244840755537,-0.11929901945178961,0.29614391626690034
-0.9324951168037952,0.09370324107338839,-0.11341924511466055,0.3008257272614373
-0.9164431892340335,0.09893454290199453,-0.10763558037942643,0.3055046661834155
-0.9003912616642715,0.10411617549160586,-0.10194740547725863,0.31017975646047036
-0.8843393340945096,0.10924796044045407,-0.09635408578667845,0.31485000666758656
-0.8682874065247479,0.114329719346771,-0.09085497375857055,0.31951441245211254
-0.852235478954986,0.11936127380878858,-0.08544941089477853,0.3241719585123557
-0.836183551385224,0.12434244542473855,-0.08013672977038808,0.3288216206198652
-0.8201316238154623,0.12927305579285278,-0.07491625608979702,0.3334623676755026
-0.8040796962457004,0.1341529265113631,-0.06978731076677888,0.33809316378950505
-0.7880277686759385,0.13898187917850138,-0.06474921201894138,0.34271297037594417
-0.7719758411061766,0.14375973539249948,-0.059801277467266045,0.347320748252265
-0.7559239135364149,0.1484863167515891,-0.05494282623178373,0.35191545973496197
-0.7398719859666529,0.15316144485400224,-0.050173181014875334,0.3564960707228798
-0.723820058396891,0.15778494129797072,-0.0454916701641844,0.36106155276012586
-0.7077681308271293,0.16235662768172623,-0.04089762970767316,0.3656108850711256
-0.6917162032573674,0.16687632560350082,-0.03639040535393942,0.37014305656094104
-0.6756642756876055,0.17134385666152618,-0.03196935445152521,0.3746570677745776
-0.6596123481178437,0.17575904245403423,-0.027633847901576886,0.3791519328096453
-0.6435604205480818,0.18012170457925675,-0.023383272018857287,0.38362668117737075
-0.6275084929783199,0.1844316646354256,-0.019217030336748292,0.38808035960759946
-0.6114565654085582,0.18868874422077267,-0.01513454535250594,0.3925120337940513
-0.5954046378387963,0.19289276493352978,-0.011135260209647085,0.39692079007670666
-0.5793527102690343,0.1970435483719287,-0.007218640314925667,0.40130573705878303
-0.5633007826992724,0.20114091613420132,-0.0033841748879171185,0.40566600715631973
-0.5472488551295107,0.20518468981857937,0.0003686215582507091,0.410000758078908
-0.5311969275597488,0.20917469102329495,0.004040207806000701,0.4143091742405892
-0.5151449999899869,0.2131107413465797,0.007631014592780816,0.4185904681003786
-0.49909307242022516,0.2169926623866655,0.011141443341053353,0.4228438814322777
-0.48304114485046323,0.2208202757417842,0.0145718649585872,0.4270686865249812
-0.4669892172807013,0.2245934030101676,0.01792261870853748,0.4312641873117977
-0.4509372897109396,0.2283118657900475,0.021194011148533753,0.43542972043156125
-0.4348853621411777,0.23197548567965598,0.02438631513778236,0.4395646562215296
-0.41883343457141575,0.2355840842772246,0.027499768911012273,0.44366839964343696
-0.40278150700165405,0.23913748318098524,0.03053457521796543,0.44774039114400505
-0.3867295794318921,0.24263550398916994,0.033490900527033934,0.4517801074513059
-0.3706776518621302,0.24607796830001039,0.0363688742915923,0.45578706230842847
-0.3546257242923685,0.24946469771173846,0.03916858827754999,0.45976080714592693
-0.33857379672260657,0.25279551382258597,0.04189009595065599,0.463700931694516
-0.32252186915284464,0.2560702382307847,0.04453341192212301,0.46760706453944634
-0.30646994158308294,0.25928869253456654,0.04709851145120075,0.47147887361793234
-0.290418014013321,0.26245069833216345,0.049585330003406924,0.47531606666091997
-0.2743660864435591,0.2655560772218071,0.05199376286322929,0.47911839158038483
-0.25831415887379716,0.26860465080172946,0.05432366480022424,0.4828856368032347
-0.24226223130403546,0.2715962406701622,0.05657484978756672,0.48661763155275767
-0.22621030373427375,0.27453066842533735,0.058747090772246324,0.4903142460784284
