local,year,gear_cod,gear_type,gear_group,gear_production_ton,total_production_ton,gear_share,share_active,share_passive,share_mixed
AREIA BRANCA,2003,CVL,covo lagosta,passive,18.8,18.8,1.0,,,
AREIA BRANCA,2005,APO,arrasto de porta,active,0.39,117.16,0.003328781153977467,,,
AREIA BRANCA,2005,CPL,covo peixe e lagosta,passive,1.37,117.16,0.011693410720382384,,,
AREIA BRANCA,2005,CVL,covo lagosta,passive,62.89,117.16,0.5367872994195971,,,
AREIA BRANCA,2005,CVP,covo peixe,passive,4.68,117.16,0.0399453738477296,,,
AREIA BRANCA,2005,LCL,linha e covo lagosta,mixed,24.8,117.16,0.2116763400477979,,,
AREIA BRANCA,2005,LIN,linha,passive,12.49,117.16,0.10660635029020143,,,
AREIA BRANCA,2005,MEL,mergulho livre,active,0.1,117.16,0.0008535336292249915,,,
AREIA BRANCA,2005,RES,rede de espera,passive,10.26,117.16,0.08757255035848413,,,
AREIA BRANCA,2005,TRF,tarrafa,active,0.18,117.16,0.0015363605326049847,,,
AREIA BRANCA,2006,APA,arrasto de praia,active,5.33,38.01,0.14022625624835572,,,
AREIA BRANCA,2006,APO,arrasto de porta,active,1.84,38.01,0.048408313601683774,,,
AREIA BRANCA,2006,CVL,covo lagosta,passive,4.25,38.01,0.11181268087345436,,,
AREIA BRANCA,2006,CVP,covo peixe,passive,0.67,38.01,0.017626940278873984,,,
AREIA BRANCA,2006,LCL,linha e covo lagosta,mixed,6.81,38.01,0.17916337805840568,,,
AREIA BRANCA,2006,LIN,linha,passive,15.89,38.01,0.41804788213627997,,,
AREIA BRANCA,2006,RAG,rede agulha,passive,0.97,38.01,0.025519600105235466,,,
AREIA BRANCA,2006,RES,rede de espera,passive,2.25,38.01,0.05919494869771113,,,
AREIA BRANCA,2007,CVL,covo lagosta,passive,9.54,55.900000000000006,0.17066189624329156,,,
AREIA BRANCA,2007,CVP,covo peixe,passive,0.67,55.900000000000006,0.011985688729874776,,,
AREIA BRANCA,2007,LCL,linha e covo lagosta,mixed,8.7,55.900000000000006,0.15563506261180676,,,
AREIA BRANCA,2007,LIN,linha,passive,12.39,55.900000000000006,0.2216457960644007,,,
AREIA BRANCA,2007,RAG,rede agulha,passive,18.62,55.900000000000006,0.3330948121645796,,,
AREIA BRANCA,2007,RES,rede de espera,passive,5.98,55.900000000000006,0.10697674418604651,,,
AREIA BRANCA,2008,APA,arrasto de praia,active,11.8,377.11,0.031290604863302485,,,
AREIA BRANCA,2008,APO,arrasto de porta,active,77.34,377.11,0.20508604916337408,,,
AREIA BRANCA,2008,CPL,covo peixe e lagosta,passive,0.06,377.11,0.00015910477049136854,,,
AREIA BRANCA,2008,CVL,covo lagosta,passive,109.22,377.11,0.2896237172177879,,,
AREIA BRANCA,2008,CVP,covo peixe,passive,4.39,377.11,0.011641165707618466,,,
AREIA BRANCA,2008,LCL,linha e covo lagosta,mixed,9.87,377.11,0.026172734745830126,,,
AREIA BRANCA,2008,LIN,linha,passive,60.28,377.11,0.1598472594203283,,,
AREIA BRANCA,2008,MEL,mergulho livre,active,1.04,377.11,0.0027578160218503884,,,
AREIA BRANCA,2008,RAG,rede agulha,passive,53.29,377.11,0.14131155365808384,,,
AREIA BRANCA,2008,RES,rede de espera,passive,49.82,377.11,0.13210999443133303,,,
AREIA BRANCA,2009,APA,arrasto de praia,active,8.9008,841.8009,0.0105735216011292,,,
AREIA BRANCA,2009,APO,arrasto de porta,active,111.069,841.8009,0.1319421255073498,,,
AREIA BRANCA,2009,CMN,coleta manual,active,1.337,841.8009,0.001588261547356388,,,
AREIA BRANCA,2009,CMP,compressor,active,3.9054,841.8009,0.00463933930220317,,,
AREIA BRANCA,2009,CUR,curral,passive,0.0,841.8009,0.0,,,
AREIA BRANCA,2009,CVL,covo lagosta,passive,0.07,841.8009,8.3155054835413e-05,,,
AREIA BRANCA,2009,CVP,covo peixe,passive,9.2729,841.8009,0.011015550114047158,,,
AREIA BRANCA,2009,ESP,espinhel,passive,4.8903,841.8009,0.00580933092373743,,,
AREIA BRANCA,2009,LCP,linha e covo peixe,mixed,0.0,841.8009,0.0,,,
AREIA BRANCA,2009,LIJ,linha e jereré,passive,0.0,841.8009,0.0,,,
AREIA BRANCA,2009,LIN,linha,passive,408.7905,841.8009,0.4856142349099413,,,
AREIA BRANCA,2009,MEL,mergulho livre,active,12.761,841.8009,0.015159166496495787,,,
AREIA BRANCA,2009,PUC,puçá/mangote,active,0.0,841.8009,0.0,,,
AREIA BRANCA,2009,RAG,rede agulha,passive,0.816,841.8009,0.000969350353509957,,,
AREIA BRANCA,2009,RCA,rede caçoeira,passive,66.6776,841.8009,0.07920827834705332,,,
AREIA BRANCA,2009,RES,rede de espera,passive,193.9499,841.8009,0.2303987795688981,,,
AREIA BRANCA,2009,RTP,rede de tapagem,passive,0.0,841.8009,0.0,,,
AREIA BRANCA,2009,SRD,sardinheira,active,0.0,841.8009,0.0,,,
AREIA BRANCA,2009,TNR,tainheira,active,8.3726,841.8009,0.009946057315928269,,,
AREIA BRANCA,2009,TRF,tarrafa,active,10.9879,841.8009,0.013052848957514776,,,
AREIA BRANCA,2009,TRM,tresmalho,passive,0.0,841.8009,0.0,,,
AREIA BRANCA,2010,APA,arrasto de praia,active,30.451,704.231,0.04324007321461282,,,
AREIA BRANCA,2010,APO,arrasto de porta,active,10.87,704.231,0.015435276209084803,,,
AREIA BRANCA,2010,CMN,coleta manual,active,1.83,704.231,0.002598579159395142,,,
AREIA BRANCA,2010,CMP,compressor,active,6.513,704.231,0.00924838582794566,,,
AREIA BRANCA,2010,CUR,curral,passive,0.0,704.231,0.0,,,
AREIA BRANCA,2010,CVL,covo lagosta,passive,0.544,704.231,0.0007724738047600859,,,
AREIA BRANCA,2010,CVP,covo peixe,passive,14.516,704.231,0.020612554687311407,,,
AREIA BRANCA,2010,ESP,espinhel,passive,8.556,704.231,0.012149422561631054,,,
AREIA BRANCA,2010,LCP,linha e covo peixe,passive,0.0,704.231,0.0,,,
AREIA BRANCA,2010,LES,linha e espinhel,passive,0.0,704.231,0.0,,,
AREIA BRANCA,2010,LIJ,linha e jereré,passive,0.0,704.231,0.0,,,
AREIA BRANCA,2010,LIN,linha,passive,352.763,704.231,0.5009194426260701,,,
AREIA BRANCA,2010,LRE,linha e rede de espera,passive,0.0,704.231,0.0,,,
AREIA BRANCA,2010,MEL,mergulho livre,active,3.372,704.231,0.0047882015986231785,,,
AREIA BRANCA,2010,PUC,puçá,active,0.277,704.231,0.00039333684543849963,,,
AREIA BRANCA,2010,RAG,rede de agulha,passive,5.514,704.231,0.007829817204866018,,,
AREIA BRANCA,2010,RCA,rede caçoeira,passive,78.134,704.231,0.11094939018589071,,,
AREIA BRANCA,2010,RES,rede de espera,passive,178.638,704.231,0.2536639256153166,,,
AREIA BRANCA,2010,RTP,rede de tapagem,passive,0.0,704.231,0.0,,,
AREIA BRANCA,2010,SRD,sardinheira,active,0.0,704.231,0.0,,,
AREIA BRANCA,2010,TNR,tainheira,active,7.159,704.231,0.010165698471098262,,,
AREIA BRANCA,2010,TRF,tarrafa,active,5.094,704.231,0.007233421987955657,,,
AREIA BRANCA,2010,TRM,tresmalho,passive,0.0,704.231,0.0,,,
AREIA BRANCA,2011,APA,arrasto de praia,active,0.013,708.3280000000001,1.835307936436227e-05,,,
AREIA BRANCA,2011,APO,arrasto de porta,active,6.348,708.3280000000001,0.008961949831151669,,,
AREIA BRANCA,2011,CMN,coleta manual,active,0.152,708.3280000000001,0.00021458985102946654,,,
AREIA BRANCA,2011,CMP,compressor,active,17.592,708.3280000000001,0.02483595170598931,,,
AREIA BRANCA,2011,CPL,covo peixe e lagosta,passive,4.292,708.3280000000001,0.006059339740910989,,,
AREIA BRANCA,2011,CVL,covo lagosta,passive,7.66,708.3280000000001,0.010814199071616537,,,
AREIA BRANCA,2011,CVP,covo peixe,passive,58.776,708.3280000000001,0.08297850713228899,,,
AREIA BRANCA,2011,JER,jereré,active,0.018,708.3280000000001,2.541195604296314e-05,,,
AREIA BRANCA,2011,LCL,linha e covo lagosta,mixed,13.046,708.3280000000001,0.018418021029805397,,,
AREIA BRANCA,2011,LCP,linha e covo peixe,mixed,4.195,708.3280000000001,0.005922397533346133,,,
AREIA BRANCA,2011,LES,linha e espinhel,mixed,9.22,708.3280000000001,0.01301656859534001,,,
AREIA BRANCA,2011,LIJ,linha e jereré,mixed,0.019,708.3280000000001,2.6823731378683318e-05,,,
AREIA BRANCA,2011,LIN,linha,passive,316.684,708.3280000000001,0.44708666041720785,,,
AREIA BRANCA,2011,LML,linha e mergulho livre,mixed,0.161,708.3280000000001,0.00022729582905094812,,,
AREIA BRANCA,2011,LRE,linha e rede de espera,mixed,14.147,708.3280000000001,0.01997238567443331,,,
AREIA BRANCA,2011,MEL,mergulho livre,active,4.337,708.3280000000001,0.006122869631018397,,,
AREIA BRANCA,2011,PUC,puçá,active,0.131,708.3280000000001,0.0001849425689793429,,,
AREIA BRANCA,2011,RAG,rede agulha,passive,9.645,708.3280000000001,0.013616573113021084,,,
AREIA BRANCA,2011,RCA,rede caçoeira,passive,69.21000000000001,708.3280000000001,0.0977089709851933,,,
AREIA BRANCA,2011,RES,rede de espera,passive,153.615,708.3280000000001,0.21686986819665463,,,
AREIA BRANCA,2011,TNR,traineira,active,9.024,708.3280000000001,0.012739860629538855,,,
AREIA BRANCA,2011,TRF,tarrafa,active,1.593,708.3280000000001,0.002248958109802238,,,
AREIA BRANCA,2011,TRM,tremalho,passive,8.45,708.3280000000001,0.011929501586835475,,,
AREIA BRANCA,2012,APA,arrasto de praia,active,1.5,984.4,0.0015237708248679398,,,
AREIA BRANCA,2012,APO,arrasto de porta,active,0.7,984.4,0.0007110930516050386,,,
AREIA BRANCA,2012,CMN,coleta manual,active,0.6,984.4,0.000609508329947176,,,
AREIA BRANCA,2012,CMP,compressor,active,34.0,984.4,0.034538805363673306,,,
AREIA BRANCA,2012,CPL,covo peixe e lagosta,passive,9.3,984.4,0.009447379114181228,,,
AREIA BRANCA,2012,CUR,curral,passive,0.0,984.4,0.0,,,
AREIA BRANCA,2012,CVL,covo lagosta,passive,31.9,984.4,0.032405526208858185,,,
AREIA BRANCA,2012,CVP,covo peixe,passive,91.8,984.4,0.09325477448191792,,,
AREIA BRANCA,2012,JER,jereré,active,0.0,984.4,0.0,,,
AREIA BRANCA,2012,LCL,linha e covo lagosta,mixed,32.4,984.4,0.0329134498171475,,,
AREIA BRANCA,2012,LCP,linha e covo peixe,mixed,12.7,984.4,0.012901259650548558,,,
AREIA BRANCA,2012,LES,linha e espinhel,mixed,1.4,984.4,0.0014221861032100772,,,
AREIA BRANCA,2012,LIJ,linha e jereré,mixed,0.3,984.4,0.000304754164973588,,,
AREIA BRANCA,2012,LIN,linha,passive,550.8,984.4,0.5595286468915075,,,
AREIA BRANCA,2012,LML,linha e mergulho livre,mixed,0.6,984.4,0.000609508329947176,,,
AREIA BRANCA,2012,LRE,linha e rede de espera,mixed,10.5,984.4,0.01066639577407558,,,
AREIA BRANCA,2012,MEL,mergulho livre,active,9.0,984.4,0.00914262494920764,,,
AREIA BRANCA,2012,PUC,puçá,active,0.1,984.4,0.00010158472165786267,,,
AREIA BRANCA,2012,RAG,rede agulha,passive,9.3,984.4,0.009447379114181228,,,
AREIA BRANCA,2012,RCA,rede caçoeira,passive,61.2,984.4,0.06216984965461195,,,
AREIA BRANCA,2012,RES,rede de espera,passive,104.8,984.4,0.10646078829744006,,,
AREIA BRANCA,2012,RTP,rede de tapagem,passive,0.0,984.4,0.0,,,
AREIA BRANCA,2012,SRD,sardinheira,passive,0.0,984.4,0.0,,,
AREIA BRANCA,2012,TNR,traineira,active,6.800000000000001,984.4,0.006907761072734661,,,
AREIA BRANCA,2012,TRF,tarrafa,active,0.7,984.4,0.0007110930516050386,,,
AREIA BRANCA,2012,TRM,tremalho,passive,14.0,984.4,0.014221861032100772,,,
AREIA BRANCA,2013,APA,arrasto de praia,active,0.3,1455.2,0.0002061572292468389,,,
AREIA BRANCA,2013,APO,arrasto de porta,active,1.0,1455.2,0.0006871907641561297,,,
AREIA BRANCA,2013,CMN,coleta manual,active,0.5,1455.2,0.00034359538207806486,,,
AREIA BRANCA,2013,CMP,compressor,active,17.6,1455.2,0.012094557449147884,,,
AREIA BRANCA,2013,CPL,covo peixe e lagosta,passive,4.8,1455.2,0.0032985156679494225,,,
AREIA BRANCA,2013,CUR,curral,passive,0.0,1455.2,0.0,,,
AREIA BRANCA,2013,CVL,covo lagosta,passive,56.8,1455.2,0.039032435404068165,,,
AREIA BRANCA,2013,CVP,covo peixe,passive,75.8,1455.2,0.05208905992303463,,,
AREIA BRANCA,2013,ESP,espinhel,passive,7.7,1455.2,0.005291368884002199,,,
AREIA BRANCA,2013,JER,jereré,active,0.0,1455.2,0.0,,,
AREIA BRANCA,2013,LCL,linha e covo lagosta,passive,15.6,1455.2,0.010720175920835623,,,
AREIA BRANCA,2013,LCP,linha e covo peixe,passive,18.4,1455.2,0.012644310060472785,,,
AREIA BRANCA,2013,LES,linha e espinhel,passive,9.0,1455.2,0.0061847168774051674,,,
AREIA BRANCA,2013,LIJ,linha e jereré,passive,0.0,1455.2,0.0,,,
AREIA BRANCA,2013,LIN,linha,passive,1071.5,1455.2,0.736324903793293,,,
AREIA BRANCA,2013,LML,linha e mergulho livre,mixed,1.1,1455.2,0.0007559098405717428,,,
AREIA BRANCA,2013,LRE,linha e rede de espera,passive,5.8,1455.2,0.003985706432105552,,,
AREIA BRANCA,2013,MEL,mergulho livre,active,5.7,1455.2,0.0039169873556899396,,,
AREIA BRANCA,2013,PUC,puçá,active,0.0,1455.2,0.0,,,
AREIA BRANCA,2013,RAG,rede agulha,passive,2.3,1455.2,0.0015805387575590982,,,
AREIA BRANCA,2013,RCA,rede caçoeira,passive,14.8,1455.2,0.01017042330951072,,,
AREIA BRANCA,2013,RES,rede de espera,passive,129.5,1455.2,0.0889912039582188,,,
AREIA BRANCA,2013,RTP,rede de tapagem,passive,0.0,1455.2,0.0,,,
AREIA BRANCA,2013,SRD,sardinheira,active,0.0,1455.2,0.0,,,
AREIA BRANCA,2013,TNR,tainheira,active,2.9,1455.2,0.001992853216052776,,,
AREIA BRANCA,2013,TRF,tarrafa,active,1.2,1455.2,0.0008246289169873556,,,
AREIA BRANCA,2013,TRM,tresmalho,passive,12.9,1455.2,0.008864760857614073,,,
AREIA BRANCA,2014,APA,arrasto de praia,active,0.7,1328.7,0.0005268307368104161,,,
AREIA BRANCA,2014,APO,arrasto de porta,active,0.1,1328.7,7.526153383005946e-05,,,
AREIA BRANCA,2014,CMN,coleta manual,active,0.4,1328.7,0.00030104613532023783,,,
AREIA BRANCA,2014,CMP,compressor,active,4.1,1328.7,0.0030857228870324375,,,
AREIA BRANCA,2014,CPL,covo peixe e lagosta,passive,1.3,1328.7,0.000978399939790773,,,
AREIA BRANCA,2014,CUR,curral,passive,0.0,1328.7,0.0,,,
AREIA BRANCA,2014,CVL,covo lagosta,passive,3.7,1328.7,0.0027846767517122,,,
AREIA BRANCA,2014,CVP,covo peixe,passive,31.3,1328.7,0.02355686008880861,,,
AREIA BRANCA,2014,JER,jereré,active,0.0,1328.7,0.0,,,
AREIA BRANCA,2014,LCP,linha e covo peixe,mixed,1.8,1328.7,0.0013547076089410702,,,
AREIA BRANCA,2014,LES,linha e espinhel,mixed,0.0,1328.7,0.0,,,
AREIA BRANCA,2014,LIJ,linha e jereré,mixed,0.0,1328.7,0.0,,,
AREIA BRANCA,2014,LIN,linha,passive,1186.7,1328.7,0.8931286219613156,,,
AREIA BRANCA,2014,LML,linha e mergulho livre,mixed,1.2,1328.7,0.0009031384059607134,,,
AREIA BRANCA,2014,LRE,linha e rede de espera,mixed,1.8,1328.7,0.0013547076089410702,,,
AREIA BRANCA,2014,MEL,mergulho livre,active,4.5,1328.7,0.0033867690223526752,,,
AREIA BRANCA,2014,PUC,puçá,active,0.1,1328.7,7.526153383005946e-05,,,
AREIA BRANCA,2014,RAG,rede agulha,passive,2.7,1328.7,0.0020320614134116052,,,
AREIA BRANCA,2014,RCA,rede caçoeira,passive,10.8,1328.7,0.008128245653646421,,,
AREIA BRANCA,2014,RES,rede de espera,passive,75.8,1328.7,0.05704824264318507,,,
AREIA BRANCA,2014,RTP,rede de tapagem,passive,0.0,1328.7,0.0,,,
AREIA BRANCA,2014,SRD,sardinheira,passive,0.0,1328.7,0.0,,,
AREIA BRANCA,2014,TNR,traineira,active,0.9,1328.7,0.0006773538044705351,,,
AREIA BRANCA,2014,TRF,tarrafa,active,0.5,1328.7,0.0003763076691502973,,,
AREIA BRANCA,2014,TRM,tremalho,passive,0.3,1328.7,0.00022578460149017836,,,
AREIA BRANCA,2015,APA,arrasto de praia,active,0.0,2130.9,0.0,,,
AREIA BRANCA,2015,APO,arrasto de porta,active,0.0,2130.9,0.0,,,
AREIA BRANCA,2015,CMN,coleta manual,active,0.3,2130.9,0.00014078558355624384,,,
AREIA BRANCA,2015,CMP,compressor,active,11.5,2130.9,0.005396780702989347,,,
AREIA BRANCA,2015,COQ,coqueiro,active,0.0,2130.9,0.0,,,
AREIA BRANCA,2015,CPL,covo peixe e lagosta,passive,3.8,2130.9,0.0017832840583790885,,,
AREIA BRANCA,2015,CUR,curral,passive,0.0,2130.9,0.0,,,
AREIA BRANCA,2015,CVL,covo lagosta,passive,13.2,2130.9,0.006194565676474729,,,
AREIA BRANCA,2015,CVP,covo peixe,passive,19.7,2130.9,0.009244919986860011,,,
AREIA BRANCA,2015,JER,jereré,active,0.0,2130.9,0.0,,,
AREIA BRANCA,2015,LCL,linha e covo lagosta,mixed,0.0,2130.9,0.0,,,
AREIA BRANCA,2015,LCP,linha e covo peixe,mixed,1.6,2130.9,0.0007508564456333005,,,
AREIA BRANCA,2015,LES,linha e espinhel,mixed,0.8,2130.9,0.00037542822281665025,,,
AREIA BRANCA,2015,LIJ,linha e jereré,mixed,0.0,2130.9,0.0,,,
AREIA BRANCA,2015,LIN,linha,passive,1998.6,2130.9,0.9379135576516964,,,
AREIA BRANCA,2015,LRE,linha e rede de espera,mixed,0.0,2130.9,0.0,,,
AREIA BRANCA,2015,MEL,mergulho livre,active,8.6,2130.9,0.00403585339527899,,,
AREIA BRANCA,2015,PUC,puçá,active,0.0,2130.9,0.0,,,
AREIA BRANCA,2015,RAG,rede agulha,passive,12.1,2130.9,0.005678351870101834,,,
AREIA BRANCA,2015,RCA,rede caçoeira,passive,7.4,2130.9,0.0034727110610540146,,,
AREIA BRANCA,2015,RES,rede de espera,passive,49.4,2130.9,0.02318269275892815,,,
AREIA BRANCA,2015,RTP,rede de tapagem,passive,0.0,2130.9,0.0,,,
AREIA BRANCA,2015,SRD,sardinheira,passive,0.0,2130.9,0.0,,,
AREIA BRANCA,2015,TNR,traineira,active,1.3,2130.9,0.0006100708620770567,,,
AREIA BRANCA,2015,TRF,tarrafa,active,2.6,2130.9,0.0012201417241541133,,,
AREIA BRANCA,2015,TRM,tremalho,passive,0.0,2130.9,0.0,,,
AREIA BRANCA,2016,APA,arrasto de praia,active,0.5,3070.2000000000003,0.00016285584001042276,,,
AREIA BRANCA,2016,APO,arrasto de porta,active,0.3,3070.2000000000003,9.771350400625365e-05,,,
AREIA BRANCA,2016,CMN,coleta manual,active,0.4,3070.2000000000003,0.0001302846720083382,,,
AREIA BRANCA,2016,CMP,compressor,active,22.8,3070.2000000000003,0.007426226304475278,,,
AREIA BRANCA,2016,COQ,coqueiro,active,0.0,3070.2000000000003,0.0,,,
AREIA BRANCA,2016,CPL,covo peixe e lagosta,passive,5.9,3070.2000000000003,0.0019216989121229886,,,
AREIA BRANCA,2016,CUR,curral,passive,0.0,3070.2000000000003,0.0,,,
AREIA BRANCA,2016,CVL,covo lagosta,passive,27.4,3070.2000000000003,0.008924500032571166,,,
AREIA BRANCA,2016,CVP,covo peixe,passive,58.8,3070.2000000000003,0.019151846785225714,,,
AREIA BRANCA,2016,JER,jereré,active,0.0,3070.2000000000003,0.0,,,
AREIA BRANCA,2016,LCL,linha e covo lagosta,mixed,12.0,3070.2000000000003,0.003908540160250146,,,
AREIA BRANCA,2016,LCP,linha e covo peixe,mixed,3.8,3070.2000000000003,0.001237704384079213,,,
AREIA BRANCA,2016,LES,linha e espinhel,mixed,2.0,3070.2000000000003,0.0006514233600416911,,,
AREIA BRANCA,2016,LIJ,linha e jereré,mixed,0.0,3070.2000000000003,0.0,,,
AREIA BRANCA,2016,LIN,linha,passive,2761.8,3070.2000000000003,0.8995505178815713,,,
AREIA BRANCA,2016,LML,linha e mergulho livre,mixed,1.0,3070.2000000000003,0.00032571168002084553,,,
AREIA BRANCA,2016,LRE,linha e rede de espera,mixed,2.2,3070.2000000000003,0.0007165656960458602,,,
AREIA BRANCA,2016,MEL,mergulho livre,active,8.7,3070.2000000000003,0.0028336916161813557,,,
AREIA BRANCA,2016,PUC,puçá,active,0.0,3070.2000000000003,0.0,,,
AREIA BRANCA,2016,RAG,rede agulha,passive,7.3,3070.2000000000003,0.0023776952641521723,,,
AREIA BRANCA,2016,RCA,rede caçoeira,passive,27.9,3070.2000000000003,0.009087355872581589,,,
AREIA BRANCA,2016,RES,rede de espera,passive,120.1,3070.2000000000003,0.039117972770503544,,,
AREIA BRANCA,2016,RTP,rede de tapagem,passive,0.0,3070.2000000000003,0.0,,,
AREIA BRANCA,2016,SRD,sardinheira,passive,0.0,3070.2000000000003,0.0,,,
AREIA BRANCA,2016,TNR,traineira,active,3.1,3070.2000000000003,0.001009706208064621,,,
AREIA BRANCA,2016,TRF,tarrafa,active,1.5,3070.2000000000003,0.0004885675200312682,,,
AREIA BRANCA,2016,TRM,tremalho,passive,2.7,3070.2000000000003,0.0008794215360562829,,,
AREIA BRANCA,2017,APA,arrasto de praia,active,0.3,3005.2999999999997,9.982364489402057e-05,,,
AREIA BRANCA,2017,APO,arrasto de porta,active,0.4,3005.2999999999997,0.00013309819319202743,,,
AREIA BRANCA,2017,CMN,coleta manual,active,0.4,3005.2999999999997,0.00013309819319202743,,,
AREIA BRANCA,2017,CMP,compressor,active,20.2,3005.2999999999997,0.006721458756197385,,,
AREIA BRANCA,2017,COQ,coqueiro,active,0.0,3005.2999999999997,0.0,,,
AREIA BRANCA,2017,CPL,covo peixe e lagosta,passive,6.5,3005.2999999999997,0.002162845639370446,,,
AREIA BRANCA,2017,CUR,curral,passive,0.0,3005.2999999999997,0.0,,,
AREIA BRANCA,2017,CVL,covo lagosta,passive,25.9,3005.2999999999997,0.008618108009183776,,,
AREIA BRANCA,2017,CVP,covo peixe,passive,60.6,3005.2999999999997,0.020164376268592157,,,
AREIA BRANCA,2017,JER,jereré,active,0.0,3005.2999999999997,0.0,,,
AREIA BRANCA,2017,LCL,linha e covo lagosta,mixed,5.2,3005.2999999999997,0.0017302765114963565,,,
AREIA BRANCA,2017,LCP,linha e covo peixe,mixed,8.6,3005.2999999999997,0.0028616111536285895,,,
AREIA BRANCA,2017,LES,linha e espinhel,mixed,3.9,3005.2999999999997,0.0012977073836222674,,,
AREIA BRANCA,2017,LIJ,linha e jereré,mixed,0.0,3005.2999999999997,0.0,,,
AREIA BRANCA,2017,LIN,linha,passive,2706.6,3005.2999999999997,0.9006089242338535,,,
AREIA BRANCA,2017,LML,linha e mergulho livre,mixed,1.9,3005.2999999999997,0.0006322164176621303,,,
AREIA BRANCA,2017,LRE,linha e rede de espera,mixed,3.2,3005.2999999999997,0.0010647855455362194,,,
AREIA BRANCA,2017,MEL,mergulho livre,active,9.4,3005.2999999999997,0.0031278075400126447,,,
AREIA BRANCA,2017,PUC,puçá,active,0.0,3005.2999999999997,0.0,,,
AREIA BRANCA,2017,RAG,rede agulha,passive,7.9,3005.2999999999997,0.0026286893155425418,,,
AREIA BRANCA,2017,RCA,rede caçoeira,passive,16.3,3005.2999999999997,0.005423751372575118,,,
AREIA BRANCA,2017,RES,rede de espera,passive,118.8,3005.2999999999997,0.03953016337803215,,,
AREIA BRANCA,2017,RTP,rede de tapagem,passive,0.0,3005.2999999999997,0.0,,,
AREIA BRANCA,2017,SRD,sardinheira,passive,0.0,3005.2999999999997,0.0,,,
AREIA BRANCA,2017,TNR,traineira,active,2.7,3005.2999999999997,0.0008984128040461852,,,
AREIA BRANCA,2017,TRF,tarrafa,active,1.8,3005.2999999999997,0.0005989418693641234,,,
AREIA BRANCA,2017,TRM,tremalho,passive,4.7,3005.2999999999997,0.0015639037700063223,,,
AREIA BRANCA,2018,APA,arrasto de praia,active,0.0,2283.9,0.0,,,
AREIA BRANCA,2018,APO,arrasto de porta,active,0.0,2283.9,0.0,,,
AREIA BRANCA,2018,CMN,coleta manual,active,0.0,2283.9,0.0,,,
AREIA BRANCA,2018,CMP,compressor,active,2.9,2283.9,0.0012697578703095582,,,
AREIA BRANCA,2018,COQ,coqueiro,active,0.0,2283.9,0.0,,,
AREIA BRANCA,2018,CPL,covo peixe e lagosta,passive,0.0,2283.9,0.0,,,
AREIA BRANCA,2018,CUR,curral,passive,0.0,2283.9,0.0,,,
AREIA BRANCA,2018,CVL,covo lagosta,passive,11.7,2283.9,0.005122816235386838,,,
AREIA BRANCA,2018,CVP,covo peixe,passive,9.8,2283.9,0.004290905906563335,,,
AREIA BRANCA,2018,JER,jereré,active,0.0,2283.9,0.0,,,
AREIA BRANCA,2018,LES,linha e espinhel,mixed,0.0,2283.9,0.0,,,
AREIA BRANCA,2018,LIJ,linha e jereré,mixed,0.0,2283.9,0.0,,,
AREIA BRANCA,2018,LIN,linha,passive,2223.7,2283.9,0.9736415780025394,,,
AREIA BRANCA,2018,LRE,linha e rede de espera,mixed,0.0,2283.9,0.0,,,
AREIA BRANCA,2018,MEL,mergulho livre,active,4.0,2283.9,0.0017513901659442182,,,
AREIA BRANCA,2018,PUC,puçá,active,0.0,2283.9,0.0,,,
AREIA BRANCA,2018,RAG,rede agulha,passive,0.3,2283.9,0.00013135426244581636,,,
AREIA BRANCA,2018,RCA,rede caçoeira,passive,0.5,2283.9,0.00021892377074302728,,,
AREIA BRANCA,2018,RES,rede de espera,passive,30.4,2283.9,0.013310565261176058,,,
AREIA BRANCA,2018,RTP,rede de tapagem,passive,0.0,2283.9,0.0,,,
AREIA BRANCA,2018,SRD,sardinheira,passive,0.0,2283.9,0.0,,,
AREIA BRANCA,2018,TNR,traineira,active,0.6,2283.9,0.0002627085248916327,,,
AREIA BRANCA,2018,TRF,tarrafa,active,0.0,2283.9,0.0,,,
AREIA BRANCA,2018,TRM,tremalho,passive,0.0,2283.9,0.0,,,
AREIA BRANCA,2019,APA,arrasto de praia,active,0.0,4065.3,0.0,,,
AREIA BRANCA,2019,APO,arrasto de porta,active,0.0,4065.3,0.0,,,
AREIA BRANCA,2019,CMN,coleta manual,active,0.1,4065.3,2.4598430620126438e-05,,,
AREIA BRANCA,2019,CMP,compressor,active,9.1,4065.3,0.0022384571864315053,,,
AREIA BRANCA,2019,COQ,coqueiro,active,0.0,4065.3,0.0,,,
AREIA BRANCA,2019,CPL,covo peixe e lagosta,passive,0.0,4065.3,0.0,,,
AREIA BRANCA,2019,CUR,curral,passive,0.0,4065.3,0.0,,,
AREIA BRANCA,2019,CVL,covo lagosta,passive,3.3,4065.3,0.0008117482104641723,,,
AREIA BRANCA,2019,CVP,covo peixe,passive,42.3,4065.3,0.010405136152313482,,,
AREIA BRANCA,2019,JER,jereré,active,0.0,4065.3,0.0,,,
AREIA BRANCA,2019,LCL,linha e covo lagosta,mixed,0.0,4065.3,0.0,,,
AREIA BRANCA,2019,LCP,linha e covo peixe,mixed,0.0,4065.3,0.0,,,
AREIA BRANCA,2019,LES,linha e espinhel,mixed,0.0,4065.3,0.0,,,
AREIA BRANCA,2019,LIJ,linha e jereré,mixed,0.0,4065.3,0.0,,,
