platform_exposure_class,year,gear_cod,gear_type,gear_group,gear_production_ton,total_production_ton,gear_share,share_active,share_passive,share_mixed
0-20 km,2019,MEL,mergulho livre,active,1.2,1940.4,0.0006184291898577612,,,
0-20 km,2019,PUC,puçá,active,15.7,1940.4,0.008091115233972376,,,
0-20 km,2019,RAG,rede agulha,passive,31.200000000000003,1940.4,0.016079158936301793,,,
0-20 km,2019,RCA,rede caçoeira,passive,3.1,1940.4,0.0015976087404658832,,,
0-20 km,2019,RES,rede de espera,passive,305.90000000000003,1940.4,0.15764790764790765,,,
0-20 km,2019,RTP,rede de tapagem,passive,1.2,1940.4,0.0006184291898577612,,,
0-20 km,2019,SRD,sardinheira,passive,163.6,1940.4,0.08431251288394145,,,
0-20 km,2019,TNR,traineira,active,231.39999999999998,1940.4,0.11925376211090495,,,
0-20 km,2019,TRF,tarrafa,active,6.2,1940.4,0.0031952174809317664,,,
0-20 km,2019,TRM,tremalho,passive,95.4,1940.4,0.049165120593692026,,,
0-20 km,2020,APA,arrasto de praia,active,0.0,1559.5,0.0,,,
0-20 km,2020,APO,arrasto de porta,active,0.9,1559.5,0.0005771080474511061,,,
0-20 km,2020,CMN,coleta manual,active,478.4,1559.5,0.3067649887784546,,,
0-20 km,2020,CMP,compressor,active,0.3,1559.5,0.0001923693491503687,,,
0-20 km,2020,COQ,coqueiro,active,0.4,1559.5,0.00025649246553382496,,,
0-20 km,2020,CPL,covo peixe e lagosta,passive,0.0,1559.5,0.0,,,
0-20 km,2020,CUR,curral,passive,4.4,1559.5,0.0028214171208720746,,,
0-20 km,2020,CVL,covo lagosta,passive,0.0,1559.5,0.0,,,
0-20 km,2020,CVP,covo peixe,passive,0.0,1559.5,0.0,,,
0-20 km,2020,JER,jereré,active,0.0,1559.5,0.0,,,
0-20 km,2020,LCL,linha e covo lagosta,mixed,0.0,1559.5,0.0,,,
0-20 km,2020,LCP,linha e covo peixe,mixed,0.0,1559.5,0.0,,,
0-20 km,2020,LES,linha e espinhel,mixed,0.0,1559.5,0.0,,,
0-20 km,2020,LIJ,linha e jereré,mixed,225.6,1559.5,0.14466175056107727,,,
0-20 km,2020,LIN,linha,passive,99.0,1559.5,0.06348188521962167,,,
0-20 km,2020,LML,linha e mergulho livre,mixed,0.1,1559.5,6.412311638345624e-05,,,
0-20 km,2020,LRE,linha e rede de espera,mixed,95.2,1559.5,0.06104520679705034,,,
0-20 km,2020,MEL,mergulho livre,active,1.0,1559.5,0.0006412311638345624,,,
0-20 km,2020,PUC,puçá,active,14.6,1559.5,0.00936197499198461,,,
0-20 km,2020,RAG,rede agulha,passive,32.3,1559.5,0.020711766591856362,,,
0-20 km,2020,RCA,rede caçoeira,passive,0.0,1559.5,0.0,,,
0-20 km,2020,RES,rede de espera,passive,230.1,1559.5,0.1475472907983328,,,
0-20 km,2020,RTP,rede de tapagem,passive,2.4,1559.5,0.0015389547932029496,,,
0-20 km,2020,SRD,sardinheira,passive,88.1,1559.5,0.05649246553382494,,,
0-20 km,2020,TNR,traineira,active,220.60000000000002,1559.5,0.14145559474190447,,,
0-20 km,2020,TRF,tarrafa,active,4.699999999999999,1559.5,0.0030137864700224425,,,
0-20 km,2020,TRM,tremalho,passive,61.400000000000006,1559.5,0.039371593459442134,,,
0-20 km,2021,APA,arrasto de praia,active,0.0,1512.0,0.0,,,
0-20 km,2021,APO,arrasto de porta,active,0.5,1512.0,0.00033068783068783067,,,
0-20 km,2021,CMN,coleta manual,active,348.7,1512.0,0.23062169312169312,,,
0-20 km,2021,CMP,compressor,active,0.0,1512.0,0.0,,,
0-20 km,2021,COQ,coqueiro,active,14.5,1512.0,0.00958994708994709,,,
0-20 km,2021,CPL,covo peixe e lagosta,passive,0.0,1512.0,0.0,,,
0-20 km,2021,CUR,curral,passive,3.4,1512.0,0.0022486772486772486,,,
0-20 km,2021,CVL,covo lagosta,passive,0.0,1512.0,0.0,,,
0-20 km,2021,CVP,covo peixe,passive,0.0,1512.0,0.0,,,
0-20 km,2021,JER,jereré,active,0.0,1512.0,0.0,,,
0-20 km,2021,LCL,linha e covo lagosta,mixed,0.0,1512.0,0.0,,,
0-20 km,2021,LCP,linha e covo peixe,mixed,0.0,1512.0,0.0,,,
0-20 km,2021,LES,linha e espinhel,mixed,0.0,1512.0,0.0,,,
0-20 km,2021,LIJ,linha e jereré,mixed,243.9,1512.0,0.16130952380952382,,,
0-20 km,2021,LIN,linha,passive,189.7,1512.0,0.12546296296296294,,,
0-20 km,2021,LML,linha e mergulho livre,mixed,0.0,1512.0,0.0,,,
0-20 km,2021,LRE,linha e rede de espera,mixed,92.0,1512.0,0.06084656084656084,,,
0-20 km,2021,MEL,mergulho livre,active,0.30000000000000004,1512.0,0.00019841269841269844,,,
0-20 km,2021,PUC,puçá,active,9.2,1512.0,0.006084656084656084,,,
0-20 km,2021,RAG,rede agulha,passive,61.0,1512.0,0.04034391534391534,,,
0-20 km,2021,RCA,rede caçoeira,passive,0.0,1512.0,0.0,,,
0-20 km,2021,RES,rede de espera,passive,186.3,1512.0,0.12321428571428572,,,
0-20 km,2021,RTP,rede de tapagem,passive,1.1,1512.0,0.0007275132275132276,,,
0-20 km,2021,SRD,sardinheira,passive,80.0,1512.0,0.05291005291005291,,,
0-20 km,2021,TNR,traineira,active,236.5,1512.0,0.15641534391534392,,,
0-20 km,2021,TRF,tarrafa,active,11.299999999999999,1512.0,0.0074735449735449724,,,
0-20 km,2021,TRM,tremalho,passive,33.599999999999994,1512.0,0.02222222222222222,,,
0-20 km,2022,APO,arrasto de porta,active,0.4,1700.6,0.00023521110196401274,,,
0-20 km,2022,CMN,coleta manual,active,498.2,1700.6,0.2929554274961778,,,
0-20 km,2022,CMP,compressor,active,0.0,1700.6,0.0,,,
0-20 km,2022,COQ,coqueiro,active,1.9000000000000001,1700.6,0.0011172527343290605,,,
0-20 km,2022,CPL,covo peixe e lagosta,passive,2.3,1700.6,0.001352463836293073,,,
0-20 km,2022,CUR,curral,passive,2.4,1700.6,0.0014112666117840763,,,
0-20 km,2022,CVL,covo lagosta,passive,0.0,1700.6,0.0,,,
0-20 km,2022,CVP,covo peixe,passive,0.0,1700.6,0.0,,,
0-20 km,2022,LES,linha e espinhel,mixed,0.0,1700.6,0.0,,,
0-20 km,2022,LIJ,linha e jereré,mixed,181.5,1700.6,0.10672703751617077,,,
0-20 km,2022,LIN,linha,passive,190.79999999999998,1700.6,0.11219569563683406,,,
0-20 km,2022,LML,linha e mergulho livre,mixed,0.5,1700.6,0.0002940138774550159,,,
0-20 km,2022,LRE,linha e rede de espera,mixed,101.2,1700.6,0.059508408796895215,,,
0-20 km,2022,MEL,mergulho livre,active,0.5,1700.6,0.0002940138774550159,,,
0-20 km,2022,PUC,puçá,active,16.7,1700.6,0.009820063506997531,,,
0-20 km,2022,RAG,rede agulha,passive,58.5,1700.6,0.03439962366223686,,,
0-20 km,2022,RCA,rede caçoeira,passive,0.0,1700.6,0.0,,,
0-20 km,2022,RES,rede de espera,passive,277.7,1700.6,0.16329530753851582,,,
0-20 km,2022,RTP,rede de tapagem,passive,0.8,1700.6,0.00047042220392802547,,,
0-20 km,2022,SRD,sardinheira,passive,71.6,1700.6,0.04210278725155827,,,
0-20 km,2022,TNR,traineira,active,251.1,1700.6,0.147653769257909,,,
0-20 km,2022,TRF,tarrafa,active,6.3,1700.6,0.0037045748559332,,,
0-20 km,2022,TRM,tremalho,passive,38.2,1700.6,0.022462660237563215,,,
0-20 km,2023,APO,arrasto de porta,active,0.0,1766.1999999999998,0.0,,,
0-20 km,2023,CMN,coleta manual,active,626.5999999999999,1766.1999999999998,0.35477295889480237,,,
0-20 km,2023,CMP,compressor,active,0.0,1766.1999999999998,0.0,,,
0-20 km,2023,COQ,coqueiro,active,0.3,1766.1999999999998,0.0001698561884271317,,,
0-20 km,2023,CPL,covo peixe e lagosta,passive,4.7,1766.1999999999998,0.0026610802853583968,,,
0-20 km,2023,CUR,curral,passive,2.9,1766.1999999999998,0.0016419431547956065,,,
0-20 km,2023,CVL,covo lagosta,passive,0.0,1766.1999999999998,0.0,,,
0-20 km,2023,CVP,covo peixe,passive,0.0,1766.1999999999998,0.0,,,
0-20 km,2023,JER,jereré,active,0.0,1766.1999999999998,0.0,,,
0-20 km,2023,LES,linha e espinhel,mixed,0.6000000000000001,1766.1999999999998,0.0003397123768542635,,,
0-20 km,2023,LIJ,linha e jereré,mixed,147.0,1766.1999999999998,0.08322953232929454,,,
0-20 km,2023,LIN,linha,passive,119.8,1766.1999999999998,0.06782923791190126,,,
0-20 km,2023,LML,linha e mergulho livre,mixed,0.3,1766.1999999999998,0.0001698561884271317,,,
0-20 km,2023,LRE,linha e rede de espera,mixed,103.8,1766.1999999999998,0.05877024119578757,,,
0-20 km,2023,MEL,mergulho livre,active,1.7,1766.1999999999998,0.0009625184010870797,,,
0-20 km,2023,PUC,puçá,active,9.0,1766.1999999999998,0.005095685652813951,,,
0-20 km,2023,RAG,rede agulha,passive,33.2,1766.1999999999998,0.018797418185935912,,,
0-20 km,2023,RCA,rede caçoeira,passive,0.0,1766.1999999999998,0.0,,,
0-20 km,2023,RES,rede de espera,passive,272.0,1766.1999999999998,0.15400294417393276,,,
0-20 km,2023,RTP,rede de tapagem,passive,0.7,1766.1999999999998,0.000396331106329974,,,
0-20 km,2023,SRD,sardinheira,passive,94.7,1766.1999999999998,0.05361793681349791,,,
0-20 km,2023,TNR,traineira,active,268.9,1766.1999999999998,0.1522477635601857,,,
0-20 km,2023,TRF,tarrafa,active,6.0,1766.1999999999998,0.003397123768542634,,,
0-20 km,2023,TRM,tremalho,passive,74.0,1766.1999999999998,0.041897859812025824,,,
0-20 km,2024,APO,arrasto de porta,active,0.0,1204.3,0.0,,,
0-20 km,2024,CMN,coleta manual,active,281.1,1204.3,0.233413601262144,,,
0-20 km,2024,CMP,compressor,active,0.0,1204.3,0.0,,,
0-20 km,2024,COQ,palha de coqueiro,passive,0.1,1204.3,8.30357884248111e-05,,,
0-20 km,2024,CUR,curral,passive,2.9,1204.3,0.002408037864319522,,,
0-20 km,2024,CVL,covo lagosta,passive,0.0,1204.3,0.0,,,
0-20 km,2024,CVP,covo peixe,passive,1.3,1204.3,0.0010794652495225443,,,
0-20 km,2024,ESP,espinhel,passive,8.4,1204.3,0.006975006227684133,,,
0-20 km,2024,LES,linha e espinhel,mixed,0.0,1204.3,0.0,,,
0-20 km,2024,LIJ,linha e jereré,mixed,68.9,1204.3,0.05721165822469485,,,
0-20 km,2024,LIN,linha,passive,171.9,1204.3,0.1427385203022503,,,
0-20 km,2024,LML,linha e mergulho livre,mixed,0.6,1204.3,0.0004982147305488666,,,
0-20 km,2024,LRE,linha e rede de espera,mixed,37.8,1204.3,0.031387528024578594,,,
0-20 km,2024,MEL,mergulho livre,active,3.0,1204.3,0.002491073652744333,,,
0-20 km,2024,PUC,puçá,active,7.4,1204.3,0.006144648343436022,,,
0-20 km,2024,RAG,rede agulha,passive,27.799999999999997,1204.3,0.023083949182097482,,,
0-20 km,2024,REC,rede caçoeira,passive,0.0,1204.3,0.0,,,
0-20 km,2024,RES,rede de espera,passive,470.4,1204.3,0.39060034875031135,,,
0-20 km,2024,RTP,rede de tapagem,passive,0.8,1204.3,0.0006642863073984888,,,
0-20 km,2024,SRD,sardinheira,passive,79.5,1204.3,0.06601345179772482,,,
0-20 km,2024,TRF,tarrafa,active,4.5,1204.3,0.0037366104791164995,,,
0-20 km,2024,TRM,tremalho,passive,37.9,1204.3,0.03147056381300341,,,
20-50 km,2001,APA,arrasto de praia,active,17.76,299.32,0.05933449151409863,,,
20-50 km,2001,APO,arrasto de porta,active,4.78,299.32,0.015969530936790058,,,
20-50 km,2001,CCM,coleta de camarão,active,3.02,299.32,0.010089536282239743,,,
20-50 km,2001,CPL,covo peixe e lagosta,passive,45.81,299.32,0.15304690632099427,,,
20-50 km,2001,CVL,covo lagosta,passive,6.869999999999999,299.32,0.022952024589068552,,,
20-50 km,2001,ESP,espinhel,passive,0.91,299.32,0.00304022450888681,,,
20-50 km,2001,LCL,linha e covo lagosta,mixed,5.09,299.32,0.017005211813443805,,,
20-50 km,2001,LIJ,linha e jereré,mixed,48.01,299.32,0.16039689963918213,,,
20-50 km,2001,LIN,linha,passive,70.99,299.32,0.23717092075370838,,,
20-50 km,2001,RAG,rede agulha,passive,31.009999999999998,299.32,0.10360149672591207,,,
20-50 km,2001,RES,rede de espera,passive,59.0,299.32,0.1971134571695844,,,
20-50 km,2001,TRF,tarrafa,active,6.07,299.32,0.02027929974609114,,,
20-50 km,2002,APA,arrasto de praia,active,16.03,371.48,0.0431517174545063,,,
20-50 km,2002,APO,arrasto de porta,active,8.05,371.48,0.021670076450952945,,,
20-50 km,2002,CCM,coleta de camarão,active,3.86,371.48,0.010390868956606007,,,
20-50 km,2002,COQ,coqueiro,active,2.96,371.48,0.00796812749003984,,,
20-50 km,2002,CPL,covo peixe e lagosta,passive,37.25,371.48,0.10027457736621083,,,
20-50 km,2002,CVL,covo lagosta,passive,6.2299999999999995,371.48,0.01677075481856358,,,
20-50 km,2002,LIJ,linha e jereré,mixed,136.77,371.48,0.368175944869172,,,
20-50 km,2002,LIN,linha,passive,75.09,371.48,0.20213739636050393,,,
20-50 km,2002,RAG,rede agulha,passive,25.16,371.48,0.06772908366533864,,,
20-50 km,2002,RES,rede de espera,passive,53.67,371.48,0.14447614945622914,,,
20-50 km,2002,TRF,tarrafa,active,6.41,371.48,0.017255303111876816,,,
20-50 km,2003,APA,arrasto de praia,active,10.05,398.28999999999996,0.02523287052147933,,,
20-50 km,2003,APO,arrasto de porta,active,3.42,398.28999999999996,0.008586708177458637,,,
20-50 km,2003,CCM,coleta de camarão,active,2.34,398.28999999999996,0.005875116121419066,,,
20-50 km,2003,COQ,coqueiro,active,9.38,398.28999999999996,0.023550679153380705,,,
20-50 km,2003,CPL,covo peixe e lagosta,passive,35.300000000000004,398.28999999999996,0.08862888849833038,,,
20-50 km,2003,CVL,covo lagosta,passive,25.66,398.28999999999996,0.064425418664792,,,
20-50 km,2003,CVP,covo peixe,passive,17.3,398.28999999999996,0.04343568756433755,,,
20-50 km,2003,ESP,espinhel,passive,2.57,398.28999999999996,0.006452584800020086,,,
20-50 km,2003,LIJ,linha e jereré,mixed,143.73,398.28999999999996,0.3608677094579327,,,
20-50 km,2003,LIN,linha,passive,62.77,398.28999999999996,0.15759873459037388,,,
20-50 km,2003,RAG,rede agulha,passive,21.06,398.28999999999996,0.0528760450927716,,,
20-50 km,2003,RES,rede de espera,passive,61.46,398.28999999999996,0.15430967385573327,,,
20-50 km,2003,TRF,tarrafa,active,3.25,398.28999999999996,0.008159883501970926,,,
20-50 km,2004,APA,arrasto de praia,active,16.08,531.39,0.030260260825382485,,,
20-50 km,2004,APO,arrasto de porta,active,23.03,531.39,0.0433391670900845,,,
20-50 km,2004,CPL,covo peixe e lagosta,passive,46.18,531.39,0.08690415702214946,,,
20-50 km,2004,CVL,covo lagosta,passive,7.96,531.39,0.014979581851370933,,,
20-50 km,2004,CVP,covo peixe,passive,0.57,531.39,0.001072658499407215,,,
20-50 km,2004,ESP,espinhel,passive,2.79,531.39,0.0052503810760458425,,,
20-50 km,2004,LCL,linha e covo lagosta,mixed,1.74,531.39,0.0032744312087167617,,,
20-50 km,2004,LIJ,linha e jereré,mixed,245.39000000000001,531.39,0.46178889327988865,,,
20-50 km,2004,LIN,linha,passive,75.22999999999999,531.39,0.14157210335158732,,,
20-50 km,2004,MEL,mergulho livre,active,0.64,531.39,0.0012043884905624871,,,
20-50 km,2004,RAG,rede agulha,passive,38.46,531.39,0.07237622085473946,,,
20-50 km,2004,RES,rede de espera,passive,61.46,531.39,0.11565893223432884,,,
20-50 km,2004,SRD,sardinheira,passive,8.76,531.39,0.01648506746457404,,,
20-50 km,2004,TRF,tarrafa,active,2.35,531.39,0.004422363988784132,,,
20-50 km,2004,TRM,tremalho,passive,0.75,531.39,0.0014113927623779145,,,
20-50 km,2005,APA,arrasto de praia,active,15.47,622.18,0.024864187212703722,,,
20-50 km,2005,APO,arrasto de porta,active,6.66,622.18,0.010704297791635863,,,
20-50 km,2005,CCM,coleta de camarão,active,2.15,622.18,0.0034555916294319975,,,
20-50 km,2005,CMN,coleta manual,active,3.8,622.18,0.006107557298530972,,,
20-50 km,2005,COQ,coqueiro,active,2.16,622.18,0.003471664148638658,,,
20-50 km,2005,CPL,covo peixe e lagosta,passive,65.06,622.18,0.10456780995853292,,,
20-50 km,2005,CVL,covo lagosta,passive,70.85,622.18,0.1138737985791893,,,
20-50 km,2005,CVP,covo peixe,passive,4.68,622.18,0.007521938988717091,,,
20-50 km,2005,ESP,espinhel,passive,4.09,622.18,0.006573660355524125,,,
20-50 km,2005,LCL,linha e covo lagosta,mixed,27.92,622.18,0.04487447362499599,,,
20-50 km,2005,LIJ,linha e jereré,mixed,108.1,622.18,0.17374393262399948,,,
20-50 km,2005,LIN,linha,passive,101.7,622.18,0.16345752033173683,,,
20-50 km,2005,MEL,mergulho livre,active,0.6699999999999999,622.18,0.0010768587868462502,,,
20-50 km,2005,RAG,rede agulha,passive,73.63,622.18,0.11834195891864091,,,
20-50 km,2005,RES,rede de espera,passive,100.61,622.18,0.16170561573821082,,,
20-50 km,2005,SRD,sardinheira,passive,28.299999999999997,622.18,0.045485229354849076,,,
20-50 km,2005,TRF,tarrafa,active,4.97,622.18,0.007988042045710245,,,
20-50 km,2005,TRM,tremalho,passive,1.36,622.18,0.002185862612105822,,,
20-50 km,2006,APA,arrasto de praia,active,35.03,487.68000000000006,0.07182988845144356,,,
20-50 km,2006,APO,arrasto de porta,active,11.91,487.68000000000006,0.024421751968503935,,,
20-50 km,2006,CCM,coleta de camarão,active,6.7,487.68000000000006,0.013738517060367453,,,
20-50 km,2006,COQ,coqueiro,active,1.82,487.68000000000006,0.0037319553805774276,,,
20-50 km,2006,CPL,covo peixe e lagosta,passive,37.39,487.68000000000006,0.07666912729658792,,,
20-50 km,2006,CVL,covo lagosta,passive,8.17,487.68000000000006,0.016752788713910758,,,
20-50 km,2006,CVP,covo peixe,passive,0.67,487.68000000000006,0.0013738517060367453,,,
20-50 km,2006,ESP,espinhel,passive,4.89,487.68000000000006,0.010027066929133856,,,
20-50 km,2006,LCL,linha e covo lagosta,mixed,7.34,487.68000000000006,0.0150508530183727,,,
20-50 km,2006,LIJ,linha e jereré,mixed,168.3,487.68000000000006,0.3451033464566929,,,
20-50 km,2006,LIN,linha,passive,82.26,487.68000000000006,0.16867618110236218,,,
20-50 km,2006,RAG,rede agulha,passive,55.25,487.68000000000006,0.1132915026246719,,,
20-50 km,2006,RES,rede de espera,passive,65.2,487.68000000000006,0.13369422572178477,,,
20-50 km,2006,TRF,tarrafa,active,2.75,487.68000000000006,0.005638943569553805,,,
20-50 km,2007,APA,arrasto de praia,active,8.64,631.66,0.013678244625273091,,,
20-50 km,2007,APO,arrasto de porta,active,1.41,631.66,0.00223221353259665,,,
20-50 km,2007,CCM,coleta de camarão,active,2.17,631.66,0.0034353924579678943,,,
20-50 km,2007,CMN,coleta manual,active,0.79,631.66,0.001250672830320109,,,
20-50 km,2007,CPL,covo peixe e lagosta,passive,53.7,631.66,0.08501408985846817,,,
20-50 km,2007,CVL,covo lagosta,passive,14.559999999999999,631.66,0.023050375201849094,,,
20-50 km,2007,CVP,covo peixe,passive,0.67,631.66,0.0010606972105246493,,,
20-50 km,2007,ESP,espinhel,passive,4.28,631.66,0.0067757971060380595,,,
20-50 km,2007,LCL,linha e covo lagosta,mixed,10.209999999999999,631.66,0.016163758984263685,,,
20-50 km,2007,LIJ,linha e jereré,mixed,303.28999999999996,631.66,0.4801475477313744,,,
20-50 km,2007,LIN,linha,passive,83.39,631.66,0.1320172244561948,,,
20-50 km,2007,MEL,mergulho livre,active,1.15,631.66,0.0018205996897064877,,,
20-50 km,2007,RAG,rede agulha,passive,51.68000000000001,631.66,0.08181616692524461,,,
20-50 km,2007,RES,rede de espera,passive,91.14,631.66,0.14428648323465157,,,
20-50 km,2007,TRF,tarrafa,active,1.89,631.66,0.0029921160117784883,,,
20-50 km,2007,TRM,tremalho,passive,2.69,631.66,0.004258620143748219,,,
20-50 km,2008,APA,arrasto de praia,active,52.46,1308.51,0.04009140167060244,,,
20-50 km,2008,APO,arrasto de porta,active,225.01,1308.51,0.1719589456710304,,,
20-50 km,2008,CCM,coleta de camarão,active,22.53,1308.51,0.01721805717954009,,,
20-50 km,2008,CMN,coleta manual,active,1.14,1308.51,0.000871219937180457,,,
20-50 km,2008,CPL,covo peixe e lagosta,passive,43.58,1308.51,0.03330505689677572,,,
20-50 km,2008,CVL,covo lagosta,passive,118.78,1308.51,0.09077500363008308,,,
20-50 km,2008,CVP,covo peixe,passive,4.39,1308.51,0.0033549609861598306,,,
20-50 km,2008,ESP,espinhel,passive,14.54,1308.51,0.01111187533912618,,,
20-50 km,2008,LCL,linha e covo lagosta,mixed,12.329999999999998,1308.51,0.009422931425820206,,,
20-50 km,2008,LIJ,linha e jereré,mixed,220.26999999999998,1308.51,0.16833650487959587,,,
20-50 km,2008,LIN,linha,passive,212.67000000000002,1308.51,0.1625283719650595,,,
20-50 km,2008,MEL,mergulho livre,active,23.84,1308.51,0.018219195879282543,,,
20-50 km,2008,PUC,puçá,active,0.07,1308.51,5.349596105494036e-05,,,
20-50 km,2008,RAG,rede agulha,passive,82.24,1308.51,0.06285011195940421,,,
20-50 km,2008,RES,rede de espera,passive,236.48,1308.51,0.1807246410038899,,,
20-50 km,2008,RTP,rede de tapagem,passive,0.01,1308.51,7.642280150705766e-06,,,
20-50 km,2008,SRD,sardinheira,passive,3.62,1308.51,0.002766505414555487,,,
20-50 km,2008,TRF,tarrafa,active,20.58,1308.51,0.015727812550152463,,,
20-50 km,2008,TRM,tremalho,passive,13.97,1308.51,0.010676265370535953,,,
20-50 km,2009,APA,arrasto de praia,active,64.4531,3213.8853999999997,0.020054573196667192,,,
20-50 km,2009,APO,arrasto de porta,active,299.103,3213.8853999999997,0.09306585729534726,,,
20-50 km,2009,CMN,coleta manual,active,19.4924,3213.8853999999997,0.0060650575779708895,,,
20-50 km,2009,CMP,compressor,active,73.5617,3213.8853999999997,0.0228887128333823,,,
20-50 km,2009,CUR,curral,passive,0.0,3213.8853999999997,0.0,,,
20-50 km,2009,CVL,covo lagosta,passive,0.3472,3213.8853999999997,0.00010803123222750881,,,
20-50 km,2009,CVP,covo peixe,passive,9.2729,3213.8853999999997,0.002885261559108486,,,
20-50 km,2009,ESP,espinhel,passive,15.3543,3213.8853999999997,0.004777488332346885,,,
20-50 km,2009,LCP,linha e covo peixe,mixed,0.0,3213.8853999999997,0.0,,,
20-50 km,2009,LIJ,linha e jereré,passive,774.9649999999999,3213.8853999999997,0.24113025311979078,,,
20-50 km,2009,LIN,linha,passive,774.0344,3213.8853999999997,0.24084069705783537,,,
20-50 km,2009,MEL,mergulho livre,active,38.405,3213.8853999999997,0.011949710465718537,,,
20-50 km,2009,PUC,puçá/mangote,active,34.7455,3213.8853999999997,0.010811057544242244,,,
20-50 km,2009,RAG,rede agulha,passive,39.3278,3213.8853999999997,0.012236839558747182,,,
20-50 km,2009,RCA,rede caçoeira,passive,119.8289,3213.8853999999997,0.03728474574731259,,,
20-50 km,2009,RES,rede de espera,passive,603.6714,3213.8853999999997,0.18783227304869055,,,
20-50 km,2009,RTP,rede de tapagem,passive,0.0,3213.8853999999997,0.0,,,
20-50 km,2009,SRD,sardinheira,active,10.6031,3213.8853999999997,0.003299153106081505,,,
20-50 km,2009,TNR,tainheira,active,256.2233,3213.8853999999997,0.07972384454031871,,,
20-50 km,2009,TRF,tarrafa,active,62.3317,3213.8853999999997,0.01939449987855821,,,
20-50 km,2009,TRM,tresmalho,passive,18.1647,3213.8853999999997,0.005651943905653886,,,
20-50 km,2010,APA,arrasto de praia,active,108.747,2897.163,0.03753568577259892,,,
20-50 km,2010,APO,arrasto de porta,active,57.714999999999996,2897.163,0.019921212579340545,,,
20-50 km,2010,CMN,coleta manual,active,63.769,2897.163,0.022010843021259073,,,
20-50 km,2010,CMP,compressor,active,201.941,2897.163,0.06970301636462982,,,
20-50 km,2010,CUR,curral,passive,0.0,2897.163,0.0,,,
20-50 km,2010,CVL,covo lagosta,passive,7.822,2897.163,0.0026998826092974404,,,
20-50 km,2010,CVP,covo peixe,passive,28.335,2897.163,0.009780257444955634,,,
20-50 km,2010,ESP,espinhel,passive,28.895999999999997,2897.163,0.009973895151912405,,,
20-50 km,2010,LCP,linha e covo peixe,passive,0.0,2897.163,0.0,,,
20-50 km,2010,LES,linha e espinhel,passive,0.0,2897.163,0.0,,,
20-50 km,2010,LIJ,linha e jereré,passive,562.371,2897.163,0.19411092851869224,,,
20-50 km,2010,LIN,linha,passive,642.2629999999999,2897.163,0.22168687091475348,,,
20-50 km,2010,LRE,linha e rede de espera,passive,0.0,2897.163,0.0,,,
20-50 km,2010,MEL,mergulho livre,active,18.137999999999998,2897.163,0.006260607359682558,,,
20-50 km,2010,PUC,puçá,active,5.744,2897.163,0.0019826292134753894,,,
20-50 km,2010,RAG,rede de agulha,passive,78.90899999999999,2897.163,0.027236644952320595,,,
20-50 km,2010,RCA,rede caçoeira,passive,105.668,2897.163,0.03647292195848145,,,
20-50 km,2010,RES,rede de espera,passive,661.407,2897.163,0.2282947145189967,,,
20-50 km,2010,RTP,rede de tapagem,passive,0.0,2897.163,0.0,,,
20-50 km,2010,SRD,sardinheira,active,55.536,2897.163,0.019169097492961217,,,
20-50 km,2010,TNR,tainheira,active,197.202,2897.163,0.068067278230462,,,
20-50 km,2010,TRF,tarrafa,active,38.290000000000006,2897.163,0.013216377538992458,,,
20-50 km,2010,TRM,tresmalho,passive,34.41,2897.163,0.011877136357188048,,,
20-50 km,2011,APA,arrasto de praia,active,1.559,2929.117,0.0005322423105666315,,,
20-50 km,2011,APO,arrasto de porta,active,143.96900000000002,2929.117,0.04915098987169171,,,
20-50 km,2011,CMN,coleta manual,active,65.538,2929.117,0.022374661032659327,,,
20-50 km,2011,CMP,compressor,active,200.57,2929.117,0.06847456076353385,,,
20-50 km,2011,CPL,covo peixe e lagosta,passive,24.312000000000005,2929.117,0.00830011228639894,,,
20-50 km,2011,CVL,covo lagosta,passive,39.237,2929.117,0.013395504515524645,,,
20-50 km,2011,CVP,covo peixe,passive,68.46600000000001,2929.117,0.023374279689066708,,,
20-50 km,2011,JER,jereré,active,32.015,2929.117,0.010929915056312191,,,
20-50 km,2011,LCL,linha e covo lagosta,mixed,13.485999999999999,2929.117,0.004604117896280687,,,
20-50 km,2011,LCP,linha e covo peixe,mixed,4.816000000000001,2929.117,0.0016441815058940972,,,
20-50 km,2011,LES,linha e espinhel,mixed,16.724,2929.117,0.005709570495135564,,,
20-50 km,2011,LIJ,linha e jereré,mixed,506.42699999999996,2929.117,0.17289408378019722,,,
20-50 km,2011,LIN,linha,passive,599.34,2929.117,0.2046145647305997,,,
20-50 km,2011,LML,linha e mergulho livre,mixed,3.727,2929.117,0.0012723971080704525,,,
20-50 km,2011,LRE,linha e rede de espera,mixed,23.679000000000002,2929.117,0.008084006203917426,,,
20-50 km,2011,MEL,mergulho livre,active,26.455,2929.117,0.00903173208854409,,,
20-50 km,2011,PUC,puçá,active,9.504,2929.117,0.0032446638355518058,,,
20-50 km,2011,RAG,rede agulha,passive,73.05,2929.117,0.024939256438032346,,,
20-50 km,2011,RCA,rede caçoeira,passive,87.33300000000001,2929.117,0.029815469986347425,,,
20-50 km,2011,RES,rede de espera,passive,566.537,2929.117,0.19341562662058223,,,
20-50 km,2011,SRD,sardinheira,passive,19.412,2929.117,0.006627253196099712,,,
20-50 km,2011,TNR,traineira,active,215.107,2929.117,0.073437489864693,,,
