year_c,year,effect,ci_lo,ci_hi
-13.0,2001.0,-0.529641895866299,-0.71963032429414,-0.33965346743845787
-12.884422110552764,2001.1155778894472,-0.5149343855031211,-0.7035091236373472,-0.326359647368895
-12.768844221105528,2001.2311557788944,-0.5002468469779056,-0.6875347489581366,-0.3129589449976745
-12.653266331658292,2001.3467336683418,-0.4855806854731886,-0.6717086553859243,-0.29945271556045294
-12.537688442211055,2001.462311557789,-0.47093730617150564,-0.6560320588309398,-0.28584255351207144
-12.422110552763819,2001.5778894472362,-0.4563181142553938,-0.6405059287138359,-0.2721302997969517
-12.306532663316583,2001.6934673366834,-0.44172451490738796,-0.6251309830092747,-0.2583180468055012
-12.190954773869347,2001.8090452261306,-0.42715791331002495,-0.6099076857462422,-0.24440814087380774
-12.075376884422111,2001.9246231155778,-0.41261971464584063,-0.5948362470536248,-0.23040318223805648
-11.959798994974875,2002.0402010050252,-0.3981113240973706,-0.5799166257811533,-0.21630602241358785
-11.844221105527637,2002.1557788944724,-0.3836341468471509,-0.5651485346654487,-0.20211975902885315
-11.728643216080402,2002.2713567839196,-0.3691895880777182,-0.5505314479511905,-0.18784772820424595
-11.613065326633166,2002.3869346733668,-0.35477905297160783,-0.5360646113208589,-0.1734934946223568
-11.49748743718593,2002.502512562814,-0.3404039467113563,-0.521747053935409,-0.15906083948730368
-11.381909547738694,2002.6180904522614,-0.3260656744794994,-0.5075776023445974,-0.14455374661440143
-11.266331658291458,2002.7336683417086,-0.31176564145857305,-0.49355489599109015,-0.12997638692605598
-11.150753768844222,2002.8492462311558,-0.2975052528311135,-0.4796774040078904,-0.1153331016543366
-11.035175879396984,2002.964824120603,-0.2832859137796563,-0.4659434429945284,-0.1006283845647842
-10.919597989949748,2003.0804020100502,-0.26910902948673787,-0.45235119545372277,-0.08586686351975298
-10.804020100502512,2003.1959798994974,-0.25497600513489455,-0.43889872857622636,-0.07105328169356276
-10.688442211055277,2003.3115577889448,-0.2408882459066616,-0.42558401307629345,-0.05619247873702979
-10.57286432160804,2003.427135678392,-0.22684715698457542,-0.41240494180226894,-0.04128937216688186
-10.457286432160803,2003.5427135678392,-0.212854143551172,-0.3993593478746361,-0.02634893922770784
-10.341708542713569,2003.6582914572864,-0.1989106107889878,-0.386445022135846,-0.01137619944212967
-10.226130653266331,2003.7738693467336,-0.18501796388055775,-0.3736597297307217,0.003623801969606183
-10.110552763819095,2003.889447236181,-0.1711776080084188,-0.3610012256716856,0.018646009654847973
-9.99497487437186,2004.0050251256282,-0.15739094835510664,-0.3484672692781011,0.03368537256788781
