period,platform_exposure_class,mpa_exposure_class,production_ton,assisted_trips,estimated_fishermen,cpue_mean,cpue_fisherman_mean,n_locals,cpue_agg,cpue_fisherman_agg
early,0-20 km,0-10 km,4468.370000000001,59390,6316.950000000001,0.06453545909620179,0.6181955988515044,2,0.07523775046304093,0.7073619389103919
early,20-50 km,inside,4650.96,85020,8956.58,0.07445549818562297,0.4517341555650784,6,0.054704304869442485,0.5192785639161377
middle,0-20 km,0-10 km,12116.57,126238,5088.0,0.08268267992971334,2.054713066729096,2,0.09598195472044867,2.3814013364779876
middle,20-50 km,10-25 km,22533.785,202453,11921.25,0.11488471215551548,1.5247300896710991,6,0.11130378408815873,1.8902199853203314
recent,0-20 km,0-10 km,13844.79156,173368,6576.6,0.08001015787383771,1.9603059427851934,2,0.07985782589635919,2.105159438007481
recent,20-50 km,10-25 km,46489.00964,217845,12032.899999999998,0.21672427992415996,2.947417576949069,6,0.21340407004980605,3.8634917301731093
