species,mean_a,mean_b,contribution_pct,cumulative_pct,rank,contrast_type,group_a,group_b
Budiao,0.00063,0.00066,0.082,99.683,46,combined,20-50 km × 10-25 km,20-50 km × 25-50 km
Garoupa,4e-05,0.00101,0.07,99.753,47,combined,20-50 km × 10-25 km,20-50 km × 25-50 km
Beijupira,0.00046,0.00062,0.064,99.817,48,combined,20-50 km × 10-25 km,20-50 km × 25-50 km
Peixe Galo,0.00019,0.00083,0.061,99.878,49,combined,20-50 km × 10-25 km,20-50 km × 25-50 km
Carauna,0.0008,3e-05,0.056,99.934,50,combined,20-50 km × 10-25 km,20-50 km × 25-50 km
Albacorinha,0.00012,0.00039,0.034,99.969,51,combined,20-50 km × 10-25 km,20-50 km × 25-50 km
Tilapia,0.00013,4e-05,0.012,99.98,52,combined,20-50 km × 10-25 km,20-50 km × 25-50 km
Cangulo,1e-05,0.00012,0.009,99.989,53,combined,20-50 km × 10-25 km,20-50 km × 25-50 km
Galo Do Alto,1e-05,8e-05,0.006,99.995,54,combined,20-50 km × 10-25 km,20-50 km × 25-50 km
Pirauna,0.0,5e-05,0.003,99.999,55,combined,20-50 km × 10-25 km,20-50 km × 25-50 km
Saramunete,1e-05,1e-05,0.001,100.0,56,combined,20-50 km × 10-25 km,20-50 km × 25-50 km
Lagosta,0.15756,0.09933,12.421,12.421,1,combined,20-50 km × 10-25 km,20-50 km × inside
Tainha,0.20865,0.06292,12.109,24.53,2,combined,20-50 km × 10-25 km,20-50 km × inside
Camarao,0.00446,0.11713,8.66,33.189,3,combined,20-50 km × 10-25 km,20-50 km × inside
Albacora,0.03812,0.04346,5.583,38.773,4,combined,20-50 km × 10-25 km,20-50 km × inside
Ariaco,0.01823,0.08824,5.432,44.205,5,combined,20-50 km × 10-25 km,20-50 km × inside
Outros,0.05008,0.04744,4.156,48.361,6,combined,20-50 km × 10-25 km,20-50 km × inside
Caico,0.08229,0.05547,3.979,52.34,7,combined,20-50 km × 10-25 km,20-50 km × inside
Buzios,0.04011,0.01589,3.409,55.748,8,combined,20-50 km × 10-25 km,20-50 km × inside
Carapeba,0.03276,0.03576,2.89,58.638,9,combined,20-50 km × 10-25 km,20-50 km × inside
Guaiuba,0.03405,0.03302,2.783,61.421,10,combined,20-50 km × 10-25 km,20-50 km × inside
Sardinha,0.02434,0.01076,2.356,63.777,11,combined,20-50 km × 10-25 km,20-50 km × inside
Peixe Voador,0.03015,0.00013,2.294,66.071,12,combined,20-50 km × 10-25 km,20-50 km × inside
Arraia,0.01122,0.03631,2.21,68.281,13,combined,20-50 km × 10-25 km,20-50 km × inside
Serra,0.02498,0.02805,2.182,70.464,14,combined,20-50 km × 10-25 km,20-50 km × inside
Caranguejo,0.00898,0.02914,2.172,72.636,15,combined,20-50 km × 10-25 km,20-50 km × inside
Camurim,0.0121,0.03055,1.827,74.462,16,combined,20-50 km × 10-25 km,20-50 km × inside
Espada,0.0152,0.01473,1.823,76.286,17,combined,20-50 km × 10-25 km,20-50 km × inside
Dourado,0.02101,0.0091,1.652,77.938,18,combined,20-50 km × 10-25 km,20-50 km × inside
Garajuba,0.01225,0.02449,1.577,79.515,19,combined,20-50 km × 10-25 km,20-50 km × inside
Cavala,0.00372,0.02262,1.503,81.018,20,combined,20-50 km × 10-25 km,20-50 km × inside
Bagre,0.01623,0.02182,1.482,82.499,21,combined,20-50 km × 10-25 km,20-50 km × inside
Cioba,0.00849,0.0232,1.36,83.859,22,combined,20-50 km × 10-25 km,20-50 km × inside
Pescada,0.01755,0.02319,1.356,85.216,23,combined,20-50 km × 10-25 km,20-50 km × inside
Cururuca,0.01426,0.01629,1.193,86.408,24,combined,20-50 km × 10-25 km,20-50 km × inside
Biquara,0.01035,0.0134,1.154,87.563,25,combined,20-50 km × 10-25 km,20-50 km × inside
Marisco,0.01405,0.00069,1.089,88.651,26,combined,20-50 km × 10-25 km,20-50 km × inside
Ova Voador,0.01242,0.00014,0.949,89.6,27,combined,20-50 km × 10-25 km,20-50 km × inside
Tilapia,0.00013,0.01241,0.948,90.548,28,combined,20-50 km × 10-25 km,20-50 km × inside
Salema,0.00829,0.00703,0.747,91.295,29,combined,20-50 km × 10-25 km,20-50 km × inside
Polvo,3e-05,0.00954,0.723,92.018,30,combined,20-50 km × 10-25 km,20-50 km × inside
Paru,0.00248,0.00973,0.718,92.735,31,combined,20-50 km × 10-25 km,20-50 km × inside
Garabebeu,0.0094,0.00016,0.716,93.452,32,combined,20-50 km × 10-25 km,20-50 km × inside
Xareu,0.00863,0.00275,0.683,94.135,33,combined,20-50 km × 10-25 km,20-50 km × inside
Bonito,0.00922,0.00608,0.675,94.809,34,combined,20-50 km × 10-25 km,20-50 km × inside
Siri,0.00135,0.00778,0.653,95.462,35,combined,20-50 km × 10-25 km,20-50 km × inside
Agulha,0.00533,0.00414,0.596,96.057,36,combined,20-50 km × 10-25 km,20-50 km × inside
Camurupim,0.00616,0.00515,0.538,96.595,37,combined,20-50 km × 10-25 km,20-50 km × inside
Pampo,0.0058,0.00207,0.535,97.13,38,combined,20-50 km × 10-25 km,20-50 km × inside
Sirigado,0.00087,0.00745,0.529,97.659,39,combined,20-50 km × 10-25 km,20-50 km × inside
Ubarana,0.00515,0.00035,0.406,98.065,40,combined,20-50 km × 10-25 km,20-50 km × inside
Dentao,0.00103,0.00546,0.405,98.47,41,combined,20-50 km × 10-25 km,20-50 km × inside
Caçao,0.00571,0.00588,0.357,98.827,42,combined,20-50 km × 10-25 km,20-50 km × inside
Bicuda,0.00276,0.00252,0.322,99.149,43,combined,20-50 km × 10-25 km,20-50 km × inside
Agulhao,0.00166,0.00124,0.192,99.341,44,combined,20-50 km × 10-25 km,20-50 km × inside
Peixe Galo,0.00019,0.00242,0.184,99.525,45,combined,20-50 km × 10-25 km,20-50 km × inside
Arabaiana,7e-05,0.00116,0.086,99.611,46,combined,20-50 km × 10-25 km,20-50 km × inside
Carauna,0.0008,0.00037,0.084,99.694,47,combined,20-50 km × 10-25 km,20-50 km × inside
Pargo,7e-05,0.00105,0.078,99.773,48,combined,20-50 km × 10-25 km,20-50 km × inside
Garoupa,4e-05,0.00087,0.067,99.84,49,combined,20-50 km × 10-25 km,20-50 km × inside
Beijupira,0.00046,0.00062,0.066,99.906,50,combined,20-50 km × 10-25 km,20-50 km × inside
Budiao,0.00063,0.0002,0.059,99.965,51,combined,20-50 km × 10-25 km,20-50 km × inside
Galo Do Alto,1e-05,0.00018,0.015,99.98,52,combined,20-50 km × 10-25 km,20-50 km × inside
Albacorinha,0.00012,3e-05,0.011,99.991,53,combined,20-50 km × 10-25 km,20-50 km × inside
Cangulo,1e-05,7e-05,0.006,99.997,54,combined,20-50 km × 10-25 km,20-50 km × inside
Pirauna,0.0,3e-05,0.002,99.999,55,combined,20-50 km × 10-25 km,20-50 km × inside
Saramunete,1e-05,0.0,0.001,100.0,56,combined,20-50 km × 10-25 km,20-50 km × inside
Lagosta,0.22453,0.09933,13.471,13.471,1,combined,20-50 km × 25-50 km,20-50 km × inside
Peixe Voador,0.15673,0.00013,11.622,25.092,2,combined,20-50 km × 25-50 km,20-50 km × inside
Camarao,0.00411,0.11713,8.464,33.556,3,combined,20-50 km × 25-50 km,20-50 km × inside
Ariaco,0.04232,0.08824,4.985,38.542,4,combined,20-50 km × 25-50 km,20-50 km × inside
Tainha,0.00182,0.06292,4.578,43.12,5,combined,20-50 km × 25-50 km,20-50 km × inside
Albacora,0.01782,0.04346,3.959,47.079,6,combined,20-50 km × 25-50 km,20-50 km × inside
Outros,0.04002,0.04744,3.647,50.726,7,combined,20-50 km × 25-50 km,20-50 km × inside
Caico,0.06471,0.05547,3.598,54.325,8,combined,20-50 km × 25-50 km,20-50 km × inside
Agulha,0.04791,0.00414,3.489,57.814,9,combined,20-50 km × 25-50 km,20-50 km × inside
Dourado,0.04869,0.0091,3.415,61.229,10,combined,20-50 km × 25-50 km,20-50 km × inside
Carapeba,0.00257,0.03576,2.563,63.792,11,combined,20-50 km × 25-50 km,20-50 km × inside
Arraia,0.01367,0.03631,2.177,65.969,12,combined,20-50 km × 25-50 km,20-50 km × inside
Caranguejo,2e-05,0.02914,2.16,68.129,13,combined,20-50 km × 25-50 km,20-50 km × inside
Serra,0.03879,0.02805,2.119,70.248,14,combined,20-50 km × 25-50 km,20-50 km × inside
Camurim,0.0056,0.03055,1.991,72.239,15,combined,20-50 km × 25-50 km,20-50 km × inside
Ova Voador,0.02643,0.00014,1.965,74.204,16,combined,20-50 km × 25-50 km,20-50 km × inside
Guaiuba,0.01914,0.03302,1.763,75.966,17,combined,20-50 km × 25-50 km,20-50 km × inside
Garajuba,0.02855,0.02449,1.743,77.709,18,combined,20-50 km × 25-50 km,20-50 km × inside
Pescada,0.0245,0.02319,1.735,79.444,19,combined,20-50 km × 25-50 km,20-50 km × inside
Cavala,0.01249,0.02262,1.453,80.897,20,combined,20-50 km × 25-50 km,20-50 km × inside
Cioba,0.01871,0.0232,1.348,82.244,21,combined,20-50 km × 25-50 km,20-50 km × inside
Espada,0.00666,0.01473,1.332,83.576,22,combined,20-50 km × 25-50 km,20-50 km × inside
Bagre,0.01632,0.02182,1.315,84.892,23,combined,20-50 km × 25-50 km,20-50 km × inside
Biquara,0.01605,0.0134,1.248,86.14,24,combined,20-50 km × 25-50 km,20-50 km × inside
Sirigado,0.0186,0.00745,1.208,87.349,25,combined,20-50 km × 25-50 km,20-50 km × inside
Buzios,4e-05,0.01589,1.178,88.526,26,combined,20-50 km × 25-50 km,20-50 km × inside
Sardinha,0.00598,0.01076,1.106,89.632,27,combined,20-50 km × 25-50 km,20-50 km × inside
Cururuca,0.01504,0.01629,1.064,90.697,28,combined,20-50 km × 25-50 km,20-50 km × inside
Caçao,0.01842,0.00588,0.988,91.684,29,combined,20-50 km × 25-50 km,20-50 km × inside
Tilapia,4e-05,0.01241,0.921,92.605,30,combined,20-50 km × 25-50 km,20-50 km × inside
Polvo,0.0065,0.00954,0.838,93.443,31,combined,20-50 km × 25-50 km,20-50 km × inside
Bonito,0.01216,0.00608,0.779,94.222,32,combined,20-50 km × 25-50 km,20-50 km × inside
Paru,0.00188,0.00973,0.699,94.921,33,combined,20-50 km × 25-50 km,20-50 km × inside
Pargo,0.00954,0.00105,0.677,95.598,34,combined,20-50 km × 25-50 km,20-50 km × inside
Siri,7e-05,0.00778,0.576,96.174,35,combined,20-50 km × 25-50 km,20-50 km × inside
Salema,0.00318,0.00703,0.555,96.728,36,combined,20-50 km × 25-50 km,20-50 km × inside
Agulhao,0.00657,0.00124,0.515,97.243,37,combined,20-50 km × 25-50 km,20-50 km × inside
Dentao,0.00384,0.00546,0.486,97.728,38,combined,20-50 km × 25-50 km,20-50 km × inside
Camurupim,0.00287,0.00515,0.43,98.158,39,combined,20-50 km × 25-50 km,20-50 km × inside
Arabaiana,0.0059,0.00116,0.39,98.548,40,combined,20-50 km × 25-50 km,20-50 km × inside
Pampo,0.00219,0.00207,0.262,98.809,41,combined,20-50 km × 25-50 km,20-50 km × inside
Bicuda,0.00153,0.00252,0.232,99.041,42,combined,20-50 km × 25-50 km,20-50 km × inside
Peixe Galo,0.00083,0.00242,0.183,99.224,43,combined,20-50 km × 25-50 km,20-50 km × inside
Xareu,0.00127,0.00275,0.182,99.406,44,combined,20-50 km × 25-50 km,20-50 km × inside
Ubarana,0.00217,0.00035,0.169,99.576,45,combined,20-50 km × 25-50 km,20-50 km × inside
Garoupa,0.00101,0.00087,0.117,99.693,46,combined,20-50 km × 25-50 km,20-50 km × inside
Beijupira,0.00062,0.00062,0.074,99.767,47,combined,20-50 km × 25-50 km,20-50 km × inside
Budiao,0.00066,0.0002,0.058,99.825,48,combined,20-50 km × 25-50 km,20-50 km × inside
Marisco,1e-05,0.00069,0.052,99.877,49,combined,20-50 km × 25-50 km,20-50 km × inside
Albacorinha,0.00039,3e-05,0.031,99.908,50,combined,20-50 km × 25-50 km,20-50 km × inside
Carauna,3e-05,0.00037,0.029,99.936,51,combined,20-50 km × 25-50 km,20-50 km × inside
Garabebeu,0.00026,0.00016,0.025,99.962,52,combined,20-50 km × 25-50 km,20-50 km × inside
Galo Do Alto,8e-05,0.00018,0.019,99.981,53,combined,20-50 km × 25-50 km,20-50 km × inside
Cangulo,0.00012,7e-05,0.013,99.994,54,combined,20-50 km × 25-50 km,20-50 km × inside
Pirauna,5e-05,3e-05,0.005,99.999,55,combined,20-50 km × 25-50 km,20-50 km × inside
Saramunete,1e-05,0.0,0.001,100.0,56,combined,20-50 km × 25-50 km,20-50 km × inside
