local,year,boat_type,propulsion,vessels_monitored,total_vessels,boat_share,share_motorised,share_sail_row,share_other
CAICARA DO NORTE,2018,PED,other,0,171,0.0,0.6023391812865497,0.07602339181286549,0.3216374269005848
CAICARA DO NORTE,2018,PQM,motorised,1,171,0.005847953216374269,0.6023391812865497,0.07602339181286549,0.3216374269005848
CAICARA DO NORTE,2018,PQV,sail/row,0,171,0.0,0.6023391812865497,0.07602339181286549,0.3216374269005848
CAICARA DO NORTE,2019,BMG,motorised,0,207,0.0,0.6328502415458938,0.06280193236714976,0.30434782608695654
CAICARA DO NORTE,2019,BMM,motorised,67,207,0.32367149758454106,0.6328502415458938,0.06280193236714976,0.30434782608695654
CAICARA DO NORTE,2019,BMP,motorised,10,207,0.04830917874396135,0.6328502415458938,0.06280193236714976,0.30434782608695654
CAICARA DO NORTE,2019,BOM,other,63,207,0.30434782608695654,0.6328502415458938,0.06280193236714976,0.30434782608695654
CAICARA DO NORTE,2019,BOV,sail/row,11,207,0.05314009661835749,0.6328502415458938,0.06280193236714976,0.30434782608695654
CAICARA DO NORTE,2019,CAM,motorised,40,207,0.1932367149758454,0.6328502415458938,0.06280193236714976,0.30434782608695654
CAICARA DO NORTE,2019,CAR,other,0,207,0.0,0.6328502415458938,0.06280193236714976,0.30434782608695654
CAICARA DO NORTE,2019,CAV,sail/row,0,207,0.0,0.6328502415458938,0.06280193236714976,0.30434782608695654
CAICARA DO NORTE,2019,JAM,motorised,13,207,0.06280193236714976,0.6328502415458938,0.06280193236714976,0.30434782608695654
CAICARA DO NORTE,2019,JAV,sail/row,0,207,0.0,0.6328502415458938,0.06280193236714976,0.30434782608695654
CAICARA DO NORTE,2019,PED,other,0,207,0.0,0.6328502415458938,0.06280193236714976,0.30434782608695654
CAICARA DO NORTE,2019,PQM,motorised,1,207,0.004830917874396135,0.6328502415458938,0.06280193236714976,0.30434782608695654
CAICARA DO NORTE,2019,PQV,sail/row,2,207,0.00966183574879227,0.6328502415458938,0.06280193236714976,0.30434782608695654
CAICARA DO NORTE,2020,BMG,motorised,0,197,0.0,0.6598984771573604,0.050761421319796954,0.2893401015228426
CAICARA DO NORTE,2020,BMM,motorised,68,197,0.34517766497461927,0.6598984771573604,0.050761421319796954,0.2893401015228426
CAICARA DO NORTE,2020,BMP,motorised,8,197,0.04060913705583756,0.6598984771573604,0.050761421319796954,0.2893401015228426
CAICARA DO NORTE,2020,BOM,other,57,197,0.2893401015228426,0.6598984771573604,0.050761421319796954,0.2893401015228426
CAICARA DO NORTE,2020,BOV,sail/row,8,197,0.04060913705583756,0.6598984771573604,0.050761421319796954,0.2893401015228426
CAICARA DO NORTE,2020,CAM,motorised,41,197,0.20812182741116753,0.6598984771573604,0.050761421319796954,0.2893401015228426
CAICARA DO NORTE,2020,CAR,other,0,197,0.0,0.6598984771573604,0.050761421319796954,0.2893401015228426
CAICARA DO NORTE,2020,CAV,sail/row,0,197,0.0,0.6598984771573604,0.050761421319796954,0.2893401015228426
CAICARA DO NORTE,2020,JAM,motorised,12,197,0.06091370558375635,0.6598984771573604,0.050761421319796954,0.2893401015228426
CAICARA DO NORTE,2020,JAV,sail/row,0,197,0.0,0.6598984771573604,0.050761421319796954,0.2893401015228426
CAICARA DO NORTE,2020,PED,other,0,197,0.0,0.6598984771573604,0.050761421319796954,0.2893401015228426
CAICARA DO NORTE,2020,PQM,motorised,1,197,0.005076142131979695,0.6598984771573604,0.050761421319796954,0.2893401015228426
CAICARA DO NORTE,2020,PQV,sail/row,2,197,0.01015228426395939,0.6598984771573604,0.050761421319796954,0.2893401015228426
CAICARA DO NORTE,2021,BMG,motorised,0,186,0.0,0.6827956989247311,0.03225806451612903,0.2849462365591398
CAICARA DO NORTE,2021,BMM,motorised,68,186,0.3655913978494624,0.6827956989247311,0.03225806451612903,0.2849462365591398
CAICARA DO NORTE,2021,BMP,motorised,7,186,0.03763440860215054,0.6827956989247311,0.03225806451612903,0.2849462365591398
CAICARA DO NORTE,2021,BOM,other,53,186,0.2849462365591398,0.6827956989247311,0.03225806451612903,0.2849462365591398
CAICARA DO NORTE,2021,BOV,sail/row,5,186,0.026881720430107527,0.6827956989247311,0.03225806451612903,0.2849462365591398
CAICARA DO NORTE,2021,CAM,motorised,38,186,0.20430107526881722,0.6827956989247311,0.03225806451612903,0.2849462365591398
CAICARA DO NORTE,2021,CAR,other,0,186,0.0,0.6827956989247311,0.03225806451612903,0.2849462365591398
CAICARA DO NORTE,2021,CAV,sail/row,0,186,0.0,0.6827956989247311,0.03225806451612903,0.2849462365591398
CAICARA DO NORTE,2021,JAM,motorised,12,186,0.06451612903225806,0.6827956989247311,0.03225806451612903,0.2849462365591398
CAICARA DO NORTE,2021,JAV,sail/row,0,186,0.0,0.6827956989247311,0.03225806451612903,0.2849462365591398
CAICARA DO NORTE,2021,PED,other,0,186,0.0,0.6827956989247311,0.03225806451612903,0.2849462365591398
CAICARA DO NORTE,2021,PQM,motorised,2,186,0.010752688172043012,0.6827956989247311,0.03225806451612903,0.2849462365591398
CAICARA DO NORTE,2021,PQV,sail/row,1,186,0.005376344086021506,0.6827956989247311,0.03225806451612903,0.2849462365591398
CAICARA DO NORTE,2022,BMG,motorised,0,193,0.0,0.7616580310880829,0.02072538860103627,0.21761658031088082
CAICARA DO NORTE,2022,BMM,motorised,85,193,0.44041450777202074,0.7616580310880829,0.02072538860103627,0.21761658031088082
CAICARA DO NORTE,2022,BMP,motorised,11,193,0.05699481865284974,0.7616580310880829,0.02072538860103627,0.21761658031088082
CAICARA DO NORTE,2022,BOM,other,42,193,0.21761658031088082,0.7616580310880829,0.02072538860103627,0.21761658031088082
CAICARA DO NORTE,2022,BOV,sail/row,3,193,0.015544041450777202,0.7616580310880829,0.02072538860103627,0.21761658031088082
CAICARA DO NORTE,2022,CAM,motorised,34,193,0.17616580310880828,0.7616580310880829,0.02072538860103627,0.21761658031088082
CAICARA DO NORTE,2022,CAR,other,0,193,0.0,0.7616580310880829,0.02072538860103627,0.21761658031088082
CAICARA DO NORTE,2022,CAV,sail/row,0,193,0.0,0.7616580310880829,0.02072538860103627,0.21761658031088082
CAICARA DO NORTE,2022,JAM,motorised,15,193,0.07772020725388601,0.7616580310880829,0.02072538860103627,0.21761658031088082
CAICARA DO NORTE,2022,JAV,sail/row,0,193,0.0,0.7616580310880829,0.02072538860103627,0.21761658031088082
CAICARA DO NORTE,2022,PED,other,0,193,0.0,0.7616580310880829,0.02072538860103627,0.21761658031088082
CAICARA DO NORTE,2022,PQM,motorised,2,193,0.010362694300518135,0.7616580310880829,0.02072538860103627,0.21761658031088082
CAICARA DO NORTE,2022,PQV,sail/row,1,193,0.0051813471502590676,0.7616580310880829,0.02072538860103627,0.21761658031088082
CAICARA DO NORTE,2023,BMG,motorised,0,194,0.0,0.8092783505154639,0.010309278350515464,0.18041237113402062
CAICARA DO NORTE,2023,BMM,motorised,89,194,0.4587628865979381,0.8092783505154639,0.010309278350515464,0.18041237113402062
CAICARA DO NORTE,2023,BMP,motorised,12,194,0.061855670103092786,0.8092783505154639,0.010309278350515464,0.18041237113402062
CAICARA DO NORTE,2023,BOM,other,35,194,0.18041237113402062,0.8092783505154639,0.010309278350515464,0.18041237113402062
CAICARA DO NORTE,2023,BOV,sail/row,1,194,0.005154639175257732,0.8092783505154639,0.010309278350515464,0.18041237113402062
CAICARA DO NORTE,2023,CAM,motorised,38,194,0.1958762886597938,0.8092783505154639,0.010309278350515464,0.18041237113402062
CAICARA DO NORTE,2023,CAR,other,0,194,0.0,0.8092783505154639,0.010309278350515464,0.18041237113402062
CAICARA DO NORTE,2023,CAV,sail/row,0,194,0.0,0.8092783505154639,0.010309278350515464,0.18041237113402062
CAICARA DO NORTE,2023,JAM,motorised,16,194,0.08247422680412371,0.8092783505154639,0.010309278350515464,0.18041237113402062
CAICARA DO NORTE,2023,JAV,sail/row,0,194,0.0,0.8092783505154639,0.010309278350515464,0.18041237113402062
CAICARA DO NORTE,2023,PED,other,0,194,0.0,0.8092783505154639,0.010309278350515464,0.18041237113402062
CAICARA DO NORTE,2023,PQM,motorised,2,194,0.010309278350515464,0.8092783505154639,0.010309278350515464,0.18041237113402062
CAICARA DO NORTE,2023,PQV,sail/row,1,194,0.005154639175257732,0.8092783505154639,0.010309278350515464,0.18041237113402062
CAICARA DO NORTE,2024,BMG,motorised,0,172,0.0,0.8023255813953488,0.011627906976744186,0.18604651162790697
CAICARA DO NORTE,2024,BMM,motorised,78,172,0.45348837209302323,0.8023255813953488,0.011627906976744186,0.18604651162790697
CAICARA DO NORTE,2024,BMP,motorised,12,172,0.06976744186046512,0.8023255813953488,0.011627906976744186,0.18604651162790697
CAICARA DO NORTE,2024,BOM,other,31,172,0.18023255813953487,0.8023255813953488,0.011627906976744186,0.18604651162790697
CAICARA DO NORTE,2024,BOV,sail/row,1,172,0.005813953488372093,0.8023255813953488,0.011627906976744186,0.18604651162790697
CAICARA DO NORTE,2024,CAM,motorised,33,172,0.19186046511627908,0.8023255813953488,0.011627906976744186,0.18604651162790697
CAICARA DO NORTE,2024,CAR,other,1,172,0.005813953488372093,0.8023255813953488,0.011627906976744186,0.18604651162790697
CAICARA DO NORTE,2024,CAV,sail/row,0,172,0.0,0.8023255813953488,0.011627906976744186,0.18604651162790697
CAICARA DO NORTE,2024,JAM,motorised,14,172,0.08139534883720931,0.8023255813953488,0.011627906976744186,0.18604651162790697
CAICARA DO NORTE,2024,JAV,sail/row,0,172,0.0,0.8023255813953488,0.011627906976744186,0.18604651162790697
CAICARA DO NORTE,2024,PED,other,0,172,0.0,0.8023255813953488,0.011627906976744186,0.18604651162790697
CAICARA DO NORTE,2024,PQM,motorised,1,172,0.005813953488372093,0.8023255813953488,0.011627906976744186,0.18604651162790697
CAICARA DO NORTE,2024,PQV,sail/row,1,172,0.005813953488372093,0.8023255813953488,0.011627906976744186,0.18604651162790697
GALINHOS,2004,BMP,motorised,4,61,0.06557377049180328,0.16393442622950818,0.819672131147541,0.01639344262295082
GALINHOS,2004,BOV,sail/row,25,61,0.4098360655737705,0.16393442622950818,0.819672131147541,0.01639344262295082
GALINHOS,2004,CAV,sail/row,25,61,0.4098360655737705,0.16393442622950818,0.819672131147541,0.01639344262295082
GALINHOS,2004,PED,other,1,61,0.01639344262295082,0.16393442622950818,0.819672131147541,0.01639344262295082
GALINHOS,2004,PQM,motorised,6,61,0.09836065573770492,0.16393442622950818,0.819672131147541,0.01639344262295082
GALINHOS,2005,BMP,motorised,5,76,0.06578947368421052,0.11842105263157894,0.881578947368421,0.0
GALINHOS,2005,BOV,sail/row,18,76,0.23684210526315788,0.11842105263157894,0.881578947368421,0.0
GALINHOS,2005,CAV,sail/row,49,76,0.6447368421052632,0.11842105263157894,0.881578947368421,0.0
GALINHOS,2005,PQM,motorised,4,76,0.05263157894736842,0.11842105263157894,0.881578947368421,0.0
GALINHOS,2007,BMP,motorised,5,84,0.05952380952380952,0.38095238095238093,0.5952380952380952,0.023809523809523808
GALINHOS,2007,BOV,sail/row,7,84,0.08333333333333333,0.38095238095238093,0.5952380952380952,0.023809523809523808
GALINHOS,2007,CAM,motorised,14,84,0.16666666666666666,0.38095238095238093,0.5952380952380952,0.023809523809523808
GALINHOS,2007,CAV,sail/row,43,84,0.5119047619047619,0.38095238095238093,0.5952380952380952,0.023809523809523808
GALINHOS,2007,PED,other,2,84,0.023809523809523808,0.38095238095238093,0.5952380952380952,0.023809523809523808
GALINHOS,2007,PQM,motorised,13,84,0.15476190476190477,0.38095238095238093,0.5952380952380952,0.023809523809523808
GALINHOS,2008,BMP,motorised,13,143,0.09090909090909091,0.45454545454545453,0.5174825174825175,0.027972027972027972
GALINHOS,2008,BOV,sail/row,18,143,0.1258741258741259,0.45454545454545453,0.5174825174825175,0.027972027972027972
GALINHOS,2008,CAM,motorised,37,143,0.25874125874125875,0.45454545454545453,0.5174825174825175,0.027972027972027972
GALINHOS,2008,CAV,sail/row,51,143,0.35664335664335667,0.45454545454545453,0.5174825174825175,0.027972027972027972
GALINHOS,2008,JAV,sail/row,5,143,0.03496503496503497,0.45454545454545453,0.5174825174825175,0.027972027972027972
GALINHOS,2008,PED,other,4,143,0.027972027972027972,0.45454545454545453,0.5174825174825175,0.027972027972027972
GALINHOS,2008,PQM,motorised,15,143,0.1048951048951049,0.45454545454545453,0.5174825174825175,0.027972027972027972
GALINHOS,2009,BMM,motorised,0,109,0.0,0.48623853211009177,0.5045871559633027,0.009174311926605505
GALINHOS,2009,BMP,motorised,10,109,0.09174311926605505,0.48623853211009177,0.5045871559633027,0.009174311926605505
GALINHOS,2009,BOM,other,0,109,0.0,0.48623853211009177,0.5045871559633027,0.009174311926605505
GALINHOS,2009,BOV,sail/row,19,109,0.1743119266055046,0.48623853211009177,0.5045871559633027,0.009174311926605505
GALINHOS,2009,CAM,motorised,43,109,0.3944954128440367,0.48623853211009177,0.5045871559633027,0.009174311926605505
GALINHOS,2009,CAV,sail/row,27,109,0.24770642201834864,0.48623853211009177,0.5045871559633027,0.009174311926605505
GALINHOS,2009,JAV,sail/row,5,109,0.045871559633027525,0.48623853211009177,0.5045871559633027,0.009174311926605505
GALINHOS,2009,PED,other,1,109,0.009174311926605505,0.48623853211009177,0.5045871559633027,0.009174311926605505
GALINHOS,2009,PQM,motorised,0,109,0.0,0.48623853211009177,0.5045871559633027,0.009174311926605505
GALINHOS,2009,PQV,sail/row,4,109,0.03669724770642202,0.48623853211009177,0.5045871559633027,0.009174311926605505
GALINHOS,2010,BMG,motorised,0,114,0.0,0.7280701754385965,0.2543859649122807,0.017543859649122806
GALINHOS,2010,BMM,motorised,3,114,0.02631578947368421,0.7280701754385965,0.2543859649122807,0.017543859649122806
GALINHOS,2010,BMP,motorised,16,114,0.14035087719298245,0.7280701754385965,0.2543859649122807,0.017543859649122806
GALINHOS,2010,BOM,other,0,114,0.0,0.7280701754385965,0.2543859649122807,0.017543859649122806
GALINHOS,2010,BOV,sail/row,14,114,0.12280701754385964,0.7280701754385965,0.2543859649122807,0.017543859649122806
GALINHOS,2010,CAM,motorised,64,114,0.5614035087719298,0.7280701754385965,0.2543859649122807,0.017543859649122806
GALINHOS,2010,CAR,other,0,114,0.0,0.7280701754385965,0.2543859649122807,0.017543859649122806
GALINHOS,2010,CAV,sail/row,10,114,0.08771929824561403,0.7280701754385965,0.2543859649122807,0.017543859649122806
GALINHOS,2010,JAV,sail/row,5,114,0.043859649122807015,0.7280701754385965,0.2543859649122807,0.017543859649122806
GALINHOS,2010,PED,other,2,114,0.017543859649122806,0.7280701754385965,0.2543859649122807,0.017543859649122806
GALINHOS,2010,PQM,motorised,0,114,0.0,0.7280701754385965,0.2543859649122807,0.017543859649122806
GALINHOS,2010,PQR,other,0,114,0.0,0.7280701754385965,0.2543859649122807,0.017543859649122806
GALINHOS,2010,PQV,sail/row,0,114,0.0,0.7280701754385965,0.2543859649122807,0.017543859649122806
GALINHOS,2011,BMG,motorised,0,132,0.0,0.5757575757575758,0.22727272727272727,0.19696969696969696
GALINHOS,2011,BMM,motorised,3,132,0.022727272727272728,0.5757575757575758,0.22727272727272727,0.19696969696969696
GALINHOS,2011,BMP,motorised,10,132,0.07575757575757576,0.5757575757575758,0.22727272727272727,0.19696969696969696
GALINHOS,2011,BOM,other,8,132,0.06060606060606061,0.5757575757575758,0.22727272727272727,0.19696969696969696
GALINHOS,2011,BOV,sail/row,11,132,0.08333333333333333,0.5757575757575758,0.22727272727272727,0.19696969696969696
GALINHOS,2011,CAM,motorised,62,132,0.4696969696969697,0.5757575757575758,0.22727272727272727,0.19696969696969696
GALINHOS,2011,CAR,other,2,132,0.015151515151515152,0.5757575757575758,0.22727272727272727,0.19696969696969696
GALINHOS,2011,CAV,sail/row,10,132,0.07575757575757576,0.5757575757575758,0.22727272727272727,0.19696969696969696
GALINHOS,2011,JAM,motorised,1,132,0.007575757575757576,0.5757575757575758,0.22727272727272727,0.19696969696969696
GALINHOS,2011,JAV,sail/row,2,132,0.015151515151515152,0.5757575757575758,0.22727272727272727,0.19696969696969696
GALINHOS,2011,PED,other,5,132,0.03787878787878788,0.5757575757575758,0.22727272727272727,0.19696969696969696
GALINHOS,2011,PQM,motorised,0,132,0.0,0.5757575757575758,0.22727272727272727,0.19696969696969696
GALINHOS,2011,PQR,other,11,132,0.08333333333333333,0.5757575757575758,0.22727272727272727,0.19696969696969696
GALINHOS,2011,PQV,sail/row,7,132,0.05303030303030303,0.5757575757575758,0.22727272727272727,0.19696969696969696
GALINHOS,2012,BMG,motorised,0,145,0.0,0.5655172413793104,0.2413793103448276,0.19310344827586207
GALINHOS,2012,BMM,motorised,5,145,0.034482758620689655,0.5655172413793104,0.2413793103448276,0.19310344827586207
GALINHOS,2012,BMP,motorised,7,145,0.04827586206896552,0.5655172413793104,0.2413793103448276,0.19310344827586207
GALINHOS,2012,BOM,other,17,145,0.11724137931034483,0.5655172413793104,0.2413793103448276,0.19310344827586207
GALINHOS,2012,BOV,sail/row,12,145,0.08275862068965517,0.5655172413793104,0.2413793103448276,0.19310344827586207
GALINHOS,2012,CAM,motorised,70,145,0.4827586206896552,0.5655172413793104,0.2413793103448276,0.19310344827586207
GALINHOS,2012,CAR,other,2,145,0.013793103448275862,0.5655172413793104,0.2413793103448276,0.19310344827586207
GALINHOS,2012,CAV,sail/row,8,145,0.05517241379310345,0.5655172413793104,0.2413793103448276,0.19310344827586207
GALINHOS,2012,JAM,motorised,0,145,0.0,0.5655172413793104,0.2413793103448276,0.19310344827586207
GALINHOS,2012,JAV,sail/row,9,145,0.06206896551724138,0.5655172413793104,0.2413793103448276,0.19310344827586207
GALINHOS,2012,PED,other,9,145,0.06206896551724138,0.5655172413793104,0.2413793103448276,0.19310344827586207
GALINHOS,2012,PQM,motorised,0,145,0.0,0.5655172413793104,0.2413793103448276,0.19310344827586207
GALINHOS,2012,PQV,sail/row,6,145,0.041379310344827586,0.5655172413793104,0.2413793103448276,0.19310344827586207
GALINHOS,2013,BMG,motorised,0,65,0.0,0.6615384615384615,0.23076923076923078,0.1076923076923077
GALINHOS,2013,BMM,motorised,3,65,0.046153846153846156,0.6615384615384615,0.23076923076923078,0.1076923076923077
GALINHOS,2013,BMP,motorised,1,65,0.015384615384615385,0.6615384615384615,0.23076923076923078,0.1076923076923077
GALINHOS,2013,BOM,other,6,65,0.09230769230769231,0.6615384615384615,0.23076923076923078,0.1076923076923077
GALINHOS,2013,BOV,sail/row,7,65,0.1076923076923077,0.6615384615384615,0.23076923076923078,0.1076923076923077
GALINHOS,2013,CAM,motorised,39,65,0.6,0.6615384615384615,0.23076923076923078,0.1076923076923077
GALINHOS,2013,CAR,other,0,65,0.0,0.6615384615384615,0.23076923076923078,0.1076923076923077
GALINHOS,2013,CAV,sail/row,3,65,0.046153846153846156,0.6615384615384615,0.23076923076923078,0.1076923076923077
GALINHOS,2013,JAM,motorised,0,65,0.0,0.6615384615384615,0.23076923076923078,0.1076923076923077
GALINHOS,2013,JAV,sail/row,4,65,0.06153846153846154,0.6615384615384615,0.23076923076923078,0.1076923076923077
GALINHOS,2013,PED,other,1,65,0.015384615384615385,0.6615384615384615,0.23076923076923078,0.1076923076923077
GALINHOS,2013,PQM,motorised,0,65,0.0,0.6615384615384615,0.23076923076923078,0.1076923076923077
GALINHOS,2013,PQV,sail/row,1,65,0.015384615384615385,0.6615384615384615,0.23076923076923078,0.1076923076923077
GALINHOS,2014,BMG,motorised,0,61,0.0,0.6721311475409836,0.18032786885245902,0.14754098360655737
GALINHOS,2014,BMM,motorised,2,61,0.03278688524590164,0.6721311475409836,0.18032786885245902,0.14754098360655737
GALINHOS,2014,BMP,motorised,1,61,0.01639344262295082,0.6721311475409836,0.18032786885245902,0.14754098360655737
GALINHOS,2014,BOM,other,8,61,0.13114754098360656,0.6721311475409836,0.18032786885245902,0.14754098360655737
GALINHOS,2014,BOV,sail/row,8,61,0.13114754098360656,0.6721311475409836,0.18032786885245902,0.14754098360655737
GALINHOS,2014,CAM,motorised,37,61,0.6065573770491803,0.6721311475409836,0.18032786885245902,0.14754098360655737
GALINHOS,2014,CAR,other,0,61,0.0,0.6721311475409836,0.18032786885245902,0.14754098360655737
GALINHOS,2014,CAV,sail/row,1,61,0.01639344262295082,0.6721311475409836,0.18032786885245902,0.14754098360655737
GALINHOS,2014,JAM,motorised,1,61,0.01639344262295082,0.6721311475409836,0.18032786885245902,0.14754098360655737
GALINHOS,2014,JAV,sail/row,2,61,0.03278688524590164,0.6721311475409836,0.18032786885245902,0.14754098360655737
GALINHOS,2014,PED,other,1,61,0.01639344262295082,0.6721311475409836,0.18032786885245902,0.14754098360655737
GALINHOS,2014,PQM,motorised,0,61,0.0,0.6721311475409836,0.18032786885245902,0.14754098360655737
GALINHOS,2014,PQV,sail/row,0,61,0.0,0.6721311475409836,0.18032786885245902,0.14754098360655737
GALINHOS,2015,BMG,motorised,0,57,0.0,0.7543859649122807,0.14035087719298245,0.10526315789473684
GALINHOS,2015,BMM,motorised,5,57,0.08771929824561403,0.7543859649122807,0.14035087719298245,0.10526315789473684
GALINHOS,2015,BMP,motorised,4,57,0.07017543859649122,0.7543859649122807,0.14035087719298245,0.10526315789473684
GALINHOS,2015,BOM,other,4,57,0.07017543859649122,0.7543859649122807,0.14035087719298245,0.10526315789473684
GALINHOS,2015,BOV,sail/row,7,57,0.12280701754385964,0.7543859649122807,0.14035087719298245,0.10526315789473684
GALINHOS,2015,CAM,motorised,33,57,0.5789473684210527,0.7543859649122807,0.14035087719298245,0.10526315789473684
GALINHOS,2015,CAR,other,0,57,0.0,0.7543859649122807,0.14035087719298245,0.10526315789473684
GALINHOS,2015,CAV,sail/row,0,57,0.0,0.7543859649122807,0.14035087719298245,0.10526315789473684
GALINHOS,2015,JAM,motorised,1,57,0.017543859649122806,0.7543859649122807,0.14035087719298245,0.10526315789473684
GALINHOS,2015,JAV,sail/row,1,57,0.017543859649122806,0.7543859649122807,0.14035087719298245,0.10526315789473684
GALINHOS,2015,PED,other,2,57,0.03508771929824561,0.7543859649122807,0.14035087719298245,0.10526315789473684
GALINHOS,2015,PQM,motorised,0,57,0.0,0.7543859649122807,0.14035087719298245,0.10526315789473684
GALINHOS,2015,PQV,sail/row,0,57,0.0,0.7543859649122807,0.14035087719298245,0.10526315789473684
GALINHOS,2016,BMG,motorised,0,63,0.0,0.6825396825396826,0.19047619047619047,0.12698412698412698
GALINHOS,2016,BMM,motorised,4,63,0.06349206349206349,0.6825396825396826,0.19047619047619047,0.12698412698412698
GALINHOS,2016,BMP,motorised,3,63,0.047619047619047616,0.6825396825396826,0.19047619047619047,0.12698412698412698
GALINHOS,2016,BOM,other,6,63,0.09523809523809523,0.6825396825396826,0.19047619047619047,0.12698412698412698
GALINHOS,2016,BOV,sail/row,7,63,0.1111111111111111,0.6825396825396826,0.19047619047619047,0.12698412698412698
GALINHOS,2016,CAM,motorised,35,63,0.5555555555555556,0.6825396825396826,0.19047619047619047,0.12698412698412698
GALINHOS,2016,CAR,other,0,63,0.0,0.6825396825396826,0.19047619047619047,0.12698412698412698
GALINHOS,2016,CAV,sail/row,2,63,0.031746031746031744,0.6825396825396826,0.19047619047619047,0.12698412698412698
GALINHOS,2016,JAM,motorised,1,63,0.015873015873015872,0.6825396825396826,0.19047619047619047,0.12698412698412698
GALINHOS,2016,JAV,sail/row,2,63,0.031746031746031744,0.6825396825396826,0.19047619047619047,0.12698412698412698
GALINHOS,2016,PED,other,2,63,0.031746031746031744,0.6825396825396826,0.19047619047619047,0.12698412698412698
GALINHOS,2016,PQM,motorised,0,63,0.0,0.6825396825396826,0.19047619047619047,0.12698412698412698
GALINHOS,2016,PQV,sail/row,1,63,0.015873015873015872,0.6825396825396826,0.19047619047619047,0.12698412698412698
GALINHOS,2017,BMG,motorised,0,57,0.0,0.7192982456140351,0.14035087719298245,0.14035087719298245
GALINHOS,2017,BMM,motorised,3,57,0.05263157894736842,0.7192982456140351,0.14035087719298245,0.14035087719298245
GALINHOS,2017,BMP,motorised,3,57,0.05263157894736842,0.7192982456140351,0.14035087719298245,0.14035087719298245
GALINHOS,2017,BOM,other,6,57,0.10526315789473684,0.7192982456140351,0.14035087719298245,0.14035087719298245
GALINHOS,2017,BOV,sail/row,6,57,0.10526315789473684,0.7192982456140351,0.14035087719298245,0.14035087719298245
GALINHOS,2017,CAM,motorised,34,57,0.5964912280701754,0.7192982456140351,0.14035087719298245,0.14035087719298245
GALINHOS,2017,CAR,other,0,57,0.0,0.7192982456140351,0.14035087719298245,0.14035087719298245
GALINHOS,2017,CAV,sail/row,1,57,0.017543859649122806,0.7192982456140351,0.14035087719298245,0.14035087719298245
GALINHOS,2017,JAM,motorised,1,57,0.017543859649122806,0.7192982456140351,0.14035087719298245,0.14035087719298245
GALINHOS,2017,JAV,sail/row,1,57,0.017543859649122806,0.7192982456140351,0.14035087719298245,0.14035087719298245
GALINHOS,2017,PED,other,2,57,0.03508771929824561,0.7192982456140351,0.14035087719298245,0.14035087719298245
GALINHOS,2017,PQM,motorised,0,57,0.0,0.7192982456140351,0.14035087719298245,0.14035087719298245
GALINHOS,2017,PQV,sail/row,0,57,0.0,0.7192982456140351,0.14035087719298245,0.14035087719298245
GALINHOS,2018,BMG,motorised,0,46,0.0,0.8043478260869565,0.10869565217391304,0.08695652173913043
GALINHOS,2018,BMM,motorised,5,46,0.10869565217391304,0.8043478260869565,0.10869565217391304,0.08695652173913043
GALINHOS,2018,BMP,motorised,3,46,0.06521739130434782,0.8043478260869565,0.10869565217391304,0.08695652173913043
GALINHOS,2018,BOM,other,1,46,0.021739130434782608,0.8043478260869565,0.10869565217391304,0.08695652173913043
GALINHOS,2018,BOV,sail/row,4,46,0.08695652173913043,0.8043478260869565,0.10869565217391304,0.08695652173913043
GALINHOS,2018,CAM,motorised,28,46,0.6086956521739131,0.8043478260869565,0.10869565217391304,0.08695652173913043
GALINHOS,2018,CAR,other,0,46,0.0,0.8043478260869565,0.10869565217391304,0.08695652173913043
GALINHOS,2018,CAV,sail/row,1,46,0.021739130434782608,0.8043478260869565,0.10869565217391304,0.08695652173913043
GALINHOS,2018,JAM,motorised,1,46,0.021739130434782608,0.8043478260869565,0.10869565217391304,0.08695652173913043
GALINHOS,2018,JAV,sail/row,0,46,0.0,0.8043478260869565,0.10869565217391304,0.08695652173913043
GALINHOS,2018,PED,other,3,46,0.06521739130434782,0.8043478260869565,0.10869565217391304,0.08695652173913043
GALINHOS,2018,PQM,motorised,0,46,0.0,0.8043478260869565,0.10869565217391304,0.08695652173913043
GALINHOS,2018,PQV,sail/row,0,46,0.0,0.8043478260869565,0.10869565217391304,0.08695652173913043
GALINHOS,2019,BMG,motorised,0,55,0.0,0.8363636363636363,0.09090909090909091,0.07272727272727272
GALINHOS,2019,BMM,motorised,10,55,0.18181818181818182,0.8363636363636363,0.09090909090909091,0.07272727272727272
GALINHOS,2019,BMP,motorised,4,55,0.07272727272727272,0.8363636363636363,0.09090909090909091,0.07272727272727272
GALINHOS,2019,BOM,other,1,55,0.01818181818181818,0.8363636363636363,0.09090909090909091,0.07272727272727272
GALINHOS,2019,BOV,sail/row,5,55,0.09090909090909091,0.8363636363636363,0.09090909090909091,0.07272727272727272
GALINHOS,2019,CAM,motorised,30,55,0.5454545454545454,0.8363636363636363,0.09090909090909091,0.07272727272727272
GALINHOS,2019,CAR,other,0,55,0.0,0.8363636363636363,0.09090909090909091,0.07272727272727272
GALINHOS,2019,CAV,sail/row,0,55,0.0,0.8363636363636363,0.09090909090909091,0.07272727272727272
GALINHOS,2019,JAM,motorised,2,55,0.03636363636363636,0.8363636363636363,0.09090909090909091,0.07272727272727272
GALINHOS,2019,JAV,sail/row,0,55,0.0,0.8363636363636363,0.09090909090909091,0.07272727272727272
