local,year,boat_type,propulsion,vessels_monitored,total_vessels,boat_share,share_motorised,share_sail_row,share_other
AREIA BRANCA,2011,BMM,motorised,43,303,0.1419141914191419,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2011,BMP,motorised,25,303,0.08250825082508251,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2011,BOM,other,3,303,0.009900990099009901,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2011,BOV,sail/row,32,303,0.10561056105610561,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2011,CAM,motorised,2,303,0.006600660066006601,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2011,CAR,other,2,303,0.006600660066006601,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2011,CAV,sail/row,10,303,0.033003300330033,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2011,JAM,motorised,7,303,0.0231023102310231,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2011,JAV,sail/row,37,303,0.12211221122112212,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2011,PED,other,19,303,0.0627062706270627,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2011,PQM,motorised,8,303,0.026402640264026403,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2011,PQR,other,40,303,0.132013201320132,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2011,PQV,sail/row,66,303,0.21782178217821782,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2012,BMG,motorised,9,243,0.037037037037037035,0.37037037037037035,0.37037037037037035,0.25925925925925924
AREIA BRANCA,2012,BMM,motorised,39,243,0.16049382716049382,0.37037037037037035,0.37037037037037035,0.25925925925925924
AREIA BRANCA,2012,BMP,motorised,17,243,0.06995884773662552,0.37037037037037035,0.37037037037037035,0.25925925925925924
AREIA BRANCA,2012,BOM,other,12,243,0.04938271604938271,0.37037037037037035,0.37037037037037035,0.25925925925925924
AREIA BRANCA,2012,BOV,sail/row,27,243,0.1111111111111111,0.37037037037037035,0.37037037037037035,0.25925925925925924
AREIA BRANCA,2012,CAM,motorised,2,243,0.00823045267489712,0.37037037037037035,0.37037037037037035,0.25925925925925924
AREIA BRANCA,2012,CAR,other,5,243,0.0205761316872428,0.37037037037037035,0.37037037037037035,0.25925925925925924
AREIA BRANCA,2012,CAV,sail/row,6,243,0.024691358024691357,0.37037037037037035,0.37037037037037035,0.25925925925925924
AREIA BRANCA,2012,JAM,motorised,16,243,0.06584362139917696,0.37037037037037035,0.37037037037037035,0.25925925925925924
AREIA BRANCA,2012,JAV,sail/row,27,243,0.1111111111111111,0.37037037037037035,0.37037037037037035,0.25925925925925924
AREIA BRANCA,2012,PED,other,46,243,0.18930041152263374,0.37037037037037035,0.37037037037037035,0.25925925925925924
AREIA BRANCA,2012,PQM,motorised,7,243,0.02880658436213992,0.37037037037037035,0.37037037037037035,0.25925925925925924
AREIA BRANCA,2012,PQV,sail/row,30,243,0.12345679012345678,0.37037037037037035,0.37037037037037035,0.25925925925925924
AREIA BRANCA,2013,BMG,motorised,19,118,0.16101694915254236,0.6016949152542372,0.2966101694915254,0.1016949152542373
AREIA BRANCA,2013,BMM,motorised,33,118,0.2796610169491525,0.6016949152542372,0.2966101694915254,0.1016949152542373
AREIA BRANCA,2013,BMP,motorised,10,118,0.0847457627118644,0.6016949152542372,0.2966101694915254,0.1016949152542373
AREIA BRANCA,2013,BOM,other,7,118,0.059322033898305086,0.6016949152542372,0.2966101694915254,0.1016949152542373
AREIA BRANCA,2013,BOV,sail/row,11,118,0.09322033898305085,0.6016949152542372,0.2966101694915254,0.1016949152542373
AREIA BRANCA,2013,CAM,motorised,0,118,0.0,0.6016949152542372,0.2966101694915254,0.1016949152542373
AREIA BRANCA,2013,CAR,other,0,118,0.0,0.6016949152542372,0.2966101694915254,0.1016949152542373
AREIA BRANCA,2013,CAV,sail/row,3,118,0.025423728813559324,0.6016949152542372,0.2966101694915254,0.1016949152542373
AREIA BRANCA,2013,JAM,motorised,8,118,0.06779661016949153,0.6016949152542372,0.2966101694915254,0.1016949152542373
AREIA BRANCA,2013,JAV,sail/row,16,118,0.13559322033898305,0.6016949152542372,0.2966101694915254,0.1016949152542373
AREIA BRANCA,2013,PED,other,5,118,0.0423728813559322,0.6016949152542372,0.2966101694915254,0.1016949152542373
AREIA BRANCA,2013,PQM,motorised,1,118,0.00847457627118644,0.6016949152542372,0.2966101694915254,0.1016949152542373
AREIA BRANCA,2013,PQV,sail/row,5,118,0.0423728813559322,0.6016949152542372,0.2966101694915254,0.1016949152542373
AREIA BRANCA,2014,BMG,motorised,25,114,0.21929824561403508,0.6140350877192983,0.2894736842105263,0.09649122807017543
AREIA BRANCA,2014,BMM,motorised,27,114,0.23684210526315788,0.6140350877192983,0.2894736842105263,0.09649122807017543
AREIA BRANCA,2014,BMP,motorised,8,114,0.07017543859649122,0.6140350877192983,0.2894736842105263,0.09649122807017543
AREIA BRANCA,2014,BOM,other,7,114,0.06140350877192982,0.6140350877192983,0.2894736842105263,0.09649122807017543
AREIA BRANCA,2014,BOV,sail/row,11,114,0.09649122807017543,0.6140350877192983,0.2894736842105263,0.09649122807017543
AREIA BRANCA,2014,CAM,motorised,1,114,0.008771929824561403,0.6140350877192983,0.2894736842105263,0.09649122807017543
AREIA BRANCA,2014,CAR,other,1,114,0.008771929824561403,0.6140350877192983,0.2894736842105263,0.09649122807017543
AREIA BRANCA,2014,CAV,sail/row,4,114,0.03508771929824561,0.6140350877192983,0.2894736842105263,0.09649122807017543
AREIA BRANCA,2014,JAM,motorised,9,114,0.07894736842105263,0.6140350877192983,0.2894736842105263,0.09649122807017543
AREIA BRANCA,2014,JAV,sail/row,15,114,0.13157894736842105,0.6140350877192983,0.2894736842105263,0.09649122807017543
AREIA BRANCA,2014,PED,other,3,114,0.02631578947368421,0.6140350877192983,0.2894736842105263,0.09649122807017543
AREIA BRANCA,2014,PQM,motorised,0,114,0.0,0.6140350877192983,0.2894736842105263,0.09649122807017543
AREIA BRANCA,2014,PQV,sail/row,3,114,0.02631578947368421,0.6140350877192983,0.2894736842105263,0.09649122807017543
AREIA BRANCA,2015,BMG,motorised,40,134,0.29850746268656714,0.6343283582089553,0.26119402985074625,0.1044776119402985
AREIA BRANCA,2015,BMM,motorised,24,134,0.1791044776119403,0.6343283582089553,0.26119402985074625,0.1044776119402985
AREIA BRANCA,2015,BMP,motorised,9,134,0.06716417910447761,0.6343283582089553,0.26119402985074625,0.1044776119402985
AREIA BRANCA,2015,BOM,other,7,134,0.05223880597014925,0.6343283582089553,0.26119402985074625,0.1044776119402985
AREIA BRANCA,2015,BOV,sail/row,9,134,0.06716417910447761,0.6343283582089553,0.26119402985074625,0.1044776119402985
AREIA BRANCA,2015,CAM,motorised,1,134,0.007462686567164179,0.6343283582089553,0.26119402985074625,0.1044776119402985
AREIA BRANCA,2015,CAR,other,1,134,0.007462686567164179,0.6343283582089553,0.26119402985074625,0.1044776119402985
AREIA BRANCA,2015,CAV,sail/row,3,134,0.022388059701492536,0.6343283582089553,0.26119402985074625,0.1044776119402985
AREIA BRANCA,2015,JAM,motorised,9,134,0.06716417910447761,0.6343283582089553,0.26119402985074625,0.1044776119402985
AREIA BRANCA,2015,JAV,sail/row,19,134,0.1417910447761194,0.6343283582089553,0.26119402985074625,0.1044776119402985
AREIA BRANCA,2015,PED,other,6,134,0.04477611940298507,0.6343283582089553,0.26119402985074625,0.1044776119402985
AREIA BRANCA,2015,PQM,motorised,2,134,0.014925373134328358,0.6343283582089553,0.26119402985074625,0.1044776119402985
AREIA BRANCA,2015,PQV,sail/row,4,134,0.029850746268656716,0.6343283582089553,0.26119402985074625,0.1044776119402985
AREIA BRANCA,2016,BMG,motorised,26,124,0.20967741935483872,0.5967741935483871,0.29838709677419356,0.10483870967741936
AREIA BRANCA,2016,BMM,motorised,26,124,0.20967741935483872,0.5967741935483871,0.29838709677419356,0.10483870967741936
AREIA BRANCA,2016,BMP,motorised,10,124,0.08064516129032258,0.5967741935483871,0.29838709677419356,0.10483870967741936
AREIA BRANCA,2016,BOM,other,7,124,0.056451612903225805,0.5967741935483871,0.29838709677419356,0.10483870967741936
AREIA BRANCA,2016,BOV,sail/row,11,124,0.08870967741935484,0.5967741935483871,0.29838709677419356,0.10483870967741936
AREIA BRANCA,2016,CAM,motorised,1,124,0.008064516129032258,0.5967741935483871,0.29838709677419356,0.10483870967741936
AREIA BRANCA,2016,CAR,other,1,124,0.008064516129032258,0.5967741935483871,0.29838709677419356,0.10483870967741936
AREIA BRANCA,2016,CAV,sail/row,3,124,0.024193548387096774,0.5967741935483871,0.29838709677419356,0.10483870967741936
AREIA BRANCA,2016,JAM,motorised,9,124,0.07258064516129033,0.5967741935483871,0.29838709677419356,0.10483870967741936
AREIA BRANCA,2016,JAV,sail/row,16,124,0.12903225806451613,0.5967741935483871,0.29838709677419356,0.10483870967741936
AREIA BRANCA,2016,PED,other,5,124,0.04032258064516129,0.5967741935483871,0.29838709677419356,0.10483870967741936
AREIA BRANCA,2016,PQM,motorised,2,124,0.016129032258064516,0.5967741935483871,0.29838709677419356,0.10483870967741936
AREIA BRANCA,2016,PQV,sail/row,7,124,0.056451612903225805,0.5967741935483871,0.29838709677419356,0.10483870967741936
AREIA BRANCA,2017,BMG,motorised,21,99,0.21212121212121213,0.6262626262626263,0.30303030303030304,0.0707070707070707
AREIA BRANCA,2017,BMM,motorised,20,99,0.20202020202020202,0.6262626262626263,0.30303030303030304,0.0707070707070707
AREIA BRANCA,2017,BMP,motorised,9,99,0.09090909090909091,0.6262626262626263,0.30303030303030304,0.0707070707070707
AREIA BRANCA,2017,BOM,other,5,99,0.050505050505050504,0.6262626262626263,0.30303030303030304,0.0707070707070707
