mpa_exposure_class,year,boat_type,propulsion,vessels_monitored,total_vessels,boat_share,share_motorised,share_sail_row,share_other
0-10 km,2009,PQV,sail/row,1,501,0.001996007984031936,0.590818363273453,0.3872255489021956,0.021956087824351298
0-10 km,2010,BMG,motorised,1,499,0.002004008016032064,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-10 km,2010,BMM,motorised,45,499,0.09018036072144289,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-10 km,2010,BMP,motorised,81,499,0.1623246492985972,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-10 km,2010,BOM,other,0,499,0.0,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-10 km,2010,BOV,sail/row,39,499,0.0781563126252505,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-10 km,2010,CAM,motorised,203,499,0.40681362725450904,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-10 km,2010,CAR,other,0,499,0.0,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-10 km,2010,CAV,sail/row,88,499,0.17635270541082165,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-10 km,2010,JAV,sail/row,6,499,0.012024048096192385,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-10 km,2010,PED,other,36,499,0.07214428857715431,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-10 km,2010,PQM,motorised,0,499,0.0,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-10 km,2010,PQR,other,0,499,0.0,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-10 km,2010,PQV,sail/row,0,499,0.0,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-10 km,2011,BMG,motorised,1,449,0.0022271714922048997,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-10 km,2011,BMM,motorised,35,449,0.0779510022271715,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-10 km,2011,BMP,motorised,62,449,0.13808463251670378,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-10 km,2011,BOM,other,25,449,0.0556792873051225,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-10 km,2011,BOV,sail/row,28,449,0.062360801781737196,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-10 km,2011,CAM,motorised,200,449,0.44543429844098,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-10 km,2011,CAR,other,4,449,0.008908685968819599,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-10 km,2011,CAV,sail/row,58,449,0.1291759465478842,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-10 km,2011,JAM,motorised,1,449,0.0022271714922048997,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-10 km,2011,JAV,sail/row,5,449,0.011135857461024499,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-10 km,2011,PED,other,28,449,0.062360801781737196,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-10 km,2011,PQM,motorised,0,449,0.0,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-10 km,2011,PQR,other,1,449,0.0022271714922048997,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-10 km,2011,PQV,sail/row,1,449,0.0022271714922048997,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-10 km,2012,BMG,motorised,0,443,0.0,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-10 km,2012,BMM,motorised,31,443,0.06997742663656885,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-10 km,2012,BMP,motorised,37,443,0.0835214446952596,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-10 km,2012,BOM,other,48,443,0.10835214446952596,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-10 km,2012,BOV,sail/row,26,443,0.05869074492099323,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-10 km,2012,CAM,motorised,214,443,0.48306997742663654,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-10 km,2012,CAR,other,6,443,0.013544018058690745,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-10 km,2012,CAV,sail/row,47,443,0.10609480812641084,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-10 km,2012,JAM,motorised,0,443,0.0,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-10 km,2012,JAV,sail/row,3,443,0.006772009029345372,0.6433408577878104,0.17155756207674944,0.18510158013544017
