year,cpue_trip_raw,cpue_fisherman,cpue_trip_std,cpue_trip_raw_idx,cpue_trip_std_idx,cpue_fisherman_idx
2001,0.0393528557672962,0.4071200351123605,0.052688,0.3213493947359756,0.516983640658691,0.24392558814025925
2002,0.04664039712117068,0.4070270005898129,0.05597,0.3808583416095879,0.5491871843240763,0.243869846593117
2003,0.10826331950717878,0.39598903423334864,0.059488,0.8840616905025638,0.5837064002335297,0.23725645937764905
2004,0.061536209972720704,0.6342045679603723,0.063339,0.5024952686029259,0.621493068928045,0.37998307353819555
2005,0.06489830983537385,0.4842661894160582,0.067644,0.5299496612979374,0.6637344630412332,0.29014763431417234
2006,0.05417535110320147,0.44983942977903213,0.072547,0.44238762212247174,0.7118435351287971,0.2695208734869699
2007,0.08311081306788,0.37510319119153285,0.078133,0.6786701741115608,0.7666543196854217,0.22474272605972476
2008,0.09034210804848464,0.9969223066711126,0.084358,0.7377198217131397,0.8277350812079763,0.5973050673317553
2009,0.14522132997414808,1.6369206396808866,0.091144,1.1858551451995982,0.894320470395455,0.9807594697787129
2010,0.09354141093820897,1.5480198405577237,0.098368,0.7638448392536548,0.9652035902731954,0.9274946391587418
2011,0.08008848447664238,1.7299231495707943,0.105852,0.6539903015953058,1.0386378744876208,1.0364818365670607
2012,0.07034748382803774,1.8838277400658852,0.113309,0.5744467817790584,1.1118072300978519,1.1286936279706448
2013,0.08955091825679799,2.243434042757109,0.120357,0.731259087016191,1.180963407963067,1.3441514077841388
2014,0.1300218922605329,1.2927775851375962,0.126542,1.06173886407175,1.241651682664593,0.7745664806257976
2015,0.13906790895908663,1.2656778397791937,0.131363,1.1356072513634177,1.2889561567690486,0.7583296935485534
2016,0.24733535865572057,2.570059138712957,0.134421,2.019702668360684,1.3189617742366746,1.5398485284390095
2017,0.2881975277203157,2.9150671250721936,0.135615,2.35337688438592,1.3306775058443743,1.7465597406802276
2018,0.20212348282341194,1.3232748682717685,0.134959,1.650509412869821,1.3242407219795074,0.792838899282693
2019,0.12976470593881995,2.731942700153061,0.132542,1.059638719947381,1.3005247058188625,1.636840912819255
2020,0.16036705038459523,3.0005534308547213,0.128532,1.3095327790546292,1.2611779020107592,1.7977787808097219
2021,0.14684755031882074,2.747219593883593,0.123354,1.1991346115376469,1.2103704830286246,1.6459940494049987
2022,0.15000530212194038,2.8691594759104326,0.117575,1.2249203292669868,1.1536659495605375,1.7190542156356823
2023,0.16007398395900266,3.2778683180579655,0.111698,1.3071396434957132,1.0959998233809307,1.9639317360245934
2024,0.1581967827815875,2.870612364756215,0.106144,1.2918107061060833,1.0415030282811286,1.7199247126283248
