metric,group,year_c,year,pred,ci_lo,ci_hi
richness,inside,-13.0,2001.0,23.55794159595336,18.662447707656646,28.453435484250072
richness,inside,-12.767676767676768,2001.2323232323233,23.14934817221539,18.807415682572703,27.491280661858077
richness,inside,-12.535353535353535,2001.4646464646464,22.846997942306423,18.955610333141138,26.73838555147171
richness,inside,-12.303030303030303,2001.6969696969697,22.645889699683188,19.104213778467972,26.187565620898404
richness,inside,-12.070707070707071,2001.9292929292928,22.541022237802395,19.254181873212985,25.827862602391804
richness,inside,-11.83838383838384,2002.1616161616162,22.52739435012078,19.411167836749655,25.643620863491904
richness,inside,-11.606060606060606,2002.3939393939395,22.60000483009506,19.58505893264131,25.614950727548802
richness,inside,-11.373737373737374,2002.6262626262626,22.75385247118195,19.78805948565529,25.719645456708612
richness,inside,-11.141414141414142,2002.858585858586,22.983936066838176,20.03220171099823,25.93567042267813
richness,inside,-10.90909090909091,2003.090909090909,23.28525441052048,20.327370105238288,26.243138715802672
richness,inside,-10.676767676767676,2003.3232323232323,23.652806295685565,20.680335257504566,26.625277333866563
richness,inside,-10.444444444444445,2003.5555555555557,24.081590515790147,21.09465125575302,27.068529775827276
richness,inside,-10.212121212121211,2003.7878787878788,24.566605864290977,21.571029549797693,27.56218217878426
richness,inside,-9.97979797979798,2004.020202020202,25.10285113464475,22.107868095612,28.097834173677505
richness,inside,-9.747474747474747,2004.2525252525252,25.6853251203082,22.701760368527182,28.668889872089217
richness,inside,-9.515151515151516,2004.4848484848485,26.309026614738052,23.347918857274145,29.270134372201962
richness,inside,-9.282828282828284,2004.7171717171718,26.968954411391024,24.040505826478014,29.897402996304038
richness,inside,-9.05050505050505,2004.949494949495,27.660107303723855,24.77288786129617,30.54732674615154
richness,inside,-8.818181818181818,2005.1818181818182,28.377484085193238,25.53783743322797,31.21713073715851
richness,inside,-8.585858585858585,2005.4141414141413,29.11608354925592,26.3277046294672,31.904462469044642
richness,inside,-8.353535353535353,2005.6464646464647,29.87090448936861,27.134579633301385,32.60722934543583
richness,inside,-8.121212121212121,2005.878787878788,30.636945698988043,27.950462502191105,33.32342889578498
richness,inside,-7.888888888888889,2006.111111111111,31.409205971570927,28.767450579005285,34.05096136413657
richness,inside,-7.656565656565657,2006.3434343434344,32.182684100573994,29.577944513403878,34.78742368774411
richness,inside,-7.424242424242424,2006.5757575757575,32.95237887945397,30.374861537715123,35.529896221192814
richness,inside,-7.191919191919192,2006.8080808080808,33.71328910166757,31.151831974096503,36.27474622923864
richness,inside,-6.959595959595959,2007.040404040404,34.460413560671526,31.903347135622774,37.01747998572028
richness,inside,-6.7272727272727275,2007.2727272727273,35.188751049922544,32.62482922801779,37.7526728718273
richness,inside,-6.494949494949495,2007.5050505050506,35.89330036287737,33.312608073731894,38.473992652022844
richness,inside,-6.262626262626263,2007.7373737373737,36.5690602929927,33.96381050166593,39.17431008431949
richness,inside,-6.03030303030303,2007.969696969697,37.21102963372529,34.57618679631107,39.84587247113951
richness,inside,-5.7979797979797985,2008.20202020202,37.81420717853183,35.14790694658157,40.48050741048209
richness,inside,-5.565656565656566,2008.4343434343434,38.37359172086906,35.67735590430018,41.06982753743794
richness,inside,-5.333333333333333,2008.6666666666667,38.8841820541937,36.16294563762846,41.60541847075894
richness,inside,-5.101010101010101,2008.8989898989898,39.34228169876853,36.603888404383795,42.080674993153266
richness,inside,-4.8686868686868685,2009.1313131313132,39.74941308208057,37.00276274714149,42.496063417019656
richness,inside,-4.636363636363637,2009.3636363636363,40.108403358422905,37.362503374210505,42.854303342635305
richness,inside,-4.404040404040405,2009.5959595959596,40.422079682088594,37.685556624136375,43.15860274004081
richness,inside,-4.171717171717171,2009.828282828283,40.69326920737074,37.97398523856998,43.4125531761715
richness,inside,-3.9393939393939394,2010.060606060606,40.924799088562395,38.22954888721962,43.62004928990517
richness,inside,-3.7070707070707076,2010.2929292929293,41.11949647995666,38.453768325372124,43.785224634541194
richness,inside,-3.474747474747474,2010.5252525252524,41.2801885358466,38.64797993640249,43.9123971352907
richness,inside,-3.242424242424242,2010.7575757575758,41.409702410525284,38.81338641470559,44.00601840634498
richness,inside,-3.0101010101010104,2010.989898989899,41.51086525828581,38.95110843391479,44.07062208265683
richness,inside,-2.7777777777777786,2011.2222222222222,41.586504233421245,39.06224111991017,44.11076734693232
richness,inside,-2.545454545454545,2011.4545454545455,41.63944649022467,39.1479177464127,44.13097523403664
richness,inside,-2.313131313131313,2011.6868686868686,41.67251918298916,39.20938107497828,44.13565729100004
richness,inside,-2.0808080808080813,2011.919191919192,41.68854946600779,39.248060138147906,44.12903879386768
richness,inside,-1.8484848484848477,2012.1515151515152,41.69036449357365,39.26564731885378,44.11508166829351
richness,inside,-1.616161616161616,2012.3838383838383,41.6807914199798,39.2641680189831,44.097414820976496
richness,inside,-1.383838383838384,2012.6161616161617,41.66265739951933,39.246033998522634,44.07928080051603
richness,inside,-1.1515151515151523,2012.8484848484848,41.638789586485316,39.21407241176546,44.063506761205176
richness,inside,-0.9191919191919187,2013.080808080808,41.612015135170836,39.17152580731095,44.05250446303072
richness,inside,-0.6868686868686869,2013.3131313131314,41.58516119986897,39.1220230918581,44.048299307879844
richness,inside,-0.45454545454545503,2013.5454545454545,41.561054934872786,39.069526191060824,44.05258367868475
richness,inside,-0.2222222222222232,2013.7777777777778,41.542523494475375,39.0182603809643,44.06678660798645
richness,inside,0.010101010101010388,2014.010101010101,41.532394032969805,38.97263720859878,44.092150857340826
richness,inside,0.2424242424242422,2014.2424242424242,41.53349370464915,38.937177708829466,44.12980970046884
richness,inside,0.47474747474747403,2014.4747474747476,41.5486496638065,38.9164410643624,44.1808582632506
richness,inside,0.7070707070707076,2014.7070707070707,41.58068906473493,38.9149609101504,44.24641721931947
richness,inside,0.9393939393939394,2014.939393939394,41.63243906172752,38.937188860384744,44.32768926307029
richness,inside,1.1717171717171713,2015.171717171717,41.70672680907734,38.98744284027657,44.42601077787809
richness,inside,1.404040404040403,2015.4040404040404,41.80637946107746,39.06985640312524,44.54290251902968
richness,inside,1.6363636363636367,2015.6363636363637,41.934224172020976,39.188324187808576,44.680124156233376
richness,inside,1.8686868686868685,2015.8686868686868,42.093088096200965,39.34643776126188,44.83973843114005
richness,inside,2.1010101010101003,2016.1010101010102,42.28579838791049,39.547405093525754,45.024191682295225
richness,inside,2.333333333333334,2016.3333333333333,42.51518220144264,39.79394578487741,45.236418618007875
richness,inside,2.5656565656565657,2016.5656565656566,42.78297782730375,40.08674201073488,45.479213643872626
richness,inside,2.7979797979797976,2016.79797979798,43.08656810085319,40.42026786890294,45.752868332803445
richness,inside,3.030303030303031,2017.030303030303,43.4222469936636,40.78740415624939,46.05708983107781
richness,inside,3.262626262626263,2017.2626262626263,43.7863084773076,41.18105868598083,46.39155826863437
richness,inside,3.494949494949495,2017.4949494949494,44.175046523357835,41.59435423421236,46.755738812503296
richness,inside,3.7272727272727266,2017.7272727272727,44.584755103386925,42.020833281482176,47.148676925291674
richness,inside,3.9595959595959584,2017.9595959595958,45.01172818896751,42.454661763918764,47.568794614016255
richness,inside,4.19191919191919,2018.1919191919192,45.452259751672216,42.890802624101156,48.013716879243276
richness,inside,4.424242424242426,2018.4242424242425,45.9026437630737,43.32512642133486,48.48016110481254
richness,inside,4.6565656565656575,2018.6565656565656,46.359174194744554,43.75443460757445,48.963913781914655
richness,inside,4.888888888888889,2018.888888888889,46.818145018257425,44.1763896256918,49.45990041082305
richness,inside,5.121212121212121,2019.121212121212,47.27585020518496,44.589367008388024,49.962333401981894
richness,inside,5.353535353535353,2019.3535353535353,47.728583727099775,44.99225887103256,50.46490858316699
richness,inside,5.585858585858585,2019.5858585858587,48.17263955557452,45.38426063578581,50.96101847536323
richness,inside,5.818181818181817,2019.8181818181818,48.60431166218181,45.76466501021655,51.44395831414707
richness,inside,6.050505050505052,2020.050505050505,49.019894018494284,46.132674576066606,51.90711346092196
richness,inside,6.282828282828284,2020.2828282828282,49.41568059608457,46.48723201117156,52.344129180997584
richness,inside,6.515151515151516,2020.5151515151515,49.7879653665253,46.82685760906139,52.749073123989206
richness,inside,6.747474747474747,2020.7474747474748,50.13304230138912,47.14947754960811,53.11660705317013
richness,inside,6.979797979797979,2020.979797979798,50.44720537224864,47.452222333215886,53.44218841128139
richness,inside,7.212121212121211,2021.2121212121212,50.72674855067651,47.73117223618324,53.72232486516978
richness,inside,7.444444444444443,2021.4444444444443,50.96796580824536,47.981026548208234,53.954905068282486
richness,inside,7.676767676767678,2021.6767676767677,51.16715111652782,48.19468007834683,54.13962215470881
richness,inside,7.90909090909091,2021.909090909091,51.32059844709651,48.362714141814315,54.2784827523787
richness,inside,8.141414141414142,2022.141414141414,51.42460177152407,48.47286741568412,54.37633612736401
richness,inside,8.373737373737374,2022.3737373737374,51.475455061383144,48.50966207585648,54.441248046909806
richness,inside,8.606060606060606,2022.6060606060605,51.469452288246345,48.4545063907926,54.48439818570009
richness,inside,8.838383838383837,2022.8383838383838,51.40288742368632,48.286660910315206,54.51911393705744
richness,inside,9.07070707070707,2023.0707070707072,51.272054439275706,47.9852140746863,54.558894803865115
richness,inside,9.303030303030305,2023.3030303030303,51.07324730658712,47.53157138537191,54.61492322780233
richness,inside,9.535353535353536,2023.5353535353536,50.8027599971932,46.91137238802791,54.69414760635849
richness,inside,9.767676767676768,2023.7676767676767,50.456886482666576,46.11495399302389,54.79881897230926
richness,inside,10.0,2024.0,50.031920734579884,45.13642684628317,54.9274146228766
richness,outside,-13.0,2001.0,21.86520660872725,14.887206636636488,28.843206580818013
richness,outside,-12.767676767676768,2001.2323232323233,20.51712942078788,14.26734040478143,26.766918436794338
richness,outside,-12.535353535353535,2001.4646464646464,19.36159043208305,13.72453415743955,24.998646706726554
richness,outside,-12.303030303030303,2001.6969696969697,18.390111235770735,13.252969027848243,23.527253443693226
richness,outside,-12.070707070707071,2001.9292929292928,17.5942134250089,12.849510453597807,22.338916396419993
richness,outside,-11.83838383838384,2002.1616161616162,16.965418592955523,12.51456200800418,21.41627517790686
richness,outside,-11.606060606060606,2002.3939393939395,16.49524833276857,12.252254081318856,20.73824258421828
richness,outside,-11.373737373737374,2002.6262626262626,16.175224237606,12.069648920673444,20.280799554538554
richness,outside,-11.141414141414142,2002.858585858586,15.996867900625798,11.975121863455247,20.018613937796353
richness,outside,-10.90909090909091,2003.090909090909,15.951700914985944,11.976519110650639,19.92688271932124
richness,outside,-10.676767676767676,2003.3232323232323,16.031244873844386,12.0797167397897,19.982773007899073
richness,outside,-10.444444444444445,2003.5555555555557,16.227021370359108,12.287864955227766,20.166177785490447
richness,outside,-10.212121212121211,2003.7878787878788,16.530551997688082,12.60124397300626,20.459860022369902
richness,outside,-9.97979797979798,2004.020202020202,16.933358348989284,13.017499466913966,20.849217231064596
richness,outside,-9.747474747474747,2004.2525252525252,17.42696201742066,13.532040088597892,21.321883946243425
richness,outside,-9.515151515151516,2004.4848484848485,18.002884596140206,14.138458529502788,21.867310662777626
