year_c,year,effect,ci_lo,ci_hi
-13.0,2001.0,-0.33361884014517695,-0.5290198875916654,-0.1382177926986885
-12.884422110552764,2001.1155778894472,-0.32179128877151764,-0.5155233063592627,-0.12805927118377258
-12.768844221105528,2001.2311557788944,-0.3099722847702045,-0.5021579918883137,-0.11778657765209527
-12.653266331658292,2001.3467336683418,-0.29816328069159803,-0.4889257266766247,-0.10740083470657136
-12.537688442211055,2001.462311557789,-0.28636572908605873,-0.47582809101797985,-0.09690336715413758
-12.422110552763819,2001.5778894472362,-0.2745810825039477,-0.4628664533479332,-0.0862957116599622
-12.306532663316583,2001.6934673366834,-0.262810793495625,-0.45004196228616866,-0.07557962470508131
-12.190954773869347,2001.8090452261306,-0.2510563146114516,-0.4373555405651064,-0.06475708865779686
-12.075376884422111,2001.9246231155778,-0.23931909840178806,-0.42480788100009287,-0.05383031580348324
-11.959798994974875,2002.0402010050252,-0.22760059741699462,-0.4123994446158905,-0.04280175021809876
-11.844221105527637,2002.1557788944724,-0.21590226420743197,-0.40013046099858485,-0.03167406741627907
-11.728643216080402,2002.2713567839196,-0.20422555132346104,-0.3880009308931861,-0.020450171753736007
-11.613065326633166,2002.3869346733668,-0.19257191131544205,-0.3760106310169927,-0.00913319161389134
-11.49748743718593,2002.502512562814,-0.18094279673373603,-0.36415912100923586,0.0022735275417638257
-11.381909547738694,2002.6180904522614,-0.16933966012870305,-0.3524457523905843,0.013766432133178214
-11.266331658291458,2002.7336683417086,-0.15776395405070398,-0.3408696793636614,0.025341771262253482
-11.150753768844222,2002.8492462311558,-0.1462171310500995,-0.329429871249319,0.03699560914912001
-11.035175879396984,2002.964824120603,-0.13470064367724968,-0.31812512632433,0.048723838969830596
-10.919597989949748,2003.0804020100502,-0.1232159444825157,-0.30695408680518654,0.060522197840155154
-10.804020100502512,2003.1959798994974,-0.11176448601625813,-0.2959152547102144,0.07238628267769814
-10.688442211055277,2003.3115577889448,-0.10034772082883718,-0.2850070083282157,0.08431156667054131
-10.57286432160804,2003.427135678392,-0.08896710147061365,-0.274227619025852,0.09629341608462474
-10.457286432160803,2003.5427135678392,-0.07762408049194804,-0.2635752681372093,0.10832710715331319
-10.341708542713569,2003.6582914572864,-0.06632011044320141,-0.25304806369640664,0.12040784281000383
-10.226130653266331,2003.7738693467336,-0.05505664387473341,-0.24264405679649093,0.1325307690470241
-10.110552763819095,2003.889447236181,-0.04383513333690549,-0.23236125738390268,0.14469099071009167
-9.99497487437186,2004.0050251256282,-0.032657031380077826,-0.2221976493261807,0.15688358656602502
-9.879396984924623,2004.1206030150754,-0.021523790554611143,-0.2121512046200895,0.1691036235108672
-9.763819095477388,2004.2361809045226,-0.010436863410866127,-0.20221989663682652,0.18134616981509424
-9.64824120603015,2004.3517587939698,0.0006022975007971926,-0.1924017123294887,0.19360630733108306
-9.532663316582914,2004.467336683417,0.011592239630017275,-0.1826946633547446,0.20587914261477913
-9.417085427135678,2004.5829145728644,0.022531510426434347,-0.17309679608507395,0.21815981693794262
-9.301507537688442,2004.6984924623116,0.033418657339687546,-0.1636062005096493,0.2304435151890244
-9.185929648241206,2004.8140703517588,0.04425222781941608,-0.15422101804063681,0.24272547367946895
-9.07035175879397,2004.929648241206,0.055030769315259645,-0.14493944825738847,0.2550009868879078
-8.954773869346734,2005.0452261306532,0.06575282927685755,-0.13575975463367312,0.2672654131873882
-8.839195979899497,2005.1608040201006,0.07641695515384928,-0.1266802693029141,0.27951417961061265
-8.72361809045226,2005.2763819095478,0.08702169439587407,-0.11769939692359013,0.2917427857153383
-8.608040201005025,2005.391959798995,0.09756559445257144,-0.10881561771176017,0.30394680661690304
-8.492462311557789,2005.5075376884422,0.10804720277358063,-0.10002748971040024,0.3161218952575615
-8.376884422110553,2005.6231155778894,0.11846506680854145,-0.0913336503661837,0.3282637839832666
-8.261306532663315,2005.7386934673366,0.12881773400709318,-0.08273281748380015,0.3403682854979865
-8.145728643216081,2005.854271356784,0.1391037518188747,-0.07422378962616816,0.35243129326391753
-8.030150753768844,2005.9698492462312,0.1493216676935261,-0.06580544602622518,0.36444878141327736
-7.914572864321608,2006.0854271356784,0.15947002908068644,-0.05747674607260975,0.3764168042339826
-7.798994974874372,2006.2010050251256,0.16954738342999523,-0.049236728427672766,0.3883314952876632
