gear_type,year,gear_production_ton,year_total,share
linha e mergulho livre,2020,2.2,6618.900000000001,0.00033238151354454665
linha e rede de espera,2020,148.1,6618.900000000001,0.022375319161794253
mergulho livre,2020,52.1,6618.900000000001,0.007871398570759492
puçá,2020,14.6,6618.900000000001,0.0022058045898865368
rede agulha,2020,113.6,6618.900000000001,0.017162972699391134
rede caçoeira,2020,12.1,6618.900000000001,0.0018280983244950066
rede de espera,2020,615.7,6618.900000000001,0.09302149904062608
rede de tapagem,2020,3.0,6618.900000000001,0.00045324751846983634
sardinheira,2020,88.5,6618.900000000001,0.013370801794860172
tarrafa,2020,14.5,6618.900000000001,0.0021906963392708755
traineira,2020,465.3,6618.900000000001,0.07029869011467162
tremalho,2020,109.80000000000001,6618.900000000001,0.01658885917599601
arrasto de porta,2021,7.8999999999999995,7434.8,0.001062570613869909
arrasto de praia,2021,0.0,7434.8,0.0
coleta manual,2021,416.5,7434.8,0.05602033679453381
compressor,2021,118.4,7434.8,0.015925108947113575
coqueiro,2021,14.5,7434.8,0.0019502878355840104
covo lagosta,2021,6.2,7434.8,0.0008339161779738526
covo peixe,2021,116.0,7434.8,0.015602302684672083
covo peixe e lagosta,2021,3.6999999999999997,7434.8,0.0004976596545972991
curral,2021,3.4,7434.8,0.00045730887179211275
jereré,2021,0.4,7434.8,5.380104374024856e-05
linha,2021,4292.8,7434.8,0.5773928014203475
linha e covo lagosta,2021,0.0,7434.8,0.0
linha e covo peixe,2021,0.0,7434.8,0.0
linha e espinhel,2021,1.9,7434.8,0.00025555495776618067
linha e jereré,2021,942.5,7434.8,0.12676870931296066
linha e mergulho livre,2021,3.6,7434.8,0.00048420939366223707
linha e rede de espera,2021,126.80000000000001,7434.8,0.017054930865658794
mergulho livre,2021,45.900000000000006,7434.8,0.006173669769193523
puçá,2021,9.2,7434.8,0.0012374240060257168
rede agulha,2021,169.7,7434.8,0.02282509280680045
rede caçoeira,2021,28.9,7434.8,0.0038871254102329582
rede de espera,2021,599.2,7434.8,0.08059396352289235
rede de tapagem,2021,1.1,7434.8,0.00014795287028568355
sardinheira,2021,80.2,7434.8,0.010787109269919836
tarrafa,2021,20.9,7434.8,0.002811104535427987
traineira,2021,354.5,7434.8,0.04768117501479529
tremalho,2021,70.6,7434.8,0.00949588422015387
arrasto de porta,2022,2.8,7287.0,0.00038424591738712776
coleta manual,2022,576.1,7287.0,0.07905859750240155
compressor,2022,74.8,7287.0,0.010264855221627556
coqueiro,2022,1.9000000000000001,7287.0,0.0002607383010841224
covo lagosta,2022,5.2,7287.0,0.0007135995608618087
covo peixe,2022,136.2,7287.0,0.01869081926718814
covo peixe e lagosta,2022,5.6,7287.0,0.0007684918347742555
curral,2022,2.4,7287.0,0.00032935364347468093
linha,2022,4282.7,7287.0,0.58771785371209
linha e espinhel,2022,1.0,7287.0,0.00013723068478111705
linha e jereré,2022,521.0,7287.0,0.07149718677096199
linha e mergulho livre,2022,4.9,7287.0,0.0006724303554274736
linha e rede de espera,2022,182.5,7287.0,0.025044599972553865
mergulho livre,2022,32.4,7287.0,0.004446274186908192
puçá,2022,16.7,7287.0,0.002291752435844655
rede agulha,2022,71.5,7287.0,0.00981199396184987
rede caçoeira,2022,23.5,7287.0,0.003224921092356251
rede de espera,2022,791.3,7287.0,0.10859064086729792
rede de tapagem,2022,1.4,7287.0,0.00019212295869356388
sardinheira,2022,71.6,7287.0,0.009825717030327981
tarrafa,2022,13.6,7287.0,0.001866337313023192
traineira,2022,380.6,7287.0,0.052229998627693154
tremalho,2022,87.3,7287.0,0.011980238781391518
arrasto de porta,2023,2.5,7351.6,0.000340062027313782
coleta manual,2023,760.5999999999999,7351.6,0.10346047118994503
compressor,2023,127.8,7351.6,0.017383970836280536
coqueiro,2023,0.3,7351.6,4.080744327765384e-05
covo lagosta,2023,11.600000000000001,7351.6,0.0015778878067359487
covo peixe,2023,66.3,7351.6,0.009018444964361499
covo peixe e lagosta,2023,10.3,7351.6,0.001401055552532782
curral,2023,2.9,7351.6,0.0003944719516839871
jereré,2023,1.0,7351.6,0.0001360248109255128
linha,2023,4093.1,7351.6,0.5567631535992165
linha e espinhel,2023,8.1,7351.6,0.0011018009684966538
linha e jereré,2023,516.7,7351.6,0.07028401980521247
linha e mergulho livre,2023,5.4,7351.6,0.0007345339789977692
linha e rede de espera,2023,191.3,7351.6,0.0260215463300506
mergulho livre,2023,56.4,7351.6,0.007671799336198922
puçá,2023,9.0,7351.6,0.0012242232983296153
rede agulha,2023,114.8,7351.6,0.01561564829424887
rede caçoeira,2023,48.599999999999994,7351.6,0.006610805810979921
rede de espera,2023,715.1999999999999,7351.6,0.09728494477392675
rede de tapagem,2023,0.8999999999999999,7351.6,0.00012242232983296152
sardinheira,2023,95.3,7351.6,0.01296316448120137
tarrafa,2023,14.100000000000001,7351.6,0.0019179498340497307
traineira,2023,389.9,7351.6,0.05303607377985744
tremalho,2023,109.5,7351.6,0.014894716796343653
arrasto de porta,2024,7.1000000000000005,5499.5,0.0012910264569506319
coleta manual,2024,359.0,5499.5,0.06527866169651786
compressor,2024,92.6,5499.5,0.016837894354032185
covo lagosta,2024,2.6,5499.5,0.0004727702518410765
covo peixe,2024,74.1,5499.5,0.013473952177470678
curral,2024,2.9,5499.5,0.0005273206655150468
espinhel,2024,14.6,5499.5,0.002654786798799891
linha,2024,3353.4,5499.5,0.6097645240476407
linha e espinhel,2024,4.1,5499.5,0.0007455223202109282
linha e jereré,2024,256.0,5499.5,0.046549686335121375
linha e mergulho livre,2024,5.3999999999999995,5499.5,0.0009819074461314664
linha e rede de espera,2024,96.3,5499.5,0.017510682789344485
mergulho livre,2024,23.5,5499.5,0.004273115737794345
palha de coqueiro,2024,0.1,5499.5,1.8183471224656787e-05
puçá,2024,7.4,5499.5,0.0013455768706246024
rede agulha,2024,90.1,5499.5,0.016383307573415763
rede caçoeira,2024,19.2,5499.5,0.003491226475134103
rede de espera,2024,938.9,5499.5,0.17072461132830258
rede de tapagem,2024,0.8,5499.5,0.0001454677697972543
sardinheira,2024,79.5,5499.5,0.014455859623602145
tarrafa,2024,7.9,5499.5,0.0014364942267478863
tremalho,2024,64.0,5499.5,0.011637421583780344
