local,year,species,sp_production_ton,rel_abundance
AREIA BRANCA,2008,Budiao,0.09,0.00023866348448687351
AREIA BRANCA,2008,Caico,2.95,0.007822858658180856
AREIA BRANCA,2008,Camarao,94.42,0.25038451339167334
AREIA BRANCA,2008,Camurim,0.19,0.000503845133916733
AREIA BRANCA,2008,Camurupim,0.83,0.0022010076902678334
AREIA BRANCA,2008,Caranguejo,0.09,0.00023866348448687351
AREIA BRANCA,2008,Carapeba,0.28,0.0007425086184036067
AREIA BRANCA,2008,Cavala,6.0,0.015910898965791568
AREIA BRANCA,2008,Caçao,6.86,0.01819146115088836
AREIA BRANCA,2008,Cioba,17.48,0.04635375232033944
AREIA BRANCA,2008,Cururuca,1.23,0.0032617342879872717
AREIA BRANCA,2008,Dentao,2.1,0.00556881463802705
AREIA BRANCA,2008,Dourado,2.01,0.005330151153540175
AREIA BRANCA,2008,Garajuba,7.87,0.020869795810129942
AREIA BRANCA,2008,Garoupa,2.15,0.005701405462741979
AREIA BRANCA,2008,Guaiuba,3.68,0.009758684699018829
AREIA BRANCA,2008,Lagosta,116.83,0.3098117210289048
AREIA BRANCA,2008,Outros,1.46,0.0038716520816759483
AREIA BRANCA,2008,Pargo,1.43,0.00379209758684699
AREIA BRANCA,2008,Pescada,0.87,0.0023070803500397775
AREIA BRANCA,2008,Salema,2.73,0.007239459029435164
AREIA BRANCA,2008,Sardinha,0.0,0.0
AREIA BRANCA,2008,Serra,6.76,0.0179262795014585
AREIA BRANCA,2008,Sirigado,19.17,0.050835322195704066
AREIA BRANCA,2008,Tainha,0.02,5.30363298859719e-05
AREIA BRANCA,2008,Xareu,0.5700000000000001,0.0015115354017501991
AREIA BRANCA,2009,Agulha,0.8248,0.0009798971393133829
AREIA BRANCA,2009,Agulhao,2.7233,0.003235395101227129
AREIA BRANCA,2009,Albacora,295.8456,0.3514770333637868
AREIA BRANCA,2009,Albacorinha,2.4862,0.0029537103149380856
AREIA BRANCA,2009,Arabaiana,0.7078,0.0008408962114524884
AREIA BRANCA,2009,Ariaco,62.1172,0.07379784988137399
AREIA BRANCA,2009,Arraia,5.144,0.006111288657405483
AREIA BRANCA,2009,Bagre,3.7408,0.004444227956769523
AREIA BRANCA,2009,Biquara,5.637099999999999,0.006697112226022636
AREIA BRANCA,2009,Bonito,5.9487,0.007067306150137634
AREIA BRANCA,2009,Budiao,0.1636,0.00019436369058155849
AREIA BRANCA,2009,Caico,23.5854,0.028020448580943092
AREIA BRANCA,2009,Camarao,122.708,0.14578227227311663
AREIA BRANCA,2009,Camurim,4.4671,0.005307102947413692
AREIA BRANCA,2009,Camurupim,0.1416,0.00016822676397523645
AREIA BRANCA,2009,Cangulo,0.0209,2.4830080276005943e-05
AREIA BRANCA,2009,Caranguejo,0.0,0.0
AREIA BRANCA,2009,Carapeba,4.9691,0.005903500090885222
AREIA BRANCA,2009,Cavala,14.0122,0.0166470837724139
AREIA BRANCA,2009,Caçao,15.3729,0.018263652683014917
AREIA BRANCA,2009,Cioba,32.2527,0.03831756603435105
AREIA BRANCA,2009,Cururuca,15.0659,0.017898923752644878
AREIA BRANCA,2009,Dentao,1.6801,0.001996029563240076
AREIA BRANCA,2009,Dourado,4.7082,0.005593539902176612
AREIA BRANCA,2009,Espada,0.0,0.0
AREIA BRANCA,2009,Garajuba,38.2889,0.045488825869854733
