grouping_variable,matrix,n_obs,n_groups,groups,group_sizes,pseudo_F,pvalue,sig,n_permutations
platform_exposure_class,gear_composition,150,2,0-20 km | 20-50 km,"0-20 km:40, 20-50 km:110",7.0235,0.004,**,999
mpa_exposure_class,gear_composition,150,4,0-10 km | 10-25 km | 25-50 km | inside,"0-10 km:40, 10-25 km:33, 25-50 km:38, inside:39",15.6267,0.001,**,999
