platform_exposure_class,year,boat_type,propulsion,vessels_monitored,total_vessels,boat_share,share_motorised,share_sail_row,share_other
0-20 km,2024,BMM,motorised,48,301,0.15946843853820597,0.8006644518272426,0.03986710963455149,0.15946843853820597
0-20 km,2024,BMP,motorised,10,301,0.03322259136212625,0.8006644518272426,0.03986710963455149,0.15946843853820597
0-20 km,2024,BOM,other,37,301,0.12292358803986711,0.8006644518272426,0.03986710963455149,0.15946843853820597
0-20 km,2024,BOV,sail/row,2,301,0.006644518272425249,0.8006644518272426,0.03986710963455149,0.15946843853820597
0-20 km,2024,CAM,motorised,178,301,0.5913621262458472,0.8006644518272426,0.03986710963455149,0.15946843853820597
0-20 km,2024,CAR,other,2,301,0.006644518272425249,0.8006644518272426,0.03986710963455149,0.15946843853820597
0-20 km,2024,CAV,sail/row,10,301,0.03322259136212625,0.8006644518272426,0.03986710963455149,0.15946843853820597
0-20 km,2024,JAM,motorised,1,301,0.0033222591362126247,0.8006644518272426,0.03986710963455149,0.15946843853820597
0-20 km,2024,JAV,sail/row,0,301,0.0,0.8006644518272426,0.03986710963455149,0.15946843853820597
0-20 km,2024,PED,other,9,301,0.029900332225913623,0.8006644518272426,0.03986710963455149,0.15946843853820597
0-20 km,2024,PQM,motorised,1,301,0.0033222591362126247,0.8006644518272426,0.03986710963455149,0.15946843853820597
0-20 km,2024,PQV,sail/row,0,301,0.0,0.8006644518272426,0.03986710963455149,0.15946843853820597
20-50 km,2001,BMM,motorised,48,285,0.16842105263157894,0.37543859649122807,0.624561403508772,0.0
20-50 km,2001,BMP,motorised,46,285,0.16140350877192983,0.37543859649122807,0.624561403508772,0.0
20-50 km,2001,BOV,sail/row,144,285,0.5052631578947369,0.37543859649122807,0.624561403508772,0.0
20-50 km,2001,CAV,sail/row,31,285,0.10877192982456141,0.37543859649122807,0.624561403508772,0.0
20-50 km,2001,JAV,sail/row,3,285,0.010526315789473684,0.37543859649122807,0.624561403508772,0.0
20-50 km,2001,PQM,motorised,13,285,0.0456140350877193,0.37543859649122807,0.624561403508772,0.0
20-50 km,2002,BMM,motorised,56,282,0.19858156028368795,0.4148936170212766,0.574468085106383,0.010638297872340425
20-50 km,2002,BMP,motorised,47,282,0.16666666666666666,0.4148936170212766,0.574468085106383,0.010638297872340425
20-50 km,2002,BOV,sail/row,130,282,0.46099290780141844,0.4148936170212766,0.574468085106383,0.010638297872340425
20-50 km,2002,CAV,sail/row,32,282,0.11347517730496454,0.4148936170212766,0.574468085106383,0.010638297872340425
20-50 km,2002,PED,other,3,282,0.010638297872340425,0.4148936170212766,0.574468085106383,0.010638297872340425
20-50 km,2002,PQM,motorised,14,282,0.04964539007092199,0.4148936170212766,0.574468085106383,0.010638297872340425
20-50 km,2003,BMG,motorised,2,294,0.006802721088435374,0.4897959183673469,0.4965986394557823,0.013605442176870748
20-50 km,2003,BMM,motorised,80,294,0.272108843537415,0.4897959183673469,0.4965986394557823,0.013605442176870748
20-50 km,2003,BMP,motorised,47,294,0.1598639455782313,0.4897959183673469,0.4965986394557823,0.013605442176870748
20-50 km,2003,BOV,sail/row,119,294,0.40476190476190477,0.4897959183673469,0.4965986394557823,0.013605442176870748
20-50 km,2003,CAV,sail/row,27,294,0.09183673469387756,0.4897959183673469,0.4965986394557823,0.013605442176870748
20-50 km,2003,PED,other,4,294,0.013605442176870748,0.4897959183673469,0.4965986394557823,0.013605442176870748
20-50 km,2003,PQM,motorised,15,294,0.05102040816326531,0.4897959183673469,0.4965986394557823,0.013605442176870748
