platform_exposure_class,year,boat_type,propulsion,vessels_monitored,total_vessels,boat_share,share_motorised,share_sail_row,share_other
0-20 km,2009,BMM,motorised,39,501,0.07784431137724551,0.590818363273453,0.3872255489021956,0.021956087824351298
0-20 km,2009,BMP,motorised,78,501,0.15568862275449102,0.590818363273453,0.3872255489021956,0.021956087824351298
0-20 km,2009,BOM,other,0,501,0.0,0.590818363273453,0.3872255489021956,0.021956087824351298
0-20 km,2009,BOV,sail/row,52,501,0.10379241516966067,0.590818363273453,0.3872255489021956,0.021956087824351298
0-20 km,2009,CAM,motorised,178,501,0.35528942115768464,0.590818363273453,0.3872255489021956,0.021956087824351298
0-20 km,2009,CAV,sail/row,134,501,0.26746506986027946,0.590818363273453,0.3872255489021956,0.021956087824351298
0-20 km,2009,JAV,sail/row,7,501,0.013972055888223553,0.590818363273453,0.3872255489021956,0.021956087824351298
0-20 km,2009,PED,other,11,501,0.021956087824351298,0.590818363273453,0.3872255489021956,0.021956087824351298
0-20 km,2009,PQM,motorised,0,501,0.0,0.590818363273453,0.3872255489021956,0.021956087824351298
0-20 km,2009,PQV,sail/row,1,501,0.001996007984031936,0.590818363273453,0.3872255489021956,0.021956087824351298
0-20 km,2010,BMG,motorised,1,499,0.002004008016032064,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-20 km,2010,BMM,motorised,45,499,0.09018036072144289,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-20 km,2010,BMP,motorised,81,499,0.1623246492985972,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-20 km,2010,BOM,other,0,499,0.0,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-20 km,2010,BOV,sail/row,39,499,0.0781563126252505,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-20 km,2010,CAM,motorised,203,499,0.40681362725450904,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-20 km,2010,CAR,other,0,499,0.0,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-20 km,2010,CAV,sail/row,88,499,0.17635270541082165,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-20 km,2010,JAV,sail/row,6,499,0.012024048096192385,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-20 km,2010,PED,other,36,499,0.07214428857715431,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-20 km,2010,PQM,motorised,0,499,0.0,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-20 km,2010,PQR,other,0,499,0.0,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-20 km,2010,PQV,sail/row,0,499,0.0,0.6613226452905812,0.2665330661322645,0.07214428857715431
0-20 km,2011,BMG,motorised,1,449,0.0022271714922048997,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-20 km,2011,BMM,motorised,35,449,0.0779510022271715,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-20 km,2011,BMP,motorised,62,449,0.13808463251670378,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-20 km,2011,BOM,other,25,449,0.0556792873051225,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-20 km,2011,BOV,sail/row,28,449,0.062360801781737196,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-20 km,2011,CAM,motorised,200,449,0.44543429844098,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-20 km,2011,CAR,other,4,449,0.008908685968819599,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-20 km,2011,CAV,sail/row,58,449,0.1291759465478842,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-20 km,2011,JAM,motorised,1,449,0.0022271714922048997,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-20 km,2011,JAV,sail/row,5,449,0.011135857461024499,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-20 km,2011,PED,other,28,449,0.062360801781737196,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-20 km,2011,PQM,motorised,0,449,0.0,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-20 km,2011,PQR,other,1,449,0.0022271714922048997,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-20 km,2011,PQV,sail/row,1,449,0.0022271714922048997,0.6659242761692651,0.20489977728285078,0.1291759465478842
0-20 km,2012,BMG,motorised,0,443,0.0,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-20 km,2012,BMM,motorised,31,443,0.06997742663656885,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-20 km,2012,BMP,motorised,37,443,0.0835214446952596,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-20 km,2012,BOM,other,48,443,0.10835214446952596,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-20 km,2012,BOV,sail/row,26,443,0.05869074492099323,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-20 km,2012,CAM,motorised,214,443,0.48306997742663654,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-20 km,2012,CAR,other,6,443,0.013544018058690745,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-20 km,2012,CAV,sail/row,47,443,0.10609480812641084,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-20 km,2012,JAM,motorised,0,443,0.0,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-20 km,2012,JAV,sail/row,3,443,0.006772009029345372,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-20 km,2012,PED,other,28,443,0.06320541760722348,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-20 km,2012,PQM,motorised,3,443,0.006772009029345372,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-20 km,2012,PQV,sail/row,0,443,0.0,0.6433408577878104,0.17155756207674944,0.18510158013544017
0-20 km,2013,BMG,motorised,0,269,0.0,0.6914498141263941,0.11524163568773234,0.19330855018587362
0-20 km,2013,BMM,motorised,21,269,0.07806691449814127,0.6914498141263941,0.11524163568773234,0.19330855018587362
0-20 km,2013,BMP,motorised,20,269,0.07434944237918216,0.6914498141263941,0.11524163568773234,0.19330855018587362
0-20 km,2013,BOM,other,37,269,0.137546468401487,0.6914498141263941,0.11524163568773234,0.19330855018587362
0-20 km,2013,BOV,sail/row,10,269,0.03717472118959108,0.6914498141263941,0.11524163568773234,0.19330855018587362
0-20 km,2013,CAM,motorised,138,269,0.5130111524163569,0.6914498141263941,0.11524163568773234,0.19330855018587362
0-20 km,2013,CAR,other,0,269,0.0,0.6914498141263941,0.11524163568773234,0.19330855018587362
0-20 km,2013,CAV,sail/row,19,269,0.07063197026022305,0.6914498141263941,0.11524163568773234,0.19330855018587362
0-20 km,2013,JAM,motorised,7,269,0.026022304832713755,0.6914498141263941,0.11524163568773234,0.19330855018587362
0-20 km,2013,JAV,sail/row,1,269,0.0037174721189591076,0.6914498141263941,0.11524163568773234,0.19330855018587362
0-20 km,2013,PED,other,15,269,0.055762081784386616,0.6914498141263941,0.11524163568773234,0.19330855018587362
0-20 km,2013,PQM,motorised,0,269,0.0,0.6914498141263941,0.11524163568773234,0.19330855018587362
0-20 km,2013,PQV,sail/row,1,269,0.0037174721189591076,0.6914498141263941,0.11524163568773234,0.19330855018587362
0-20 km,2014,BMG,motorised,0,278,0.0,0.6654676258992805,0.12589928057553956,0.20863309352517986
0-20 km,2014,BMM,motorised,23,278,0.08273381294964029,0.6654676258992805,0.12589928057553956,0.20863309352517986
0-20 km,2014,BMP,motorised,22,278,0.07913669064748201,0.6654676258992805,0.12589928057553956,0.20863309352517986
0-20 km,2014,BOM,other,46,278,0.16546762589928057,0.6654676258992805,0.12589928057553956,0.20863309352517986
0-20 km,2014,BOV,sail/row,13,278,0.046762589928057555,0.6654676258992805,0.12589928057553956,0.20863309352517986
0-20 km,2014,CAM,motorised,140,278,0.5035971223021583,0.6654676258992805,0.12589928057553956,0.20863309352517986
0-20 km,2014,CAR,other,0,278,0.0,0.6654676258992805,0.12589928057553956,0.20863309352517986
0-20 km,2014,CAV,sail/row,19,278,0.0683453237410072,0.6654676258992805,0.12589928057553956,0.20863309352517986
0-20 km,2014,JAM,motorised,0,278,0.0,0.6654676258992805,0.12589928057553956,0.20863309352517986
0-20 km,2014,JAV,sail/row,2,278,0.007194244604316547,0.6654676258992805,0.12589928057553956,0.20863309352517986
0-20 km,2014,PED,other,12,278,0.04316546762589928,0.6654676258992805,0.12589928057553956,0.20863309352517986
0-20 km,2014,PQM,motorised,0,278,0.0,0.6654676258992805,0.12589928057553956,0.20863309352517986
0-20 km,2014,PQV,sail/row,1,278,0.0035971223021582736,0.6654676258992805,0.12589928057553956,0.20863309352517986
0-20 km,2015,BMG,motorised,1,287,0.003484320557491289,0.7282229965156795,0.07665505226480836,0.1951219512195122
0-20 km,2015,BMM,motorised,29,287,0.10104529616724739,0.7282229965156795,0.07665505226480836,0.1951219512195122
0-20 km,2015,BMP,motorised,9,287,0.0313588850174216,0.7282229965156795,0.07665505226480836,0.1951219512195122
0-20 km,2015,BOM,other,42,287,0.14634146341463414,0.7282229965156795,0.07665505226480836,0.1951219512195122
0-20 km,2015,BOV,sail/row,9,287,0.0313588850174216,0.7282229965156795,0.07665505226480836,0.1951219512195122
0-20 km,2015,CAM,motorised,169,287,0.5888501742160279,0.7282229965156795,0.07665505226480836,0.1951219512195122
0-20 km,2015,CAR,other,0,287,0.0,0.7282229965156795,0.07665505226480836,0.1951219512195122
0-20 km,2015,CAV,sail/row,11,287,0.03832752613240418,0.7282229965156795,0.07665505226480836,0.1951219512195122
0-20 km,2015,JAM,motorised,0,287,0.0,0.7282229965156795,0.07665505226480836,0.1951219512195122
0-20 km,2015,JAV,sail/row,1,287,0.003484320557491289,0.7282229965156795,0.07665505226480836,0.1951219512195122
0-20 km,2015,PED,other,14,287,0.04878048780487805,0.7282229965156795,0.07665505226480836,0.1951219512195122
0-20 km,2015,PQM,motorised,1,287,0.003484320557491289,0.7282229965156795,0.07665505226480836,0.1951219512195122
0-20 km,2015,PQV,sail/row,1,287,0.003484320557491289,0.7282229965156795,0.07665505226480836,0.1951219512195122
0-20 km,2016,BMG,motorised,1,293,0.0034129692832764505,0.7167235494880546,0.08873720136518772,0.1945392491467577
0-20 km,2016,BMM,motorised,26,293,0.08873720136518772,0.7167235494880546,0.08873720136518772,0.1945392491467577
0-20 km,2016,BMP,motorised,22,293,0.07508532423208192,0.7167235494880546,0.08873720136518772,0.1945392491467577
0-20 km,2016,BOM,other,42,293,0.14334470989761092,0.7167235494880546,0.08873720136518772,0.1945392491467577
0-20 km,2016,BOV,sail/row,10,293,0.034129692832764506,0.7167235494880546,0.08873720136518772,0.1945392491467577
0-20 km,2016,CAM,motorised,160,293,0.5460750853242321,0.7167235494880546,0.08873720136518772,0.1945392491467577
0-20 km,2016,CAR,other,0,293,0.0,0.7167235494880546,0.08873720136518772,0.1945392491467577
0-20 km,2016,CAV,sail/row,14,293,0.04778156996587031,0.7167235494880546,0.08873720136518772,0.1945392491467577
0-20 km,2016,JAM,motorised,0,293,0.0,0.7167235494880546,0.08873720136518772,0.1945392491467577
0-20 km,2016,JAV,sail/row,1,293,0.0034129692832764505,0.7167235494880546,0.08873720136518772,0.1945392491467577
0-20 km,2016,PED,other,15,293,0.051194539249146756,0.7167235494880546,0.08873720136518772,0.1945392491467577
0-20 km,2016,PQM,motorised,1,293,0.0034129692832764505,0.7167235494880546,0.08873720136518772,0.1945392491467577
0-20 km,2016,PQV,sail/row,1,293,0.0034129692832764505,0.7167235494880546,0.08873720136518772,0.1945392491467577
0-20 km,2017,BMG,motorised,1,273,0.003663003663003663,0.7362637362637363,0.08424908424908426,0.1794871794871795
0-20 km,2017,BMM,motorised,25,273,0.09157509157509157,0.7362637362637363,0.08424908424908426,0.1794871794871795
0-20 km,2017,BMP,motorised,18,273,0.06593406593406594,0.7362637362637363,0.08424908424908426,0.1794871794871795
0-20 km,2017,BOM,other,37,273,0.13553113553113552,0.7362637362637363,0.08424908424908426,0.1794871794871795
0-20 km,2017,BOV,sail/row,9,273,0.03296703296703297,0.7362637362637363,0.08424908424908426,0.1794871794871795
0-20 km,2017,CAM,motorised,156,273,0.5714285714285714,0.7362637362637363,0.08424908424908426,0.1794871794871795
0-20 km,2017,CAR,other,0,273,0.0,0.7362637362637363,0.08424908424908426,0.1794871794871795
0-20 km,2017,CAV,sail/row,12,273,0.04395604395604396,0.7362637362637363,0.08424908424908426,0.1794871794871795
0-20 km,2017,JAM,motorised,0,273,0.0,0.7362637362637363,0.08424908424908426,0.1794871794871795
0-20 km,2017,JAV,sail/row,1,273,0.003663003663003663,0.7362637362637363,0.08424908424908426,0.1794871794871795
0-20 km,2017,PED,other,12,273,0.04395604395604396,0.7362637362637363,0.08424908424908426,0.1794871794871795
0-20 km,2017,PQM,motorised,1,273,0.003663003663003663,0.7362637362637363,0.08424908424908426,0.1794871794871795
0-20 km,2017,PQV,sail/row,1,273,0.003663003663003663,0.7362637362637363,0.08424908424908426,0.1794871794871795
0-20 km,2018,BMG,motorised,0,257,0.0,0.7704280155642024,0.08560311284046693,0.14396887159533073
0-20 km,2018,BMM,motorised,35,257,0.13618677042801555,0.7704280155642024,0.08560311284046693,0.14396887159533073
0-20 km,2018,BMP,motorised,8,257,0.0311284046692607,0.7704280155642024,0.08560311284046693,0.14396887159533073
0-20 km,2018,BOM,other,28,257,0.10894941634241245,0.7704280155642024,0.08560311284046693,0.14396887159533073
0-20 km,2018,BOV,sail/row,7,257,0.027237354085603113,0.7704280155642024,0.08560311284046693,0.14396887159533073
0-20 km,2018,CAM,motorised,155,257,0.603112840466926,0.7704280155642024,0.08560311284046693,0.14396887159533073
0-20 km,2018,CAR,other,0,257,0.0,0.7704280155642024,0.08560311284046693,0.14396887159533073
0-20 km,2018,CAV,sail/row,14,257,0.054474708171206226,0.7704280155642024,0.08560311284046693,0.14396887159533073
0-20 km,2018,JAM,motorised,0,257,0.0,0.7704280155642024,0.08560311284046693,0.14396887159533073
0-20 km,2018,JAV,sail/row,0,257,0.0,0.7704280155642024,0.08560311284046693,0.14396887159533073
0-20 km,2018,PED,other,9,257,0.03501945525291829,0.7704280155642024,0.08560311284046693,0.14396887159533073
0-20 km,2018,PQM,motorised,0,257,0.0,0.7704280155642024,0.08560311284046693,0.14396887159533073
0-20 km,2018,PQV,sail/row,1,257,0.0038910505836575876,0.7704280155642024,0.08560311284046693,0.14396887159533073
0-20 km,2019,BMG,motorised,1,344,0.0029069767441860465,0.7790697674418605,0.05813953488372093,0.16279069767441862
0-20 km,2019,BMM,motorised,54,344,0.1569767441860465,0.7790697674418605,0.05813953488372093,0.16279069767441862
0-20 km,2019,BMP,motorised,12,344,0.03488372093023256,0.7790697674418605,0.05813953488372093,0.16279069767441862
0-20 km,2019,BOM,other,40,344,0.11627906976744186,0.7790697674418605,0.05813953488372093,0.16279069767441862
0-20 km,2019,BOV,sail/row,8,344,0.023255813953488372,0.7790697674418605,0.05813953488372093,0.16279069767441862
0-20 km,2019,CAM,motorised,201,344,0.5843023255813954,0.7790697674418605,0.05813953488372093,0.16279069767441862
0-20 km,2019,CAR,other,3,344,0.00872093023255814,0.7790697674418605,0.05813953488372093,0.16279069767441862
0-20 km,2019,CAV,sail/row,11,344,0.03197674418604651,0.7790697674418605,0.05813953488372093,0.16279069767441862
0-20 km,2019,JAM,motorised,0,344,0.0,0.7790697674418605,0.05813953488372093,0.16279069767441862
0-20 km,2019,JAV,sail/row,0,344,0.0,0.7790697674418605,0.05813953488372093,0.16279069767441862
0-20 km,2019,PED,other,13,344,0.0377906976744186,0.7790697674418605,0.05813953488372093,0.16279069767441862
0-20 km,2019,PQM,motorised,0,344,0.0,0.7790697674418605,0.05813953488372093,0.16279069767441862
0-20 km,2019,PQV,sail/row,1,344,0.0029069767441860465,0.7790697674418605,0.05813953488372093,0.16279069767441862
0-20 km,2020,BMG,motorised,3,315,0.009523809523809525,0.7904761904761904,0.04126984126984127,0.16825396825396827
0-20 km,2020,BMM,motorised,50,315,0.15873015873015872,0.7904761904761904,0.04126984126984127,0.16825396825396827
0-20 km,2020,BMP,motorised,11,315,0.03492063492063492,0.7904761904761904,0.04126984126984127,0.16825396825396827
0-20 km,2020,BOM,other,36,315,0.11428571428571428,0.7904761904761904,0.04126984126984127,0.16825396825396827
0-20 km,2020,BOV,sail/row,4,315,0.012698412698412698,0.7904761904761904,0.04126984126984127,0.16825396825396827
0-20 km,2020,CAM,motorised,184,315,0.5841269841269842,0.7904761904761904,0.04126984126984127,0.16825396825396827
0-20 km,2020,CAR,other,3,315,0.009523809523809525,0.7904761904761904,0.04126984126984127,0.16825396825396827
0-20 km,2020,CAV,sail/row,9,315,0.02857142857142857,0.7904761904761904,0.04126984126984127,0.16825396825396827
0-20 km,2020,JAM,motorised,1,315,0.0031746031746031746,0.7904761904761904,0.04126984126984127,0.16825396825396827
0-20 km,2020,JAV,sail/row,0,315,0.0,0.7904761904761904,0.04126984126984127,0.16825396825396827
0-20 km,2020,PED,other,14,315,0.044444444444444446,0.7904761904761904,0.04126984126984127,0.16825396825396827
0-20 km,2020,PQM,motorised,0,315,0.0,0.7904761904761904,0.04126984126984127,0.16825396825396827
0-20 km,2020,PQV,sail/row,0,315,0.0,0.7904761904761904,0.04126984126984127,0.16825396825396827
0-20 km,2021,BMG,motorised,2,317,0.006309148264984227,0.7602523659305994,0.050473186119873815,0.1892744479495268
0-20 km,2021,BMM,motorised,50,317,0.15772870662460567,0.7602523659305994,0.050473186119873815,0.1892744479495268
0-20 km,2021,BMP,motorised,11,317,0.03470031545741325,0.7602523659305994,0.050473186119873815,0.1892744479495268
0-20 km,2021,BOM,other,41,317,0.12933753943217666,0.7602523659305994,0.050473186119873815,0.1892744479495268
0-20 km,2021,BOV,sail/row,6,317,0.01892744479495268,0.7602523659305994,0.050473186119873815,0.1892744479495268
0-20 km,2021,CAM,motorised,177,317,0.5583596214511041,0.7602523659305994,0.050473186119873815,0.1892744479495268
0-20 km,2021,CAR,other,2,317,0.006309148264984227,0.7602523659305994,0.050473186119873815,0.1892744479495268
0-20 km,2021,CAV,sail/row,10,317,0.031545741324921134,0.7602523659305994,0.050473186119873815,0.1892744479495268
0-20 km,2021,JAM,motorised,1,317,0.0031545741324921135,0.7602523659305994,0.050473186119873815,0.1892744479495268
0-20 km,2021,JAV,sail/row,0,317,0.0,0.7602523659305994,0.050473186119873815,0.1892744479495268
0-20 km,2021,PED,other,17,317,0.05362776025236593,0.7602523659305994,0.050473186119873815,0.1892744479495268
0-20 km,2021,PQM,motorised,0,317,0.0,0.7602523659305994,0.050473186119873815,0.1892744479495268
0-20 km,2021,PQV,sail/row,0,317,0.0,0.7602523659305994,0.050473186119873815,0.1892744479495268
0-20 km,2022,BMG,motorised,2,356,0.0056179775280898875,0.7640449438202247,0.0449438202247191,0.19101123595505617
0-20 km,2022,BMM,motorised,60,356,0.16853932584269662,0.7640449438202247,0.0449438202247191,0.19101123595505617
0-20 km,2022,BMP,motorised,15,356,0.042134831460674156,0.7640449438202247,0.0449438202247191,0.19101123595505617
0-20 km,2022,BOM,other,49,356,0.13764044943820225,0.7640449438202247,0.0449438202247191,0.19101123595505617
0-20 km,2022,BOV,sail/row,4,356,0.011235955056179775,0.7640449438202247,0.0449438202247191,0.19101123595505617
0-20 km,2022,CAM,motorised,194,356,0.5449438202247191,0.7640449438202247,0.0449438202247191,0.19101123595505617
0-20 km,2022,CAR,other,3,356,0.008426966292134831,0.7640449438202247,0.0449438202247191,0.19101123595505617
0-20 km,2022,CAV,sail/row,12,356,0.033707865168539325,0.7640449438202247,0.0449438202247191,0.19101123595505617
0-20 km,2022,JAM,motorised,0,356,0.0,0.7640449438202247,0.0449438202247191,0.19101123595505617
0-20 km,2022,JAV,sail/row,0,356,0.0,0.7640449438202247,0.0449438202247191,0.19101123595505617
0-20 km,2022,PED,other,16,356,0.0449438202247191,0.7640449438202247,0.0449438202247191,0.19101123595505617
0-20 km,2022,PQM,motorised,1,356,0.0028089887640449437,0.7640449438202247,0.0449438202247191,0.19101123595505617
0-20 km,2022,PQV,sail/row,0,356,0.0,0.7640449438202247,0.0449438202247191,0.19101123595505617
0-20 km,2023,BMG,motorised,3,334,0.008982035928143712,0.7934131736526946,0.041916167664670656,0.16467065868263472
0-20 km,2023,BMM,motorised,57,334,0.17065868263473055,0.7934131736526946,0.041916167664670656,0.16467065868263472
0-20 km,2023,BMP,motorised,11,334,0.03293413173652695,0.7934131736526946,0.041916167664670656,0.16467065868263472
0-20 km,2023,BOM,other,42,334,0.12574850299401197,0.7934131736526946,0.041916167664670656,0.16467065868263472
0-20 km,2023,BOV,sail/row,2,334,0.005988023952095809,0.7934131736526946,0.041916167664670656,0.16467065868263472
0-20 km,2023,CAM,motorised,191,334,0.5718562874251497,0.7934131736526946,0.041916167664670656,0.16467065868263472
0-20 km,2023,CAR,other,2,334,0.005988023952095809,0.7934131736526946,0.041916167664670656,0.16467065868263472
0-20 km,2023,CAV,sail/row,12,334,0.03592814371257485,0.7934131736526946,0.041916167664670656,0.16467065868263472
0-20 km,2023,JAM,motorised,1,334,0.0029940119760479044,0.7934131736526946,0.041916167664670656,0.16467065868263472
0-20 km,2023,JAV,sail/row,0,334,0.0,0.7934131736526946,0.041916167664670656,0.16467065868263472
0-20 km,2023,PED,other,11,334,0.03293413173652695,0.7934131736526946,0.041916167664670656,0.16467065868263472
0-20 km,2023,PQM,motorised,2,334,0.005988023952095809,0.7934131736526946,0.041916167664670656,0.16467065868263472
0-20 km,2023,PQV,sail/row,0,334,0.0,0.7934131736526946,0.041916167664670656,0.16467065868263472
0-20 km,2024,BMG,motorised,3,301,0.009966777408637873,0.8006644518272426,0.03986710963455149,0.15946843853820597
