year,species,species_share
2024,Albacora,0.8957472585505265
2024,Bonito,0.039517601538042
2024,Outros,0.0207338835216192
2024,Ariaco,0.0055847217476244
2024,Cioba,0.0047977523048194
2024,Lagosta,0.0036587175849702
2024,Garajuba,0.002519682865121
2024,Caico,0.0016809391168684
2024,Serra,0.0011528412013019
2024,Camarao,0.0
2023,Albacora,0.8765915768854065
2023,Bonito,0.0385314392311859
2023,Outros,0.0189881694230425
2023,Lagosta,0.0056257289028494
2023,Cioba,0.004518196884499
2023,Ariaco,0.0039711027549525
2023,Garajuba,0.0033306023106053
2023,Caico,0.0012543133701799
2023,Serra,0.0008993693739375
2023,Camarao,5.337503702893194e-06
2022,Albacora,0.8486288212368673
2022,Bonito,0.0671030406518204
2022,Outros,0.0237739498433427
2022,Ariaco,0.006790674877665
2022,Cioba,0.0062452073962228
2022,Lagosta,0.0048222487489821
2022,Caico,0.0039368522573657
2022,Garajuba,0.0024506510035811
2022,Serra,0.0004479684630202
2022,Camarao,0.0
2021,Albacora,0.8578823840696171
2021,Bonito,0.0624853004586257
2021,Outros,0.0216083258202344
2021,Ariaco,0.0077099094508251
2021,Cioba,0.0059190153267218
2021,Lagosta,0.0053849319901219
2021,Caico,0.0019231899964721
2021,Garajuba,0.0017590451177923
2021,Serra,0.0005659323429109
2021,Camarao,4.899847124769708e-06
2020,Albacora,0.9046542106623952
2020,Bonito,0.0192129952955651
2020,Outros,0.0156348906805828
2020,Lagosta,0.0074801406278325
2020,Ariaco,0.0073256045481157
2020,Cioba,0.0062349364470372
2020,Garajuba,0.0054741434392004
2020,Caico,0.0012957255914719
2020,Serra,0.0009569349551696
2020,Camarao,0.0
2019,Albacora,0.8788158315499472
2019,Bonito,0.0350527636336801
2019,Outros,0.0157971121442451
2019,Ariaco,0.0062480013775121
2019,Cioba,0.0059798784837527
2019,Lagosta,0.0043539222197623
2019,Garajuba,0.0034954369911199
2019,Serra,0.0034954369911199
2019,Caico,0.0016161168917423
2019,Camarao,0.0
2018,Albacora,0.8279833588789139
2018,Bonito,0.1082986643310707
2018,Outros,0.0187431574337639
2018,Lagosta,0.0064812787387781
2018,Serra,0.0042040726954236
2018,Garajuba,0.0034158090650317
2018,Cioba,0.0027589227063717
2018,Ariaco,0.0019268666520691
2018,Caico,0.0019268666520691
2018,Camarao,0.0
2017,Albacora,0.8427321422630336
2017,Lagosta,0.0257843430814785
2017,Serra,0.0194962903816082
2017,Bonito,0.0158365771700435
2017,Outros,0.0139069102039458
2017,Garajuba,0.01121203047543
2017,Ariaco,0.0106464384336427
2017,Caico,0.0021625578068336
2017,Camarao,9.981036031540076e-05
2016,Albacora,0.8496514885023777
2016,Lagosta,0.0320500293140512
2016,Bonito,0.0147221679369422
2016,Ariaco,0.0108787701126962
2016,Cioba,0.010422773760667
2016,Outros,0.0103902025926649
2016,Garajuba,0.0089570712005732
2016,Serra,0.0085987883525503
2016,Caico,0.0039085401602501
2016,Camarao,0.0001302846720083
2015,Albacora,0.8879872414278343
2015,Lagosta,0.0208733993151648
2015,Bonito,0.0177306627890613
2015,Outros,0.0078802945729161
2015,Garajuba,0.0061916600215769
2015,Cioba,0.0055349688071673
2015,Ariaco,0.0052066231999624
2015,Serra,0.0021576997044889
2015,Caico,0.0010319433369294
2015,Camarao,0.0
2014,Albacora,0.8479945819851005
2014,Lagosta,0.0224998118744826
2014,Serra,0.0140717886974189
2014,Bonito,0.0133192866280382
2014,Ariaco,0.0127925351794717
2014,Cioba,0.0122657837309052
2014,Garajuba,0.0091805252464444
2014,Outros,0.0090300248325682
2014,Caico,0.0056437655203551
2014,Camarao,7.525020693806908e-05
2013,Albacora,0.6534918889194391
2013,Lagosta,0.0778801209788287
2013,Ariaco,0.0439235633764091
2013,Serra,0.0282513060214462
2013,Cioba,0.0279076161671707
2013,Outros,0.0170470167720648
2013,Garajuba,0.0163596370635138
2013,Caico,0.0098295298322793
2013,Bonito,0.0074237008523508
2013,Camarao,0.0006186417376959
2012,Albacora,0.4609446419502285
2012,Lagosta,0.1443372270187912
2012,Ariaco,0.0502793296089385
2012,Serra,0.0279329608938547
2012,Caico,0.0269172168613509
2012,Cioba,0.0267140680548501
2012,Garajuba,0.0214321990858303
2012,Bonito,0.0112747587607922
2012,Outros,0.0099542915185373
2012,Camarao,0.000812595226003
2011,Albacora,0.1804611055974453
2011,Outros,0.1692447564096953
2011,Lagosta,0.1546740905863136
2011,Ariaco,0.0764222316652572
2011,Serra,0.0419134287017128
2011,Cioba,0.0336829295494684
2011,Caico,0.030788843226638
2011,Garajuba,0.0283267522280935
2011,Bonito,0.0151777180764631
2011,Camarao,0.0106968253990662
2010,Albacora,0.3635302520614626
2010,Lagosta,0.1211942638302948
2010,Caico,0.082332125873113
2010,Serra,0.062203844466249
2010,Ariaco,0.0484484538497911
2010,Garajuba,0.0285076104073509
2010,Cioba,0.0274014424203353
2010,Camarao,0.0162148039072295
2010,Outros,0.01483883885021
2010,Bonito,0.0100620107265635
2009,Albacora,0.3514770333637868
2009,Camarao,0.1457822722731166
2009,Lagosta,0.0904805749173419
2009,Ariaco,0.0737978498813739
2009,Garajuba,0.0454888258698547
2009,Cioba,0.038317566034351
2009,Caico,0.028020448580943
2009,Serra,0.0270072862623125
2009,Outros,0.0091416276889848
2009,Bonito,0.0070673061501376
2008,Lagosta,0.3098117210289048
2008,Camarao,0.2503845133916733
2008,Cioba,0.0463537523203394
2008,Ariaco,0.0422964730840625
2008,Garajuba,0.0208697958101299
2008,Serra,0.0179262795014585
2008,Caico,0.0078228586581808
2008,Bonito,0.0054627419782551
2008,Outros,0.0038716520816759
2008,Albacora,0.0022275258552108
2007,Lagosta,0.299463327370304
2007,Ariaco,0.0690518783542039
2007,Cioba,0.0556350626118068
2007,Garajuba,0.0520572450805009
2007,Caico,0.01216457960644
2007,Serra,0.00912343470483
2006,Lagosta,0.2864281956864808
2006,Outros,0.1354550236717517
2006,Cioba,0.1320357706470278
2006,Camarao,0.0533929510783798
2006,Ariaco,0.0515518148342977
2006,Garajuba,0.0276170436612309
2006,Caico,0.0099947396107311
2006,Serra,0.0099947396107311
2006,Bonito,0.0013150973172014
2005,Lagosta,0.7129811385166851
2005,Garajuba,0.0546214901425279
2005,Cioba,0.0300418195783903
2005,Ariaco,0.0205684048817956
2005,Serra,0.0091320303832038
2005,Outros,0.0067423401894682
2005,Caico,0.003669881368951
2005,Camarao,0.0033284970555602
2005,Bonito,0.0024750362720832
2005,Albacora,0.00110949901852
2003,Lagosta,1.0
