year_c,year,group,cpue_pred,ci_lo,ci_hi
-13.0,2001.0,inside,0.5432558795118844,0.3785818890794279,0.7796789809114669
-12.767676767676768,2001.2323232323233,inside,0.5599693368589307,0.3925454079623416,0.798923748138642
-12.535353535353535,2001.4646464646464,inside,0.5771966839517136,0.40697726766755626,0.8187364940581267
-12.303030303030303,2001.6969696969697,inside,0.5949499628903125,0.4218864580942921,0.8391349378183507
-12.070707070707071,2001.9292929292928,inside,0.6132412395311371,0.43728166449080375,0.8601372433877813
-11.83838383838384,2002.1616161616162,inside,0.6320825833096032,0.4531712385934055,0.8817620000623011
-11.606060606060606,2002.3939393939395,inside,0.6514860456703762,0.46956317147936105,0.9040281974175252
-11.373737373737374,2002.6262626262626,inside,0.6714636370652362,0.48646506858946714,0.9269551941523159
-11.141414141414142,2002.858585858586,inside,0.6920273024805733,0.5038841273748617,0.9505626802833816
-10.90909090909091,2003.090909090909,inside,0.7131888954588262,0.5218271180073352,0.9748706321802847
-10.676767676767676,2003.3232323232323,inside,0.7349601505807932,0.540300367561155,0.999899259977482
-10.444444444444445,2003.5555555555557,inside,0.7573526543787743,0.5593097480254615,1.0256689469670583
-10.212121212121211,2003.7878787878788,inside,0.7803778146538544,0.5788606684384366,1.052200180663733
-9.97979797979798,2004.020202020202,inside,0.8040468281744352,0.5989580713472159,1.079513475343186
-9.747474747474747,2004.2525252525252,inside,0.8283706467373003,0.6196064336912778,1.1076292859853833
-9.515151515151516,2004.4848484848485,inside,0.8533599415771297,0.6408097720831518,1.1365679137050775
-9.282828282828284,2004.7171717171718,inside,0.8790250661154242,0.6625716523212319,1.1663494029195496
-9.05050505050505,2004.949494949495,inside,0.9053760170453352,0.6848952028188275,1.196993430685425
-8.818181818181818,2005.1818181818182,inside,0.9324223937548597,0.707783131475959,1.2285191888273246
-8.585858585858585,2005.4141414141413,inside,0.9601733560973376,0.7312377453612937,1.2609452596757604
-8.353535353535353,2005.6464646464647,inside,0.9886375805251105,0.7552609724171525,1.2942894864238177
-8.121212121212121,2005.878787878788,inside,1.0178232146096564,0.7798543842569928,1.328568839295406
-7.888888888888889,2006.111111111111,inside,1.047737829979421,0.8050192189984259,1.3637992788859084
-7.656565656565657,2006.3434343434344,inside,1.0783883737149995,0.8307564029711177,1.3999956181832325
-7.424242424242424,2006.5757575757575,inside,1.1097811182502217,0.8570665700623481,1.4371713848989771
-7.191919191919192,2006.8080808080808,inside,1.1419216098371006,0.8839500774165293,1.4753386858324589
-6.959595959595959,2007.040404040404,inside,1.1748146156424701,0.9114070161898296,1.5145080750532458
-6.7272727272727275,2007.2727272727273,inside,1.2084640695544744,0.9394372160765693,1.5546884277209723
-6.494949494949495,2007.5050505050506,inside,1.2428730167878688,0.9680402423677342,1.5958868213668322
-6.262626262626263,2007.7373737373737,inside,1.2780435573882865,0.9972153843695426,1.6381084264430157
-6.03030303030303,2007.969696969697,inside,1.3139767887472646,1.0269616340960033,1.6813564079097791
-5.7979797979797985,2008.20202020202,inside,1.3506727472517885,1.0572776542473068,1.7256318395806896
-5.565656565656566,2008.4343434343434,inside,1.3881303492044632,1.0881617345889147,1.7709336328913492
-5.333333333333333,2008.6666666666667,inside,1.426347331163029,1.1196117359476432,1.817258481701676
-5.101010101010101,2008.8989898989898,inside,1.4653215681815215,1.1516258758601592,1.8646029481072037
-4.8686868686868685,2009.1313131313132,inside,1.5050554474091704,1.1842053227788258,1.9129703850874076
-4.636363636363637,2009.3636363636363,inside,1.5455522150760068,1.2173517620173437,1.9623655670456752
