term,coef,se,p,ci_lo,ci_hi,sig
Intercept,-0.1305,0.1554,0.4009,-0.4352,0.1741,
year_c,0.0653,0.0086,0.0,0.0484,0.0822,***
inside_mpa,0.4346,0.2894,0.1331,-0.1325,1.0017,
year_c:inside_mpa,-0.0037,0.0144,0.7971,-0.0319,0.0245,
Group Var,0.3482,0.2559,0.1735,-0.1532,0.8497,
