local,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,cpue_ton_per_trip,platform_exposure_class,mpa_exposure_class,cpue_per_vessel,cpue_per_fisherman,log_fleet,log_fishermen,log_fleet_c,log_fishermen_c,year_c,log_cpue
MACAU,2002,252.67,3481,213.0,565.79,0.0725854639471416,0-20 km,0-10 km,1.186244131455399,0.4465791194612842,5.3612921657094255,6.338222984621494,0.914356089479984,0.9736473372010073,-12.0,-2.622990598312062
MACAU,2003,377.68,4319,218.0,553.71,0.0874461680944663,0-20 km,0-10 km,1.7324770642201834,0.6820899026566253,5.384495062789089,6.316641083987309,0.9375589865596474,0.9520654365668229,-11.0,-2.43673189672267
MACAU,2004,688.09,6039,235.0,666.29,0.1139410498426892,0-20 km,0-10 km,2.9280425531914895,1.0327184859445588,5.459585514144159,6.5017250112013265,1.0126494379147175,1.13714936378084,-10.0,-2.172074070976468
MACAU,2005,390.76,5826,254.0,553.88,0.0670717473395125,0-20 km,0-10 km,1.5384251968503937,0.7054957752581786,5.537334267018537,6.316948056786513,1.0903981907890952,0.9523724093660269,-9.0,-2.7019923767346383
MACAU,2006,216.66,3454,199.0,504.59,0.0627272727272727,0-20 km,0-10 km,1.0887437185929647,0.42937830714045067,5.293304824724492,6.223746218333217,0.8463687484950508,0.8591705709127302,-8.0,-2.768958954189203
MACAU,2007,369.66,4853,247.0,617.58,0.0761714403461776,0-20 km,0-10 km,1.4965991902834008,0.5985621296026425,5.5093883366279774,6.425808614766523,1.062452260398536,1.0612329673460366,-7.0,-2.574768685150682
MACAU,2008,969.82,11470,307.0,765.92,0.0845527462946817,0-20 km,0-10 km,3.159022801302932,1.2662157927720912,5.726847747587197,6.641077725644199,1.2799116713577554,1.2765020782237126,-6.0,-2.470379722855986
MACAU,2009,2406.311,13518,295.0,685.0,0.1780079153720964,0-20 km,0-10 km,8.156986440677967,3.512862773722628,5.68697535633982,6.529418838262226,1.2400392801103788,1.1648431908417392,-5.0,-1.7259272612961771
MACAU,2010,2081.226,18778,432.0,723.0,0.1108332090744488,0-20 km,0-10 km,4.817652777777778,2.878597510373444,6.068425588244111,6.583409222158765,1.6214895120146693,1.2188335747382784,-4.0,-2.199728828687759
MACAU,2011,1752.678,15919,248.0,584.0,0.1100997550097368,0-20 km,0-10 km,7.0672500000000005,3.00116095890411,5.5134287461649825,6.369900982828227,1.066492669935541,1.0053253354077407,-3.0,-2.2063684604173153
MACAU,2012,1086.1,15622,366.0,482.5,0.0695237485597234,0-20 km,0-10 km,2.967486338797814,2.250984455958549,5.902633333401366,6.178980920779041,1.4556972571719244,0.8144052733585543,-2.0,-2.6660868788842533
MACAU,2013,1470.3,16881,340.0,509.25,0.0870979207392926,0-20 km,0-10 km,4.324411764705882,2.8871870397643593,5.8289456176102075,6.2329390551069155,1.382009541380766,0.8683634076864291,-1.0,-2.440722267517778
MACAU,2014,818.85,7897,170.0,507.0,0.1036912751677852,0-20 km,0-10 km,4.8167647058823535,1.6150887573964499,5.135798437050262,6.2285110035911835,0.6888623608208206,0.863935356170697,0.0,-2.266337302601705
MACAU,2015,752.9,9924,182.0,535.0,0.0758665860540104,0-20 km,0-10 km,4.136813186813186,1.4072897196261682,5.204006687076795,6.282266746896006,0.7570706108473537,0.9176910994755199,1.0,-2.578778927955616
MACAU,2016,1466.0,10102,199.0,521.0,0.1451197782617303,0-20 km,0-10 km,7.366834170854271,2.8138195777351247,5.293304824724492,6.255750041753367,0.8463687484950508,0.8911743943328805,2.0,-1.9301958205814014
MACAU,2017,1533.0,9162,208.0,481.0,0.1673215455140799,0-20 km,0-10 km,7.3701923076923075,3.187110187110187,5.337538079701318,6.175867270105761,0.8906020034718765,0.8112916226852747,3.0,-1.7878378955748733
MACAU,2018,595.3,8221,213.0,558.0,0.0724121153144386,0-20 km,0-10 km,2.7948356807511736,1.0668458781362007,5.3612921657094255,6.324358962381311,0.914356089479984,0.9597833149608244,4.0,-2.6253816549927893
MACAU,2019,1643.916,23069,231.0,661.0,0.0712608262170011,0-20 km,0-10 km,7.1165194805194805,2.4870136157337366,5.442417710521793,6.493753839851686,0.9954816342923518,1.1291781924311994,5.0,-2.6414085244708603
