local,year,pct_active,pct_passive,pct_mixed,platform_exposure_class,mpa_exposure_class
AREIA BRANCA,2003,,1.0,,20-50 km,inside
AREIA BRANCA,2005,0.005718675315807443,0.7826049846363947,0.2116763400477979,20-50 km,inside
AREIA BRANCA,2006,0.18863456985003946,0.6322020520915549,0.17916337805840568,20-50 km,inside
AREIA BRANCA,2007,,0.8443649373881932,0.15563506261180676,20-50 km,inside
AREIA BRANCA,2008,0.23913447004852698,0.7346927952056429,0.026172734745830126,20-50 km,inside
AREIA BRANCA,2009,0.18690132072797735,0.8130986792720227,0.0,20-50 km,inside
AREIA BRANCA,2010,0.09310297331415403,0.9068970266858459,,20-50 km,inside
AREIA BRANCA,2011,0.0553528873629166,0.887063620243729,0.05758349239335448,20-50 km,inside
AREIA BRANCA,2012,0.05424624136529866,0.8869362047947988,0.058817553839902476,20-50 km,inside
AREIA BRANCA,2013,0.02006597031335899,0.9791781198460692,0.0007559098405717428,20-50 km,inside
AREIA BRANCA,2014,0.00850455332279672,0.9878828930533603,0.003612553623842854,20-50 km,inside
AREIA BRANCA,2015,0.011403632268055752,0.9874700830634942,0.0011262846684499507,20-50 km,inside
AREIA BRANCA,2016,0.012149045664777538,0.9810110090547847,0.0068399452804377555,20-50 km,inside
AREIA BRANCA,2017,0.011712641000898414,0.9807007619871561,0.007586597011945562,20-50 km,inside
AREIA BRANCA,2018,0.003283856561145409,0.9967161434388544,0.0,20-50 km,inside
AREIA BRANCA,2019,0.006567780975573758,0.9934322190244261,0.0,20-50 km,inside
AREIA BRANCA,2020,0.01052005943536404,0.9894799405646358,0.0,20-50 km,inside
AREIA BRANCA,2021,0.0073741976578960275,0.992625802342104,0.0,20-50 km,inside
AREIA BRANCA,2022,0.0048750922314746495,0.9951249077685254,0.0,20-50 km,inside
AREIA BRANCA,2023,0.0054687083177719685,0.9945312916822282,0.0,20-50 km,inside
AREIA BRANCA,2024,0.0037971624840346576,0.9962028375159654,0.0,20-50 km,inside
CAICARA DO NORTE,2001,0.08864880864288888,0.6745103842928323,0.23684080706427904,20-50 km,25-50 km
CAICARA DO NORTE,2002,0.06448763250883392,0.48802512760109934,0.4474872398900668,20-50 km,25-50 km
CAICARA DO NORTE,2003,0.0621786584082504,0.5056676388346012,0.43215370275714843,20-50 km,25-50 km
CAICARA DO NORTE,2004,0.035205583515335676,0.41643718545247366,0.5483572310321907,20-50 km,25-50 km
CAICARA DO NORTE,2005,0.05532524083629097,0.6512571207014823,0.2934176384622267,20-50 km,25-50 km
CAICARA DO NORTE,2006,0.08781652080875696,0.4504677512276755,0.4617157279635676,20-50 km,25-50 km
CAICARA DO NORTE,2007,0.018573055326500963,0.3879726705147839,0.5934542741587152,20-50 km,25-50 km
CAICARA DO NORTE,2008,0.01730361675865763,0.5379258948741238,0.4447704883672186,20-50 km,25-50 km
CAICARA DO NORTE,2009,0.09106892328900447,0.9089310767109955,0.0,20-50 km,25-50 km
CAICARA DO NORTE,2010,0.1826735114644421,0.817326488535558,,20-50 km,25-50 km
CAICARA DO NORTE,2011,0.14726204390589093,0.45796340910717265,0.39477454698693637,20-50 km,25-50 km
CAICARA DO NORTE,2012,0.07033997655334116,0.4187297427763603,0.5109302806702987,20-50 km,25-50 km
CAICARA DO NORTE,2013,0.06871863908946273,0.9312201688899767,6.119202056051891e-05,20-50 km,25-50 km
CAICARA DO NORTE,2014,0.04411764705882353,0.3123381428042915,0.643544210136885,20-50 km,25-50 km
CAICARA DO NORTE,2015,0.07805519053876478,0.5675427069645204,0.35440210249671483,20-50 km,25-50 km
CAICARA DO NORTE,2016,0.0584508725794884,0.4812335644274444,0.46031556299306714,20-50 km,25-50 km
CAICARA DO NORTE,2017,0.062321489774934305,0.4360790586084771,0.5015994516165886,20-50 km,25-50 km
CAICARA DO NORTE,2018,0.3272855796418473,0.5749293119698399,0.09778510838831292,20-50 km,25-50 km
CAICARA DO NORTE,2019,0.054961696062711556,0.45831106360235163,0.48672724033493675,20-50 km,25-50 km
CAICARA DO NORTE,2020,0.06795436349079263,0.3657926341072858,0.5662530024019214,20-50 km,25-50 km
CAICARA DO NORTE,2021,0.058687135204285604,0.3801870952266731,0.5611257695690414,20-50 km,25-50 km
CAICARA DO NORTE,2022,0.04116599910992434,0.5105696484201158,0.44826435246995994,20-50 km,25-50 km
