mpa_exposure_class,Agulha,Agulhao,Albacora,Albacorinha,Arabaiana,Ariaco,Arraia,Bagre,Beijupira,Bicuda,Biquara,Bonito,Budiao,Buzios,Caico,Camarao,Camurim,Camurupim,Cangulo,Caranguejo,Carapeba,Carauna,Cavala,Caçao,Cioba,Cururuca,Dentao,Dourado,Espada,Galo Do Alto,Garabebeu,Garajuba,Garoupa,Guaiuba,Lagosta,Marisco,Outros,Ova Voador,Pampo,Pargo,Paru,Peixe Galo,Peixe Voador,Pescada,Pirauna,Polvo,Salema,Saramunete,Sardinha,Serra,Siri,Sirigado,Tainha,Tilapia,Ubarana,Xareu
0-10 km,0.029174470441742296,0.0009497040515075381,0.012525212638807463,0.00019504206726147632,0.0007085593991188609,0.012197817897733424,0.0068032074411123605,0.012344959681402874,0.00015637018822014666,0.0014040452251242342,0.011480463907953,0.00792391632666065,0.004841691649636075,0.07607547688602131,0.04409800344782133,0.008104866015462942,0.003986496583051756,0.0005621044874405424,2.944676095948958e-05,0.015986248862175187,0.017033827242715596,0.0007975602622376039,0.009045719606338348,0.004556179667676739,0.010914902055274804,0.009837807897928904,0.001531543784434881,0.03127957863052238,0.00817499268793544,1.643234428542945e-05,0.0012450787265069895,0.011348006067137012,0.000516902394780183,0.040989013768424655,0.005321779020279182,0.02573637048452818,0.055582785775852545,0.02350942632227821,0.0014284636887323824,0.0010257562273293626,0.0012674595794237445,0.0007127036363476462,0.07328693763900367,0.007950648464344186,0.00010871638979240124,0.00023625110026047634,0.007885366046967032,4.7719527804887125e-05,0.22804410393881058,0.039288368015417276,0.0020150983797222136,0.0023215123036126164,0.11685440970569448,0.00016373187846001908,0.0004561618773635216,0.009920580902563468
10-25 km,0.003473348838148629,0.002149287056917862,0.052057050270696265,0.0002515879230009602,0.00011430057325971278,0.01612198678837367,0.009563343428515711,0.01225685414658109,0.0007895254044576098,0.0046583406216661105,0.015577927318486737,0.011651692071863137,0.0003547000346467015,0.06244568934258218,0.09206917040043457,0.00484823954247683,0.00933891743119395,0.0032900410236555745,9.968755106788e-06,0.00451357084162118,0.01965230999394439,0.0005469914566830498,0.004553140935421536,0.0054048479158511345,0.007930883548122476,0.018656208527779765,0.0008935992077724764,0.02979696085260487,0.0262403435894466,2.3455894368912946e-05,0.016576280550510778,0.012363531554170906,7.402680262828927e-05,0.04440906826455725,0.04555629605814078,0.02508185696656599,0.07007952744441674,0.021206474098934194,0.002156300369334167,8.451158741119334e-05,0.001420488962981368,0.000322518547572553,0.03315802632440951,0.01885459848235203,7.505886198052142e-06,2.2353467333574035e-05,0.006063817812251375,4.925737817471718e-06,0.030779669003084847,0.029120492859005424,0.00043534139948702425,0.0007178441912662118,0.20677360724939128,4.691178873782589e-05,0.0013346403895911465,0.01411510046616948
25-50 km,0.07235753892920926,0.009819651191443698,0.02254914530166862,0.000815050392523777,0.008486027068991025,0.020621755134029675,0.006445888839957558,0.012816904166424328,0.0002710713049138681,0.001269773965820652,0.02442192158357513,0.020623465887171503,0.0012506907614826706,2.828804407747837e-05,0.030158350768235254,0.003969153836665435,0.006688254515381376,0.0005250979407296238,9.406897197193204e-06,2.649197778684482e-06,0.00033434672033288797,4.512616555216787e-05,0.014473950435997114,0.011940208288640283,0.02207317426415355,0.015799860453731517,0.003079512811091647,0.07861376765904164,0.0009604464489162893,7.633281735192577e-05,0.00018252523678563424,0.03152351381475145,0.0007287000154358427,0.02875378202730255,0.06105177309707237,5.8372154445590285e-06,0.048583894002741136,0.05026022104394386,0.00013573770991463034,0.012935983361493335,0.0017987154884122319,0.0008392568759557907,0.26566423836558434,0.010992195108620904,6.416446823288347e-05,0.007391670407610824,0.001992784941280913,2.312435349190692e-05,0.00516448983507078,0.045911217147472344,1.562577672851186e-05,0.027496347036898555,0.005454437796699207,2.649197778684482e-05,0.0013263949556328745,0.001150066147549926
inside,0.0053760304382713744,0.0006420054223605514,0.677043000598539,7.329325916770507e-05,0.002645659258484172,0.024591246047600754,0.007158272957961598,0.00602474747998845,0.00022780050654144037,0.0008112489591368697,0.004357417047460559,0.031178464987827913,0.000967576234768474,0.004116848766928309,0.014117571008444903,0.023125957842901827,0.00693485070121531,0.0015093210095670443,0.00015221842395853635,0.005351328539596683,0.009212596974732907,0.000293134854259816,0.005726746489570648,0.003493058475861839,0.010637674858154252,0.007397880314483574,0.0015143971489855533,0.00554969040725385,0.004210459311240385,9.333478245482238e-05,4.509766988612554e-05,0.010911321834086513,0.0005217499189026802,0.010248059415021875,0.03983640941159776,0.0001925666261647449,0.023128047269281783,9.227415992692666e-05,0.0005694058103260902,0.0008374357293506147,0.002894205541671252,0.001265704499889623,0.0006041942292410695,0.005410521882878543,1.518811459946655e-05,0.0007905965172736846,0.002881847167976212,3.954000783995202e-05,0.0016034194402419514,0.011463904049875118,0.0017249540544684652,0.0035615959036144596,0.012036667791124528,0.0034940724309985073,9.821364608314264e-05,0.001199173769959781
