term,coef,se,p,ci_lo,ci_hi,sig
Intercept,-0.0144,0.1333,0.9138,-0.2757,0.2469,
year_c,0.042,0.0088,0.0,0.0247,0.0593,***
active_dm,1.6115,0.2662,0.0,1.0899,2.1332,***
motorised_dm,0.1572,0.2911,0.5891,-0.4133,0.7277,
Group Var,0.4636,0.3041,0.1275,-0.1325,1.0597,
