mpa_exposure_class,year,gear_cod,gear_type,gear_group,gear_production_ton,total_production_ton,gear_share,share_active,share_passive,share_mixed
10-25 km,2010,LRE,linha e rede de espera,passive,0.0,354.647,0.0,,,
10-25 km,2010,MEL,mergulho livre,active,4.263999999999999,354.647,0.012023223092257933,,,
10-25 km,2010,PUC,puçá,active,5.467,354.647,0.015415328481560537,,,
10-25 km,2010,RAG,rede de agulha,passive,3.501,354.647,0.009871788003282136,,,
10-25 km,2010,RCA,rede caçoeira,passive,10.867,354.647,0.030641736712844043,,,
10-25 km,2010,RES,rede de espera,passive,67.37,354.647,0.18996354121140177,,,
10-25 km,2010,RTP,rede de tapagem,passive,0.0,354.647,0.0,,,
10-25 km,2010,SRD,sardinheira,active,13.355,354.647,0.037657163320146514,,,
10-25 km,2010,TNR,tainheira,active,71.245,354.647,0.2008898989699617,,,
10-25 km,2010,TRF,tarrafa,active,8.573,354.647,0.02417333291977657,,,
10-25 km,2010,TRM,tresmalho,passive,34.41,354.647,0.09702605689601208,,,
10-25 km,2011,APA,arrasto de praia,active,0.453,341.033,0.0013283172009746858,,,
10-25 km,2011,APO,arrasto de porta,active,2.811,341.033,0.00824260408816742,,,
10-25 km,2011,CMN,coleta manual,active,33.525999999999996,341.033,0.09830720194233401,,,
10-25 km,2011,CMP,compressor,active,0.21,341.033,0.0006157761858823046,,,
10-25 km,2011,CPL,covo peixe e lagosta,passive,0.687,341.033,0.0020144678081006825,,,
10-25 km,2011,CVL,covo lagosta,passive,18.725,341.033,0.05490670990783883,,,
10-25 km,2011,LIJ,linha e jereré,mixed,25.936,341.033,0.07605129122401644,,,
10-25 km,2011,LIN,linha,passive,27.723,341.033,0.08129125333911967,,,
10-25 km,2011,LML,linha e mergulho livre,mixed,0.62,341.033,0.0018180058821287088,,,
10-25 km,2011,LRE,linha e rede de espera,mixed,0.233,341.033,0.0006832183395741762,,,
10-25 km,2011,MEL,mergulho livre,active,8.790999999999999,341.033,0.025777564048053994,,,
10-25 km,2011,PUC,puçá,active,8.52,341.033,0.024982919541510645,,,
10-25 km,2011,RCA,rede caçoeira,passive,4.037,341.033,0.01183756410669935,,,
10-25 km,2011,RES,rede de espera,passive,50.157,341.033,0.14707374359666073,,,
10-25 km,2011,SRD,sardinheira,passive,18.782,341.033,0.055073849158292595,,,
10-25 km,2011,TNR,traineira,active,77.544,341.033,0.2273797550383687,,,
10-25 km,2011,TRF,tarrafa,active,8.283,341.033,0.024287972131729185,,,
10-25 km,2011,TRM,tremalho,passive,53.995,341.033,0.1583277864605478,,,
10-25 km,2012,APA,arrasto de praia,active,0.1,316.7,0.0003157562361856647,,,
10-25 km,2012,APO,arrasto de porta,active,0.0,316.7,0.0,,,
10-25 km,2012,CMN,coleta manual,active,17.4,316.7,0.05494158509630565,,,
10-25 km,2012,CMP,compressor,active,0.5,316.7,0.0015787811809283233,,,
10-25 km,2012,CPL,covo peixe e lagosta,passive,1.0,316.7,0.0031575623618566467,,,
10-25 km,2012,CUR,curral,passive,0.0,316.7,0.0,,,
10-25 km,2012,CVL,covo lagosta,passive,20.4,316.7,0.06441427218187559,,,
10-25 km,2012,CVP,covo peixe,passive,0.0,316.7,0.0,,,
10-25 km,2012,JER,jereré,active,0.0,316.7,0.0,,,
10-25 km,2012,LCL,linha e covo lagosta,mixed,0.0,316.7,0.0,,,
10-25 km,2012,LCP,linha e covo peixe,mixed,0.0,316.7,0.0,,,
10-25 km,2012,LES,linha e espinhel,mixed,0.0,316.7,0.0,,,
10-25 km,2012,LIJ,linha e jereré,mixed,34.7,316.7,0.10956741395642565,,,
10-25 km,2012,LIN,linha,passive,27.9,316.7,0.08809598989580045,,,
10-25 km,2012,LML,linha e mergulho livre,mixed,1.2,316.7,0.003789074834227976,,,
10-25 km,2012,LRE,linha e rede de espera,mixed,0.2,316.7,0.0006315124723713294,,,
10-25 km,2012,MEL,mergulho livre,active,0.9,316.7,0.002841806125670982,,,
10-25 km,2012,PUC,puçá,active,6.6,316.7,0.02083991158825387,,,
10-25 km,2012,RAG,rede agulha,passive,0.0,316.7,0.0,,,
10-25 km,2012,RCA,rede caçoeira,passive,0.0,316.7,0.0,,,
10-25 km,2012,RES,rede de espera,passive,50.3,316.7,0.15882538680138933,,,
10-25 km,2012,RTP,rede de tapagem,passive,0.0,316.7,0.0,,,
10-25 km,2012,SRD,sardinheira,passive,0.0,316.7,0.0,,,
10-25 km,2012,TNR,traineira,active,77.89999999999998,316.7,0.2459741079886327,,,
10-25 km,2012,TRF,tarrafa,active,7.199999999999999,316.7,0.022734449005367856,,,
10-25 km,2012,TRM,tremalho,passive,70.4,316.7,0.22229239027470796,,,
10-25 km,2013,APA,arrasto de praia,active,3.4,294.1,0.011560693641618497,,,
10-25 km,2013,APO,arrasto de porta,active,0.2,294.1,0.0006800408024481469,,,
10-25 km,2013,CMN,coleta manual,active,5.7,294.1,0.019381162869772185,,,
10-25 km,2013,CMP,compressor,active,1.9,294.1,0.006460387623257395,,,
10-25 km,2013,CPL,covo peixe e lagosta,passive,0.0,294.1,0.0,,,
10-25 km,2013,CUR,curral,passive,0.0,294.1,0.0,,,
10-25 km,2013,CVL,covo lagosta,passive,22.0,294.1,0.07480448826929616,,,
10-25 km,2013,CVP,covo peixe,passive,3.5,294.1,0.01190071404284257,,,
10-25 km,2013,ESP,espinhel,passive,0.5,294.1,0.001700102006120367,,,
10-25 km,2013,JER,jereré,active,0.0,294.1,0.0,,,
10-25 km,2013,LCL,linha e covo lagosta,passive,0.0,294.1,0.0,,,
10-25 km,2013,LCP,linha e covo peixe,passive,0.0,294.1,0.0,,,
10-25 km,2013,LES,linha e espinhel,passive,0.2,294.1,0.0006800408024481469,,,
10-25 km,2013,LIJ,linha e jereré,passive,33.3,294.1,0.11322679360761644,,,
10-25 km,2013,LIN,linha,passive,20.1,294.1,0.06834410064603876,,,
10-25 km,2013,LML,linha e mergulho livre,mixed,2.4,294.1,0.008160489629377762,,,
10-25 km,2013,LRE,linha e rede de espera,passive,0.0,294.1,0.0,,,
10-25 km,2013,MEL,mergulho livre,active,0.7,294.1,0.002380142808568514,,,
10-25 km,2013,PUC,puçá,active,5.2,294.1,0.01768106086365182,,,
10-25 km,2013,RAG,rede agulha,passive,0.0,294.1,0.0,,,
10-25 km,2013,RCA,rede caçoeira,passive,1.7,294.1,0.005780346820809248,,,
10-25 km,2013,RES,rede de espera,passive,64.2,294.1,0.21829309758585513,,,
10-25 km,2013,RTP,rede de tapagem,passive,0.0,294.1,0.0,,,
10-25 km,2013,SRD,sardinheira,active,1.8,294.1,0.006120367222033322,,,
10-25 km,2013,TNR,tainheira,active,56.3,294.1,0.19143148588915332,,,
10-25 km,2013,TRF,tarrafa,active,7.3,294.1,0.02482148928935736,,,
10-25 km,2013,TRM,tresmalho,passive,63.7,294.1,0.21659299557973477,,,
10-25 km,2014,APA,arrasto de praia,active,0.0,130.3,0.0,,,
10-25 km,2014,APO,arrasto de porta,active,0.0,130.3,0.0,,,
10-25 km,2014,CMN,coleta manual,active,1.7000000000000002,130.3,0.013046815042210284,,,
10-25 km,2014,CMP,compressor,active,0.5,130.3,0.003837298541826554,,,
10-25 km,2014,CPL,covo peixe e lagosta,passive,0.1,130.3,0.0007674597083653108,,,
10-25 km,2014,CUR,curral,passive,0.0,130.3,0.0,,,
10-25 km,2014,CVL,covo lagosta,passive,4.4,130.3,0.03376822716807368,,,
10-25 km,2014,CVP,covo peixe,passive,0.7,130.3,0.005372217958557175,,,
10-25 km,2014,JER,jereré,active,0.0,130.3,0.0,,,
10-25 km,2014,LCP,linha e covo peixe,mixed,0.0,130.3,0.0,,,
10-25 km,2014,LES,linha e espinhel,mixed,0.7,130.3,0.005372217958557175,,,
10-25 km,2014,LIJ,linha e jereré,mixed,31.7,130.3,0.2432847275518035,,,
10-25 km,2014,LIN,linha,passive,4.4,130.3,0.03376822716807368,,,
10-25 km,2014,LML,linha e mergulho livre,mixed,0.6,130.3,0.004604758250191864,,,
10-25 km,2014,LRE,linha e rede de espera,mixed,0.6,130.3,0.004604758250191864,,,
10-25 km,2014,MEL,mergulho livre,active,0.4,130.3,0.0030698388334612432,,,
10-25 km,2014,PUC,puçá,active,2.9,130.3,0.022256331542594012,,,
10-25 km,2014,RAG,rede agulha,passive,0.0,130.3,0.0,,,
10-25 km,2014,RCA,rede caçoeira,passive,0.0,130.3,0.0,,,
10-25 km,2014,RES,rede de espera,passive,31.5,130.3,0.24174980813507288,,,
10-25 km,2014,RTP,rede de tapagem,passive,0.0,130.3,0.0,,,
10-25 km,2014,SRD,sardinheira,passive,0.2,130.3,0.0015349194167306216,,,
10-25 km,2014,TNR,traineira,active,30.2,130.3,0.23177283192632384,,,
10-25 km,2014,TRF,tarrafa,active,4.1,130.3,0.03146584804297774,,,
10-25 km,2014,TRM,tremalho,passive,15.6,130.3,0.11972371450498848,,,
10-25 km,2015,APA,arrasto de praia,active,0.4,123.4,0.0032414910858995136,,,
10-25 km,2015,APO,arrasto de porta,active,0.0,123.4,0.0,,,
10-25 km,2015,CMN,coleta manual,active,2.5,123.4,0.02025931928687196,,,
10-25 km,2015,CMP,compressor,active,0.0,123.4,0.0,,,
10-25 km,2015,COQ,coqueiro,active,0.0,123.4,0.0,,,
10-25 km,2015,CPL,covo peixe e lagosta,passive,0.0,123.4,0.0,,,
10-25 km,2015,CUR,curral,passive,0.0,123.4,0.0,,,
10-25 km,2015,CVL,covo lagosta,passive,11.3,123.4,0.09157212317666126,,,
10-25 km,2015,CVP,covo peixe,passive,0.0,123.4,0.0,,,
10-25 km,2015,JER,jereré,active,0.0,123.4,0.0,,,
10-25 km,2015,LCL,linha e covo lagosta,mixed,0.0,123.4,0.0,,,
10-25 km,2015,LCP,linha e covo peixe,mixed,0.0,123.4,0.0,,,
10-25 km,2015,LES,linha e espinhel,mixed,0.7,123.4,0.005672609400324148,,,
10-25 km,2015,LIJ,linha e jereré,mixed,6.7,123.4,0.05429497568881685,,,
10-25 km,2015,LIN,linha,passive,9.5,123.4,0.07698541329011345,,,
10-25 km,2015,LRE,linha e rede de espera,mixed,0.0,123.4,0.0,,,
10-25 km,2015,MEL,mergulho livre,active,0.9,123.4,0.007293354943273906,,,
10-25 km,2015,PUC,puçá,active,1.8,123.4,0.014586709886547812,,,
10-25 km,2015,RAG,rede agulha,passive,0.0,123.4,0.0,,,
10-25 km,2015,RCA,rede caçoeira,passive,0.0,123.4,0.0,,,
10-25 km,2015,RES,rede de espera,passive,35.0,123.4,0.28363047001620745,,,
10-25 km,2015,RTP,rede de tapagem,passive,0.0,123.4,0.0,,,
10-25 km,2015,SRD,sardinheira,passive,4.4,123.4,0.03565640194489465,,,
10-25 km,2015,TNR,traineira,active,29.7,123.4,0.24068071312803888,,,
10-25 km,2015,TRF,tarrafa,active,3.4,123.4,0.027552674230145863,,,
10-25 km,2015,TRM,tremalho,passive,17.1,123.4,0.13857374392220423,,,
10-25 km,2016,APA,arrasto de praia,active,1.3,278.1,0.004674577490111471,,,
10-25 km,2016,APO,arrasto de porta,active,0.0,278.1,0.0,,,
10-25 km,2016,CMN,coleta manual,active,6.6000000000000005,278.1,0.023732470334412083,,,
10-25 km,2016,CMP,compressor,active,1.0,278.1,0.0035958288385472847,,,
10-25 km,2016,COQ,coqueiro,active,0.0,278.1,0.0,,,
10-25 km,2016,CPL,covo peixe e lagosta,passive,0.6000000000000001,278.1,0.0021574973031283713,,,
10-25 km,2016,CUR,curral,passive,0.0,278.1,0.0,,,
10-25 km,2016,CVL,covo lagosta,passive,19.0,278.1,0.06832074793239841,,,
10-25 km,2016,CVP,covo peixe,passive,1.3,278.1,0.004674577490111471,,,
10-25 km,2016,JER,jereré,active,0.0,278.1,0.0,,,
10-25 km,2016,LCL,linha e covo lagosta,mixed,0.0,278.1,0.0,,,
10-25 km,2016,LCP,linha e covo peixe,mixed,0.0,278.1,0.0,,,
10-25 km,2016,LES,linha e espinhel,mixed,1.6,278.1,0.005753326141675656,,,
10-25 km,2016,LIJ,linha e jereré,mixed,28.8,278.1,0.1035598705501618,,,
10-25 km,2016,LIN,linha,passive,15.1,278.1,0.054297015462064,,,
10-25 km,2016,LML,linha e mergulho livre,mixed,1.4,278.1,0.0050341603739661985,,,
10-25 km,2016,LRE,linha e rede de espera,mixed,0.2,278.1,0.000719165767709457,,,
10-25 km,2016,MEL,mergulho livre,active,1.1,278.1,0.003955411722402014,,,
10-25 km,2016,PUC,puçá,active,4.7,278.1,0.01690039554117224,,,
10-25 km,2016,RAG,rede agulha,passive,0.0,278.1,0.0,,,
10-25 km,2016,RCA,rede caçoeira,passive,0.4,278.1,0.001438331535418914,,,
10-25 km,2016,RES,rede de espera,passive,71.8,278.1,0.25818051060769504,,,
10-25 km,2016,RTP,rede de tapagem,passive,0.0,278.1,0.0,,,
10-25 km,2016,SRD,sardinheira,passive,3.2,278.1,0.011506652283351312,,,
10-25 km,2016,TNR,traineira,active,60.2,278.1,0.21646889608054656,,,
10-25 km,2016,TRF,tarrafa,active,7.2,278.1,0.02588996763754045,,,
10-25 km,2016,TRM,tremalho,passive,52.6,278.1,0.1891405969075872,,,
10-25 km,2017,APA,arrasto de praia,active,2.4,278.9,0.008605234851201148,,,
10-25 km,2017,APO,arrasto de porta,active,0.1,278.9,0.00035855145213338117,,,
10-25 km,2017,CMN,coleta manual,active,3.9,278.9,0.013983506633201866,,,
10-25 km,2017,CMP,compressor,active,1.1,278.9,0.003944065973467193,,,
10-25 km,2017,COQ,coqueiro,active,0.0,278.9,0.0,,,
10-25 km,2017,CPL,covo peixe e lagosta,passive,0.2,278.9,0.0007171029042667623,,,
10-25 km,2017,CUR,curral,passive,0.0,278.9,0.0,,,
10-25 km,2017,CVL,covo lagosta,passive,18.5,278.9,0.06633201864467551,,,
10-25 km,2017,CVP,covo peixe,passive,1.7,278.9,0.00609537468626748,,,
10-25 km,2017,JER,jereré,active,0.0,278.9,0.0,,,
10-25 km,2017,LCL,linha e covo lagosta,mixed,0.0,278.9,0.0,,,
10-25 km,2017,LCP,linha e covo peixe,mixed,0.0,278.9,0.0,,,
10-25 km,2017,LES,linha e espinhel,mixed,1.0,278.9,0.0035855145213338118,,,
10-25 km,2017,LIJ,linha e jereré,mixed,39.5,278.9,0.14162782359268555,,,
10-25 km,2017,LIN,linha,passive,16.1,278.9,0.05772678379347437,,,
10-25 km,2017,LML,linha e mergulho livre,mixed,1.8,278.9,0.0064539261384008615,,,
10-25 km,2017,LRE,linha e rede de espera,mixed,0.5,278.9,0.0017927572606669059,,,
10-25 km,2017,MEL,mergulho livre,active,1.0,278.9,0.0035855145213338118,,,
10-25 km,2017,PUC,puçá,active,5.2,278.9,0.01864467551093582,,,
10-25 km,2017,RAG,rede agulha,passive,0.0,278.9,0.0,,,
10-25 km,2017,RCA,rede caçoeira,passive,1.2,278.9,0.004302617425600574,,,
10-25 km,2017,RES,rede de espera,passive,66.7,278.9,0.23915381857296525,,,
10-25 km,2017,RTP,rede de tapagem,passive,0.0,278.9,0.0,,,
10-25 km,2017,SRD,sardinheira,passive,3.9,278.9,0.013983506633201866,,,
10-25 km,2017,TNR,traineira,active,60.599999999999994,278.9,0.21728217999282898,,,
10-25 km,2017,TRF,tarrafa,active,7.7,278.9,0.02760846181427035,,,
10-25 km,2017,TRM,tremalho,passive,45.8,278.9,0.16421656507708857,,,
10-25 km,2018,APA,arrasto de praia,active,0.0,93.6,0.0,,,
10-25 km,2018,APO,arrasto de porta,active,0.0,93.6,0.0,,,
10-25 km,2018,CMN,coleta manual,active,16.1,93.6,0.17200854700854704,,,
10-25 km,2018,CMP,compressor,active,0.0,93.6,0.0,,,
10-25 km,2018,COQ,coqueiro,active,2.7,93.6,0.02884615384615385,,,
10-25 km,2018,CPL,covo peixe e lagosta,passive,0.0,93.6,0.0,,,
10-25 km,2018,CUR,curral,passive,0.0,93.6,0.0,,,
10-25 km,2018,CVL,covo lagosta,passive,8.0,93.6,0.08547008547008547,,,
10-25 km,2018,CVP,covo peixe,passive,0.2,93.6,0.002136752136752137,,,
10-25 km,2018,JER,jereré,active,0.0,93.6,0.0,,,
10-25 km,2018,LES,linha e espinhel,mixed,0.0,93.6,0.0,,,
10-25 km,2018,LIJ,linha e jereré,mixed,0.4,93.6,0.004273504273504274,,,
10-25 km,2018,LIN,linha,passive,1.3,93.6,0.01388888888888889,,,
10-25 km,2018,LRE,linha e rede de espera,mixed,0.8,93.6,0.008547008547008548,,,
10-25 km,2018,MEL,mergulho livre,active,0.1,93.6,0.0010683760683760685,,,
10-25 km,2018,PUC,puçá,active,0.0,93.6,0.0,,,
10-25 km,2018,RAG,rede agulha,passive,0.6,93.6,0.00641025641025641,,,
10-25 km,2018,RCA,rede caçoeira,passive,0.0,93.6,0.0,,,
10-25 km,2018,RES,rede de espera,passive,22.3,93.6,0.23824786324786326,,,
10-25 km,2018,RTP,rede de tapagem,passive,0.0,93.6,0.0,,,
10-25 km,2018,SRD,sardinheira,passive,1.8,93.6,0.019230769230769232,,,
10-25 km,2018,TNR,traineira,active,20.3,93.6,0.21688034188034191,,,
10-25 km,2018,TRF,tarrafa,active,0.3,93.6,0.003205128205128205,,,
10-25 km,2018,TRM,tremalho,passive,18.7,93.6,0.1997863247863248,,,
10-25 km,2019,APA,arrasto de praia,active,0.0,256.5,0.0,,,
10-25 km,2019,APO,arrasto de porta,active,0.0,256.5,0.0,,,
10-25 km,2019,CMN,coleta manual,active,47.3,256.5,0.1844054580896686,,,
10-25 km,2019,CMP,compressor,active,0.0,256.5,0.0,,,
10-25 km,2019,COQ,coqueiro,active,0.0,256.5,0.0,,,
10-25 km,2019,CPL,covo peixe e lagosta,passive,0.3,256.5,0.0011695906432748538,,,
10-25 km,2019,CUR,curral,passive,0.0,256.5,0.0,,,
10-25 km,2019,CVL,covo lagosta,passive,9.7,256.5,0.0378167641325536,,,
10-25 km,2019,CVP,covo peixe,passive,2.5,256.5,0.009746588693957114,,,
10-25 km,2019,JER,jereré,active,0.0,256.5,0.0,,,
10-25 km,2019,LCL,linha e covo lagosta,mixed,0.0,256.5,0.0,,,
10-25 km,2019,LCP,linha e covo peixe,mixed,0.0,256.5,0.0,,,
10-25 km,2019,LES,linha e espinhel,mixed,0.5,256.5,0.001949317738791423,,,
10-25 km,2019,LIJ,linha e jereré,mixed,26.0,256.5,0.10136452241715399,,,
10-25 km,2019,LIN,linha,passive,3.7,256.5,0.014424951267056531,,,
10-25 km,2019,LML,linha e mergulho livre,mixed,1.0,256.5,0.003898635477582846,,,
10-25 km,2019,LRE,linha e rede de espera,mixed,0.3,256.5,0.0011695906432748538,,,
10-25 km,2019,MEL,mergulho livre,active,2.1,256.5,0.008187134502923977,,,
10-25 km,2019,PUC,puçá,active,0.0,256.5,0.0,,,
10-25 km,2019,RAG,rede agulha,passive,0.0,256.5,0.0,,,
10-25 km,2019,RCA,rede caçoeira,passive,0.0,256.5,0.0,,,
10-25 km,2019,RES,rede de espera,passive,38.3,256.5,0.149317738791423,,,
10-25 km,2019,RTP,rede de tapagem,passive,0.0,256.5,0.0,,,
10-25 km,2019,SRD,sardinheira,passive,1.3,256.5,0.0050682261208577,,,
10-25 km,2019,TNR,traineira,active,39.900000000000006,256.5,0.15555555555555559,,,
10-25 km,2019,TRF,tarrafa,active,0.4,256.5,0.0015594541910331386,,,
10-25 km,2019,TRM,tremalho,passive,83.2,256.5,0.3243664717348928,,,
10-25 km,2020,APA,arrasto de praia,active,0.6,355.7,0.0016868147315153219,,,
10-25 km,2020,APO,arrasto de porta,active,0.0,355.7,0.0,,,
10-25 km,2020,CMN,coleta manual,active,48.9,355.7,0.13747540061849872,,,
10-25 km,2020,CMP,compressor,active,0.0,355.7,0.0,,,
10-25 km,2020,COQ,coqueiro,active,0.0,355.7,0.0,,,
10-25 km,2020,CPL,covo peixe e lagosta,passive,0.0,355.7,0.0,,,
10-25 km,2020,CUR,curral,passive,0.0,355.7,0.0,,,
10-25 km,2020,CVL,covo lagosta,passive,1.5,355.7,0.004217036828788305,,,
10-25 km,2020,CVP,covo peixe,passive,5.8,355.7,0.016305875737981444,,,
10-25 km,2020,JER,jereré,active,0.0,355.7,0.0,,,
10-25 km,2020,LCL,linha e covo lagosta,mixed,0.0,355.7,0.0,,,
10-25 km,2020,LCP,linha e covo peixe,mixed,0.0,355.7,0.0,,,
10-25 km,2020,LES,linha e espinhel,mixed,0.7,355.7,0.0019679505201012086,,,
10-25 km,2020,LIJ,linha e jereré,mixed,19.1,355.7,0.05369693561990442,,,
10-25 km,2020,LIN,linha,passive,4.0,355.7,0.011245431543435479,,,
10-25 km,2020,LML,linha e mergulho livre,mixed,2.1,355.7,0.005903851560303627,,,
10-25 km,2020,LRE,linha e rede de espera,mixed,0.0,355.7,0.0,,,
10-25 km,2020,MEL,mergulho livre,active,0.0,355.7,0.0,,,
10-25 km,2020,PUC,puçá,active,0.0,355.7,0.0,,,
10-25 km,2020,RAG,rede agulha,passive,0.1,355.7,0.00028113578858588703,,,
10-25 km,2020,RCA,rede caçoeira,passive,0.0,355.7,0.0,,,
10-25 km,2020,RES,rede de espera,passive,23.9,355.7,0.06719145347202699,,,
10-25 km,2020,RTP,rede de tapagem,passive,0.0,355.7,0.0,,,
10-25 km,2020,SRD,sardinheira,passive,0.4,355.7,0.0011245431543435481,,,
10-25 km,2020,TNR,traineira,active,202.89999999999998,355.7,0.5704245150407646,,,
10-25 km,2020,TRF,tarrafa,active,0.0,355.7,0.0,,,
10-25 km,2020,TRM,tremalho,passive,45.7,355.7,0.12847905538375037,,,
10-25 km,2021,APA,arrasto de praia,active,0.0,222.7,0.0,,,
10-25 km,2021,APO,arrasto de porta,active,0.0,222.7,0.0,,,
10-25 km,2021,CMN,coleta manual,active,37.199999999999996,222.7,0.16704086214638525,,,
10-25 km,2021,CMP,compressor,active,0.0,222.7,0.0,,,
10-25 km,2021,COQ,coqueiro,active,0.0,222.7,0.0,,,
10-25 km,2021,CPL,covo peixe e lagosta,passive,0.0,222.7,0.0,,,
10-25 km,2021,CUR,curral,passive,0.0,222.7,0.0,,,
10-25 km,2021,CVL,covo lagosta,passive,4.6,222.7,0.020655590480466994,,,
10-25 km,2021,CVP,covo peixe,passive,1.5,222.7,0.0067355186349348905,,,
10-25 km,2021,JER,jereré,active,0.0,222.7,0.0,,,
10-25 km,2021,LCL,linha e covo lagosta,mixed,0.0,222.7,0.0,,,
10-25 km,2021,LCP,linha e covo peixe,mixed,0.0,222.7,0.0,,,
10-25 km,2021,LES,linha e espinhel,mixed,0.2,222.7,0.0008980691513246521,,,
10-25 km,2021,LIJ,linha e jereré,mixed,32.8,222.7,0.14728334081724292,,,
10-25 km,2021,LIN,linha,passive,10.7,222.7,0.04804669959586888,,,
10-25 km,2021,LML,linha e mergulho livre,mixed,3.6,222.7,0.016165244723843737,,,
10-25 km,2021,LRE,linha e rede de espera,mixed,0.5,222.7,0.00224517287831163,,,
10-25 km,2021,MEL,mergulho livre,active,0.8,222.7,0.0035922766052986083,,,
10-25 km,2021,PUC,puçá,active,0.0,222.7,0.0,,,
10-25 km,2021,RAG,rede agulha,passive,0.0,222.7,0.0,,,
10-25 km,2021,RCA,rede caçoeira,passive,1.1,222.7,0.004939380332285586,,,
10-25 km,2021,RES,rede de espera,passive,24.700000000000003,222.7,0.11091154018859455,,,
10-25 km,2021,RTP,rede de tapagem,passive,0.0,222.7,0.0,,,
10-25 km,2021,SRD,sardinheira,passive,0.2,222.7,0.0008980691513246521,,,
10-25 km,2021,TNR,traineira,active,71.2,222.7,0.3197126178715761,,,
10-25 km,2021,TRF,tarrafa,active,0.0,222.7,0.0,,,
10-25 km,2021,TRM,tremalho,passive,33.6,222.7,0.15087561742254155,,,
10-25 km,2022,APO,arrasto de porta,active,0.0,227.5,0.0,,,
10-25 km,2022,CMN,coleta manual,active,50.7,227.5,0.22285714285714286,,,
10-25 km,2022,CMP,compressor,active,0.0,227.5,0.0,,,
10-25 km,2022,COQ,coqueiro,active,0.0,227.5,0.0,,,
10-25 km,2022,CPL,covo peixe e lagosta,passive,0.7,227.5,0.003076923076923077,,,
10-25 km,2022,CUR,curral,passive,0.0,227.5,0.0,,,
10-25 km,2022,CVL,covo lagosta,passive,2.2,227.5,0.00967032967032967,,,
10-25 km,2022,CVP,covo peixe,passive,1.1,227.5,0.004835164835164835,,,
10-25 km,2022,LES,linha e espinhel,mixed,0.0,227.5,0.0,,,
10-25 km,2022,LIJ,linha e jereré,mixed,18.5,227.5,0.08131868131868132,,,
10-25 km,2022,LIN,linha,passive,12.9,227.5,0.056703296703296706,,,
10-25 km,2022,LML,linha e mergulho livre,mixed,4.2,227.5,0.018461538461538463,,,
10-25 km,2022,LRE,linha e rede de espera,mixed,0.6,227.5,0.0026373626373626374,,,
10-25 km,2022,MEL,mergulho livre,active,0.2,227.5,0.0008791208791208791,,,
10-25 km,2022,PUC,puçá,active,0.0,227.5,0.0,,,
10-25 km,2022,RAG,rede agulha,passive,0.1,227.5,0.00043956043956043956,,,
10-25 km,2022,RCA,rede caçoeira,passive,0.0,227.5,0.0,,,
10-25 km,2022,RES,rede de espera,passive,24.2,227.5,0.10637362637362636,,,
10-25 km,2022,RTP,rede de tapagem,passive,0.0,227.5,0.0,,,
10-25 km,2022,SRD,sardinheira,passive,0.0,227.5,0.0,,,
10-25 km,2022,TNR,traineira,active,73.9,227.5,0.32483516483516484,,,
10-25 km,2022,TRF,tarrafa,active,0.0,227.5,0.0,,,
10-25 km,2022,TRM,tremalho,passive,38.2,227.5,0.16791208791208792,,,
10-25 km,2023,APO,arrasto de porta,active,0.0,266.6,0.0,,,
10-25 km,2023,CMN,coleta manual,active,87.8,266.6,0.32933233308327076,,,
10-25 km,2023,CMP,compressor,active,0.0,266.6,0.0,,,
10-25 km,2023,COQ,coqueiro,active,0.0,266.6,0.0,,,
10-25 km,2023,CPL,covo peixe e lagosta,passive,0.9,266.6,0.0033758439609902473,,,
10-25 km,2023,CUR,curral,passive,0.0,266.6,0.0,,,
10-25 km,2023,CVL,covo lagosta,passive,4.9,266.6,0.01837959489872468,,,
10-25 km,2023,CVP,covo peixe,passive,1.4,266.6,0.005251312828207051,,,
10-25 km,2023,JER,jereré,active,0.0,266.6,0.0,,,
10-25 km,2023,LES,linha e espinhel,mixed,0.0,266.6,0.0,,,
10-25 km,2023,LIJ,linha e jereré,mixed,20.7,266.6,0.07764441110277569,,,
10-25 km,2023,LIN,linha,passive,13.6,266.6,0.051012753188297066,,,
10-25 km,2023,LML,linha e mergulho livre,mixed,4.9,266.6,0.01837959489872468,,,
10-25 km,2023,LRE,linha e rede de espera,mixed,1.4,266.6,0.005251312828207051,,,
10-25 km,2023,MEL,mergulho livre,active,0.7,266.6,0.0026256564141035254,,,
10-25 km,2023,PUC,puçá,active,0.0,266.6,0.0,,,
10-25 km,2023,RAG,rede agulha,passive,0.8,266.6,0.003000750187546887,,,
10-25 km,2023,RCA,rede caçoeira,passive,0.0,266.6,0.0,,,
10-25 km,2023,RES,rede de espera,passive,33.9,266.6,0.1271567891972993,,,
10-25 km,2023,RTP,rede de tapagem,passive,0.0,266.6,0.0,,,
10-25 km,2023,SRD,sardinheira,passive,0.6,266.6,0.002250562640660165,,,
10-25 km,2023,TNR,traineira,active,65.7,266.6,0.24643660915228807,,,
10-25 km,2023,TRF,tarrafa,active,0.0,266.6,0.0,,,
10-25 km,2023,TRM,tremalho,passive,29.3,266.6,0.10990247561890472,,,
10-25 km,2024,APO,arrasto de porta,active,0.0,203.9,0.0,,,
10-25 km,2024,CMN,coleta manual,active,44.1,203.9,0.21628249141736144,,,
10-25 km,2024,CMP,compressor,active,0.3,203.9,0.0014713094654242274,,,
10-25 km,2024,COQ,palha de coqueiro,passive,0.0,203.9,0.0,,,
