mpa_exposure_class,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,n_locals,cpue_ton_per_trip,richness,shannon_h,simpson_1d,pielou_j,total_production_div
0-10 km,2001,267.13,4621,265.0,673.5999999999999,2,0.05780783380220731,28,2.0784188933278527,0.7524728738323645,0.623736894593715,267.11999999999995
0-10 km,2002,326.04999999999995,5488,289.0,770.6899999999999,2,0.059411443148688035,29,2.4069352427323634,0.8349416273331001,0.714797678688668,326.04
0-10 km,2003,445.36,6089,292.0,743.19,2,0.07314173099031039,31,2.1295527006742656,0.757021044865277,0.6201399637985975,445.35
0-10 km,2004,837.1500000000001,9109,320.0,881.62,2,0.09190361181249315,31,2.0649208180719505,0.7335855740976878,0.6013187280881385,837.1600000000001
0-10 km,2005,472.91999999999996,7513,326.0,737.96,2,0.06294689205377345,35,2.5935132525948785,0.8740354187454844,0.7294681723815245,472.9799999999999
0-10 km,2006,265.59,4678,249.0,663.46,2,0.05677426250534416,34,2.6973160306696866,0.8837894282325084,0.7649008125631979,265.59999999999997
0-10 km,2007,421.59000000000003,5878,298.0,780.71,2,0.07172337529772031,36,2.517798950239805,0.8429147054036521,0.7026051748242051,421.61
0-10 km,2008,1432.58,16014,427.0,1065.72,2,0.08945797427251155,37,2.7829008206439374,0.903845188307207,0.7706906908349125,1432.5800000000002
0-10 km,2009,2845.0480000000002,17958,429.0,861.5,2,0.15842788729257157,39,2.2192555286841316,0.7655343928123468,0.6057644835944427,2845.0067999999997
0-10 km,2010,2445.663,23574,559.0,891.5,2,0.10374408246373124,39,2.21244958416106,0.7717433912288931,0.603906743728031,2445.586
0-10 km,2011,2099.329,20323,387.0,741.0,2,0.10329818432318064,52,2.604385741626696,0.8630035682131318,0.6591306249673002,2099.3219999999997
0-10 km,2012,1269.8999999999999,19915,477.0,619.5,2,0.06376600552347476,47,2.899930382805466,0.9108656413441396,0.7531997946046147,1268.6000000000001
0-10 km,2013,1665.3,21282,444.0,636.5,2,0.07824922469692698,42,2.7542901747032906,0.8953877102881797,0.7369003833913702,1664.8999999999999
0-10 km,2014,921.23,10432,232.0,648.0,2,0.08830809049079755,39,2.831088825820972,0.9108802277759248,0.7727695339347881,921.1999999999999
0-10 km,2015,870.1,12754,246.0,690.0,2,0.06822173435784852,47,2.72461290365062,0.87751737250316,0.7076645327676457,869.9000000000001
0-10 km,2016,1694.4,12584,258.0,661.0,2,0.1346471710108074,43,2.9225951162281234,0.9208293285464548,0.7770379204322658,1695.6
0-10 km,2017,1763.0,11428,273.0,618.0,2,0.15427021351067555,38,2.7563616678981253,0.9070964492910933,0.7577447095041331,1762.5999999999997
0-10 km,2018,707.1099999999999,10272,278.0,710.0,2,0.06883859034267911,48,2.7479025776316948,0.890184452465983,0.7098320572579218,706.3
0-10 km,2019,1940.234,31153,291.0,808.0,2,0.06228080762687382,53,2.8780093514818623,0.8990596769639294,0.724886082471195,1940.26
0-10 km,2020,1559.54,21842,277.0,733.0,2,0.07140097060708726,52,2.8437442867165084,0.8961844075641504,0.7197086510617642,1559.53
0-10 km,2021,1512.04756,21970,263.0,750.0,2,0.06882328447883478,53,2.8922616522214724,0.9180584103508829,0.7284758187046849,1512.05
0-10 km,2022,1700.73,22615,355.6,849.0,2,0.0752036259120053,51,2.916034681142213,0.9178671608146922,0.7416490336886378,1700.5500000000002
0-10 km,2023,1763.23,22976,277.0,795.5999999999999,2,0.07674225278551532,53,2.863220481929787,0.9056843926029063,0.7211612003028095,1763.24
0-10 km,2024,1204.5,18528,266.6,652.0,2,0.06500971502590673,51,2.885259835815159,0.9165596731963488,0.7338219202299643,1204.71
10-25 km,2003,0.82,3,1.0,5.0,1,,1,-0.0,0.0,,0.8200000000000001
10-25 km,2004,40.3,814,61.0,151.49,1,0.0495085995085995,24,2.1773789595241757,0.8410313388765405,0.685129666065407,40.29
10-25 km,2005,30.07,739,76.0,170.8,2,0.04069012178619757,25,2.2338165212447043,0.8564590928665207,0.693974121022879,30.090000000000003
10-25 km,2007,21.61,830,81.0,172.41,2,0.026036144578313252,26,2.3338230543510017,0.8497705174381313,0.7163148872710332,21.630000000000003
10-25 km,2008,148.38,3849,128.0,292.29,1,0.038550272798129386,35,2.416549085365813,0.871821068940214,0.6796940956474082,148.4
10-25 km,2009,279.372,4879,174.0,267.5,2,0.05726009428161509,39,2.7458984918438127,0.897933124067713,0.7495161149382338,279.3127
10-25 km,2010,354.645,9116,241.0,302.5,2,0.038903576129881524,37,2.7832372631928544,0.8955619968383146,0.7707838645256626,354.642
10-25 km,2011,340.376,8978,311.0,297.5,2,0.03791222989529962,50,2.93144547562583,0.9193514924094752,0.7493425962879792,340.41599999999994
10-25 km,2012,316.5,10566,224.0,250.5,2,0.02995457126632595,43,2.986313488523706,0.9204926385073219,0.7939788888294852,316.2
10-25 km,2013,293.4,8932,205.0,302.75,2,0.032848186296462155,37,2.837799233547698,0.9035393428862306,0.7858941416559696,293.2
10-25 km,2014,130.12,4252,97.0,217.0,2,0.030602069614299156,32,2.7250732993332925,0.8958534456243655,0.7862899470014133,129.9
10-25 km,2015,123.80000000000001,3911,92.0,207.0,2,0.03165430836103299,37,2.762104039062036,0.8927393340270551,0.7649312739539367,124.0
10-25 km,2016,277.3,3669,89.0,213.0,2,0.07557917688743528,40,2.8534483243206505,0.901500279093727,0.7735271265474423,278.1
10-25 km,2017,279.0,2626,101.0,215.0,2,0.10624523990860625,31,2.70277593185233,0.8962637714617857,0.7870663956820287,279.6
10-25 km,2018,93.75999999999999,1581,78.0,178.0,2,0.059304237824161915,37,2.673638256767074,0.8885143275398821,0.7404317465664031,93.80000000000001
10-25 km,2019,256.786,18158,74.0,183.0,2,0.014141755699966957,48,2.8564053046617817,0.9166308041478555,0.737860239396839,256.82
10-25 km,2020,355.68,4782,67.0,158.0,2,0.07437892095357591,47,2.2664879573175036,0.8015259002296083,0.5886756020238897,355.73999999999995
10-25 km,2021,222.63830000000002,5600,69.0,169.4,2,0.03975683928571429,46,2.555427387094424,0.8551554114236496,0.6674501794390506,222.62
10-25 km,2022,227.86,5725,70.9,158.3,2,0.039800873362445414,46,2.5030885051467924,0.8503744975223924,0.653779825773746,228.07
10-25 km,2023,265.68,6191,67.0,169.3,2,0.04291390728476821,48,2.5516804177420185,0.8653733606302523,0.65914438711711,265.70000000000005
10-25 km,2024,203.9,4913,71.8,161.0,2,0.041502137187054755,45,2.675035130011492,0.8796844998693375,0.7027245355216386,203.97
25-50 km,2001,202.7,5976,219.0,710.82,1,0.0339190093708166,29,2.6588505656192885,0.9076283590375515,0.7896100312724732,202.7
25-50 km,2002,305.65,5495,208.0,697.0,1,0.05562329390354868,29,2.3357122215656907,0.8472963841598449,0.6936462786446277,305.60999999999996
25-50 km,2003,332.59,5482,200.0,684.23,1,0.06066946369937978,30,2.4323704797815404,0.8472620416168744,0.7151512267108849,332.6199999999999
25-50 km,2004,421.24,6107,200.0,666.13,1,0.06897658424758474,31,2.181227900576204,0.7716464042589266,0.6351881270050431,421.22999999999996
25-50 km,2005,335.3,4930,217.0,699.5,1,0.06801217038539555,30,2.6120973157418352,0.9026570789751738,0.767993451313699,335.2999999999999
25-50 km,2006,364.5,4786,196.0,666.79,1,0.07615963226076056,32,2.3209207991684133,0.8323812305440403,0.669676185451264,364.48
25-50 km,2007,509.34,5534,208.0,654.75,1,0.09203830863751354,30,2.0913108372131073,0.760145809455636,0.6148748815604138,509.34000000000003
25-50 km,2008,431.96,5406,201.0,640.87,2,0.07990381058083611,35,2.5114724247756057,0.845835405512034,0.7063928429340599,431.9599999999999
25-50 km,2009,1522.1180000000002,5595,149.0,939.5,2,0.2720496872207328,38,2.5386290098734956,0.8307724559449738,0.6978883518911475,1522.2129000000002
25-50 km,2010,1385.945,7035,185.0,868.5,2,0.19700710732054014,38,2.940344713695863,0.9136043933465852,0.8083230429700754,1385.9520000000005
25-50 km,2011,1300.534,11918,302.0,740.5,2,0.10912351065615036,49,2.8212210839582434,0.8942724510698944,0.7249104192523663,1300.5479999999998
25-50 km,2012,1485.8999999999999,15401,424.0,605.5,2,0.0964807480033764,44,2.549538877926713,0.8161273659094911,0.6737344384316295,1485.8999999999999
25-50 km,2013,1675.8000000000002,14983,370.0,592.5,2,0.11184675966094909,37,2.6200936853129964,0.8586052763117337,0.7256032257444309,1675.7999999999997
25-50 km,2014,1093.57,7275,183.0,580.0,2,0.1503189003436426,37,2.303750502132046,0.7990373355753858,0.6379958110000463,1093.3999999999999
25-50 km,2015,777.6,7836,190.0,641.0,2,0.0992343032159265,42,2.9340760525782223,0.9174081059797795,0.7850014453459856,777.6
25-50 km,2016,1707.8,6858,183.0,592.0,2,0.2490230387868183,38,2.75870241677053,0.8870439909325146,0.7583881991067494,1708.4
25-50 km,2017,1783.0,5712,204.0,525.0,2,0.3121498599439776,35,2.697640082459358,0.8754028104801977,0.7587555524252264,1783.4
25-50 km,2018,458.53999999999996,4567,212.0,604.0,2,0.10040289029997809,43,2.925529279596473,0.9227412123535789,0.7778180340338015,458.29999999999995
25-50 km,2019,1156.6070000000002,14928,157.0,597.0,2,0.07747903269024653,49,2.804360956206177,0.901621716422816,0.7205782234004017,1156.58
25-50 km,2020,1017.0500000000001,8756,160.0,567.0,2,0.11615463682046598,49,2.718160234431298,0.8867459598306613,0.6984290193848085,1017.1299999999999
25-50 km,2021,1263.5892800000001,9470,145.0,540.4,2,0.13343075818373815,49,2.643095545604705,0.8818385991165396,0.6791412098055649,1263.5199999999998
25-50 km,2022,914.74,8939,204.70000000000002,557.5,2,0.10233135697505313,48,2.979708296579811,0.9276090165311166,0.7697115929097664,914.6999999999999
25-50 km,2023,1022.78,9624,146.0,565.1,2,0.10627389858686616,51,3.044217656626886,0.9346308001721715,0.7742504223203753,1022.7599999999999
25-50 km,2024,801.5,7589,172.3,463.0,2,0.10561338779812887,51,3.125270806198665,0.9436716243156213,0.7948650571345897,801.45
inside,2001,96.6,4841,61.0,151.65,1,0.019954554844040486,25,2.712443222257789,0.9129988978080348,0.842667865999103,96.61000000000001
inside,2002,65.83,3021,66.0,171.04,1,0.021790797749089704,12,2.241419314521113,0.8804748876848932,0.902013487996557,65.83
inside,2003,64.88,1890,79.0,276.21999999999997,2,0.034328042328042326,16,1.9140492626671084,0.774125405118855,0.6903473448167535,64.87
inside,2004,69.85,2616,50.0,127.54,1,0.026701070336391436,20,2.149627015118042,0.8022400489287247,0.7175631260826353,69.84
inside,2005,256.84000000000003,5506,183.0,469.36,2,0.046647293861242285,34,2.5500502026587597,0.8353750339004196,0.7231393911251682,256.85999999999996
inside,2006,123.16999999999999,3297,111.0,349.36,2,0.03735820442826812,32,2.8962089884145197,0.9312443207852229,0.8356692689927337,123.18
inside,2007,100.72999999999999,2167,136.0,465.62,2,0.0464836179049377,32,2.792422411825196,0.9014713765047451,0.8057227931214818,100.66999999999999
inside,2008,728.6,11731,227.0,733.71,2,0.06210894211917143,36,2.2141814977694345,0.7804480228678121,0.6178791115091391,728.56
inside,2009,1412.563,10552,305.0,991.5,2,0.1338668498862775,38,2.60672541127784,0.8710847669870833,0.7166085686541964,1412.4742
inside,2010,1156.574,12057,350.0,818.5,2,0.09592552044455503,38,2.8680536287653755,0.9081581437320281,0.7884496759194582,1156.577
inside,2011,1287.568,12473,314.0,677.5,2,0.10322841337288544,52,3.0691615602980664,0.9299981578341809,0.776758352279002,1287.5639999999999
