local,species,tau,p,sens_slope,n,combined_class,mean_rel_abund,sig
MACAU,Serra,-0.08,0.6062,-0.000214,24,0-20 km × 0-10 km,0.04547,
MACAU,Guaiuba,0.616,0.0,0.0020595,24,0-20 km × 0-10 km,0.03958,***
MACAU,Agulha,0.174,0.2466,0.0004101,24,0-20 km × 0-10 km,0.02742,
MACAU,Buzios,0.764,0.0,0.0033173,24,0-20 km × 0-10 km,0.07213,***
MACAU,Albacora,-0.065,0.6765,-3.32e-05,24,0-20 km × 0-10 km,0.00908,
PORTO DO MANGUE,Lagosta,-0.138,0.3627,-0.0017125,24,20-50 km × inside,0.09933,
PORTO DO MANGUE,Tainha,-0.138,0.3627,-0.0008271,24,20-50 km × inside,0.06292,
PORTO DO MANGUE,Caico,0.072,0.641,0.0006106,24,20-50 km × inside,0.05547,
PORTO DO MANGUE,Peixe Voador,0.414,0.0106,0.0,24,20-50 km × inside,0.00013,*
PORTO DO MANGUE,Sardinha,0.125,0.3966,7.3e-06,24,20-50 km × inside,0.01076,
PORTO DO MANGUE,Outros,-0.464,0.0012,-0.0029582,24,20-50 km × inside,0.04744,**
PORTO DO MANGUE,Ariaco,0.21,0.159,0.0020268,24,20-50 km × inside,0.08824,
PORTO DO MANGUE,Serra,0.435,0.0025,0.0018659,24,20-50 km × inside,0.02805,**
PORTO DO MANGUE,Guaiuba,-0.014,0.9413,-2.5e-05,24,20-50 km × inside,0.03302,
PORTO DO MANGUE,Agulha,0.51,0.0006,0.0001164,24,20-50 km × inside,0.00414,***
PORTO DO MANGUE,Buzios,0.416,0.0067,0.0002247,24,20-50 km × inside,0.01589,**
PORTO DO MANGUE,Albacora,0.221,0.1347,3.3e-05,24,20-50 km × inside,0.04346,
TIBAU,Lagosta,-0.324,0.0762,-0.0280251,17,20-50 km × 25-50 km,0.45628,.
TIBAU,Caico,0.382,0.0341,0.0088836,17,20-50 km × 25-50 km,0.11174,*
TIBAU,Sardinha,-0.26,0.1554,-0.0004263,17,20-50 km × 25-50 km,0.00871,
TIBAU,Outros,-0.428,0.0193,-0.0012163,17,20-50 km × 25-50 km,0.01296,*
TIBAU,Ariaco,0.324,0.0762,0.0064089,17,20-50 km × 25-50 km,0.07643,.
TIBAU,Serra,0.353,0.0518,0.0018196,17,20-50 km × 25-50 km,0.02869,.
TIBAU,Guaiuba,-0.12,0.5067,-0.0003946,17,20-50 km × 25-50 km,0.00849,
TIBAU,Agulha,0.18,0.3716,0.0,17,20-50 km × 25-50 km,0.00203,
