year_c,year,group,cpue_pred,ci_lo,ci_hi
-13.0,2001.0,inside,0.5061071940891738,0.3343093266097884,0.7661900866074038
-12.767676767676768,2001.2323232323233,inside,0.49359100062823114,0.33832336771471494,0.7201160166584084
-12.535353535353535,2001.4646464646464,inside,0.48473626310632456,0.3426994150361786,0.68564238647877
-12.303030303030303,2001.6969696969697,inside,0.47920343475826077,0.34744814935932267,0.6609214419692611
-12.070707070707071,2001.9292929292928,inside,0.476730619564791,0.35262822995549675,0.6445090447220073
-11.83838383838384,2002.1616161616162,inside,0.47711982528526864,0.3583515169147554,0.6352514693956129
-11.606060606060606,2002.3939393939395,inside,0.48022608756953356,0.3647791229945174,0.6322102353039745
-11.373737373737374,2002.6262626262626,inside,0.48594876587218,0.3721085712441703,0.6346164031189176
-11.141414141414142,2002.858585858586,inside,0.49422447148120674,0.38055608970694577,0.6418444871003731
-10.90909090909091,2003.090909090909,inside,0.505021205018913,0.3903394825468254,0.6533964124117508
-10.676767676767676,2003.3232323232323,inside,0.5183333667927968,0.4016654849589362,0.6688886379127725
-10.444444444444445,2003.5555555555557,inside,0.5341773667320195,0.4147226808851542,0.688039194094072
-10.212121212121211,2003.7878787878788,inside,0.5525876075062749,0.42967886428717006,0.7106541404499485
-9.97979797979798,2004.020202020202,inside,0.5736126494253069,0.4466808859450543,0.7366141734150538
-9.747474747474747,2004.2525252525252,inside,0.59731139243836,0.4658552132075778,0.7658622022926178
-9.515151515151516,2004.4848484848485,inside,0.623749131849819,0.48730802824436464,0.7983923041142758
-9.282828282828284,2004.7171717171718,inside,0.6529933626081867,0.511124292632186,0.834240003374663
-9.05050505050505,2004.949494949495,inside,0.685109224251989,0.5373656633050556,0.8734734673374618
-8.818181818181818,2005.1818181818182,inside,0.7201544966284974,0.5660674543022742,0.9161849794977004
-8.585858585858585,2005.4141414141413,inside,0.7581740769969212,0.5972350399866001,0.962481925111143
-8.353535353535353,2005.6464646464647,inside,0.7991938935989498,0.6308402177460939,1.0124764743881998
-8.121212121212121,2005.878787878788,inside,0.8432142405723859,0.666818096073813,1.0662731855815755
-7.888888888888889,2006.111111111111,inside,0.8902025553209266,0.7050650330586208,1.1239538940998939
-7.656565656565657,2006.3434343434344,inside,0.9400857029433862,0.7454380045647754,1.185559528044918
-7.424242424242424,2006.5757575757575,inside,0.9927418834391244,0.7877555336974613,1.2510688976166011
-7.191919191919192,2006.8080808080808,inside,1.0479923359261334,0.8318000018764982,1.3203750104378849
-6.959595959595959,2007.040404040404,inside,1.1055930790631816,0.8773208609123788,1.3932599929303235
