platform_exposure_class,year,species,sp_production_ton,total_production_ton,species_share
20-50 km,2018,Camarao,8.8,2985.0,0.002948073701842546
20-50 km,2018,Agulhao,8.2,2985.0,0.002747068676716918
20-50 km,2018,Arabaiana,7.8,2985.0,0.0026130653266331657
20-50 km,2018,Polvo,7.7,2985.0,0.002579564489112228
20-50 km,2018,Caçao,6.7,2985.0,0.0022445561139028476
20-50 km,2018,Xareu,6.0,2985.0,0.0020100502512562816
20-50 km,2018,Camurim,5.7,2985.0,0.0019095477386934674
20-50 km,2018,Carapeba,4.1,2985.0,0.001373534338358459
20-50 km,2018,Bicuda,4.0,2985.0,0.001340033500837521
20-50 km,2018,Paru,3.8,2985.0,0.0012730318257956447
20-50 km,2018,Cururuca,3.5,2985.0,0.0011725293132328308
20-50 km,2018,Marisco,3.3000000000000003,2985.0,0.0011055276381909548
20-50 km,2018,Camurupim,3.2,2985.0,0.0010720268006700168
20-50 km,2018,Espada,2.6,2985.0,0.0008710217755443886
20-50 km,2018,Ubarana,2.4,2985.0,0.0008040201005025126
20-50 km,2018,Peixe Galo,1.9,2985.0,0.0006365159128978224
20-50 km,2018,Pampo,1.4000000000000001,2985.0,0.0004690117252931324
20-50 km,2018,Cangulo,1.3,2985.0,0.0004355108877721943
20-50 km,2018,Salema,1.1,2985.0,0.00036850921273031827
20-50 km,2018,Dentao,0.9,2985.0,0.00030150753768844223
20-50 km,2018,Beijupira,0.7,2985.0,0.00023450586264656614
20-50 km,2018,Budiao,0.6,2985.0,0.00020100502512562814
20-50 km,2018,Siri,0.4,2985.0,0.0001340033500837521
20-50 km,2018,Garoupa,0.1,2985.0,3.3500837520938026e-05
20-50 km,2018,Pirauna,0.1,2985.0,3.3500837520938026e-05
20-50 km,2018,Tilapia,0.1,2985.0,3.3500837520938026e-05
20-50 km,2018,Carauna,0.0,2985.0,0.0
20-50 km,2018,Garabebeu,0.0,2985.0,0.0
20-50 km,2017,Albacora,2674.3,5597.700000000001,0.47774979009235935
20-50 km,2017,Peixe Voador,588.1,5597.700000000001,0.10506100719938545
20-50 km,2017,Lagosta,237.1,5597.700000000001,0.042356682208764304
20-50 km,2017,Dourado,178.7,5597.700000000001,0.03192382585704842
20-50 km,2017,Garajuba,163.20000000000002,5597.700000000001,0.029154831448630687
20-50 km,2017,Agulha,156.9,5597.700000000001,0.02802936920520928
20-50 km,2017,Tainha,137.4,5597.700000000001,0.024545795594619217
20-50 km,2017,Ariaco,136.3,5597.700000000001,0.02434928631402183
20-50 km,2017,Serra,131.4,5597.700000000001,0.023473926791360736
20-50 km,2017,Outros,129.2,5597.700000000001,0.023080908230165956
20-50 km,2017,Caico,124.39999999999999,5597.700000000001,0.02222341318755917
20-50 km,2017,Sardinha,114.4,5597.700000000001,0.020436965182128373
20-50 km,2017,Bonito,90.10000000000001,5597.700000000001,0.016095896528931525
20-50 km,2017,Biquara,72.89999999999999,5597.700000000001,0.013023205959590544
20-50 km,2017,Ova Voador,70.2,5597.700000000001,0.012540864998124228
20-50 km,2017,Guaiuba,63.50000000000001,5597.700000000001,0.011343944834485592
20-50 km,2017,Bagre,61.1,5597.700000000001,0.010915197313182199
20-50 km,2017,Sirigado,56.4,5597.700000000001,0.010075566750629721
20-50 km,2017,Cururuca,53.1,5597.700000000001,0.009486038908837558
20-50 km,2017,Camurim,38.5,5597.700000000001,0.006877824820908586
20-50 km,2017,Carapeba,37.6,5597.700000000001,0.006717044500419814
20-50 km,2017,Buzios,36.7,5597.700000000001,0.006556264179931043
20-50 km,2017,Cavala,35.6,5597.700000000001,0.006359754899333654
20-50 km,2017,Caçao,29.6,5597.700000000001,0.005287886096075173
20-50 km,2017,Arraia,28.9,5597.700000000001,0.005162834735695017
20-50 km,2017,Camarao,24.599999999999998,5597.700000000001,0.004394662093359772
20-50 km,2017,Paru,24.3,5597.700000000001,0.004341068653196848
20-50 km,2017,Pargo,18.2,5597.700000000001,0.003251335369884059
20-50 km,2017,Caranguejo,14.9,5597.700000000001,0.0026618075280918944
20-50 km,2017,Arabaiana,13.2,5597.700000000001,0.0023581113671686583
20-50 km,2017,Polvo,12.999999999999998,5597.700000000001,0.002322382407060042
20-50 km,2017,Dentao,10.4,5597.700000000001,0.0018579059256480339
20-50 km,2017,Camurupim,9.1,5597.700000000001,0.0016256676849420294
20-50 km,2017,Peixe Galo,6.8,5597.700000000001,0.001214784643692945
20-50 km,2017,Salema,6.1,5597.700000000001,0.0010897332833127889
20-50 km,2017,Tilapia,5.8,5597.700000000001,0.001036139843149865
20-50 km,2017,Garabebeu,2.3,5597.700000000001,0.00041088304124908435
20-50 km,2017,Marisco,1.4,5597.700000000001,0.0002501027207603122
20-50 km,2017,Garoupa,1.0,5597.700000000001,0.00017864480054308017
20-50 km,2017,Siri,1.0,5597.700000000001,0.00017864480054308017
20-50 km,2016,Albacora,2639.0,5584.8,0.4725325884543761
20-50 km,2016,Peixe Voador,489.09999999999997,5584.8,0.08757699469989971
20-50 km,2016,Lagosta,260.3,5584.8,0.04660865205557943
20-50 km,2016,Dourado,190.0,5584.8,0.03402091390918206
20-50 km,2016,Garajuba,168.6,5584.8,0.0301890846583584
20-50 km,2016,Serra,155.8,5584.8,0.027897149405529294
20-50 km,2016,Agulha,147.0,5584.8,0.02632144391920928
20-50 km,2016,Outros,146.5,5584.8,0.026231915198395645
20-50 km,2016,Caico,128.2,5584.8,0.022955164016616528
20-50 km,2016,Ariaco,125.7,5584.8,0.022507520412548346
20-50 km,2016,Tainha,120.5,5584.8,0.02157642171608652
20-50 km,2016,Bonito,97.7,5584.8,0.017493912046984673
20-50 km,2016,Guaiuba,84.80000000000001,5584.8,0.01518407104999284
20-50 km,2016,Ova Voador,80.39999999999999,5584.8,0.01439621830683283
20-50 km,2016,Cioba,74.3,5584.8,0.013303967912906459
20-50 km,2016,Pescada,65.0,5584.8,0.011638733705772812
20-50 km,2016,Arraia,61.199999999999996,5584.8,0.010958315427589169
20-50 km,2016,Espada,60.4,5584.8,0.01081506947428735
20-50 km,2016,Bagre,52.8,5584.8,0.009454232917920068
20-50 km,2016,Biquara,45.6,5584.8,0.008165019338203695
20-50 km,2016,Cururuca,38.800000000000004,5584.8,0.006947428735138233
20-50 km,2016,Cavala,37.2,5584.8,0.006660936828534594
20-50 km,2016,Camurim,32.2,5584.8,0.005765649620398224
20-50 km,2016,Carapeba,31.9,5584.8,0.005711932387910041
20-50 km,2016,Caçao,31.2,5584.8,0.005586592178770949
20-50 km,2016,Camarao,29.8,5584.8,0.0053359117604927665
20-50 km,2016,Sirigado,26.799999999999997,5584.8,0.004798739435610943
20-50 km,2016,Tilapia,21.7,5584.8,0.003885546483311846
20-50 km,2016,Pargo,19.900000000000002,5584.8,0.0035632430883827536
20-50 km,2016,Caranguejo,18.8,5584.8,0.0033662799025927516
20-50 km,2016,Paru,17.2,5584.8,0.0030797879959891133
20-50 km,2016,Arabaiana,14.499999999999998,5584.8,0.002596332903595473
20-50 km,2016,Buzios,13.100000000000001,5584.8,0.00234565248531729
20-50 km,2016,Polvo,13.1,5584.8,0.0023456524853172895
20-50 km,2016,Sardinha,12.1,5584.8,0.0021665950436900155
20-50 km,2016,Peixe Galo,7.2,5584.8,0.001289213579716373
20-50 km,2016,Salema,6.199999999999999,5584.8,0.001110156138089099
20-50 km,2016,Dentao,5.9,5584.8,0.0010564389056009168
20-50 km,2016,Camurupim,5.4,5584.8,0.0009669101847872797
20-50 km,2016,Garabebeu,3.9,5584.8,0.0006983240223463686
