metric,group,year_c,year,pred,ci_lo,ci_hi
richness,inside,-13.0,2001.0,21.512332585120088,15.621459007295224,27.40320616294494
richness,inside,-12.767676767676768,2001.2323232323233,20.866543132498308,15.624138688703354,26.10894757629326
richness,inside,-12.535353535353535,2001.4646464646464,20.359547355745246,15.656846888501084,25.06224782298941
richness,inside,-12.303030303030303,2001.6969696969697,19.984876371835725,15.715313067980249,24.254439675691202
richness,inside,-12.070707070707071,2001.9292929292928,19.736061297744545,15.798281115215433,23.673841480273662
richness,inside,-11.83838383838384,2002.1616161616162,19.606633250446542,15.90850347153274,23.30476302936034
richness,inside,-11.606060606060606,2002.3939393939395,19.590123346916517,16.05281600624664,23.127430687586397
richness,inside,-11.373737373737374,2002.6262626262626,19.6800627041293,16.240961799674437,23.11916360858416
richness,inside,-11.141414141414142,2002.858585858586,19.86998243905969,16.483553567870434,23.256411310248946
richness,inside,-10.90909090909091,2003.090909090909,20.153413668682525,16.790038300425397,23.516789036939652
richness,inside,-10.676767676767676,2003.3232323232323,20.523887509972617,17.16734334878569,23.880431671159545
richness,inside,-10.444444444444445,2003.5555555555557,20.974935079904768,17.619354573178,24.330515586631535
richness,inside,-10.212121212121211,2003.7878787878788,21.500087495453812,18.14700266771057,24.853172323197054
richness,inside,-9.97979797979798,2004.020202020202,22.092875873594565,18.74865366727089,25.437098079918243
richness,inside,-9.747474747474747,2004.2525252525252,22.746831331301834,19.42058234044265,26.073080322161015
richness,inside,-9.515151515151516,2004.4848484848485,23.45548498555044,20.157413767508263,26.75355620359262
richness,inside,-9.282828282828284,2004.7171717171718,24.212367953315212,20.952492630023954,27.472243276606473
richness,inside,-9.05050505050505,2004.949494949495,25.01101135157096,21.798178817402516,28.22384388573941
richness,inside,-8.818181818181818,2005.1818181818182,25.844946297292495,22.686084488698246,29.003808105886737
richness,inside,-8.585858585858585,2005.4141414141413,26.70770390745464,23.60727284641644,29.808134968492833
richness,inside,-8.353535353535353,2005.6464646464647,27.5928152990322,24.55243890768843,30.63319169037597
richness,inside,-8.121212121212121,2005.878787878788,28.493811589000014,25.512090015151916,31.47553316284811
richness,inside,-7.888888888888889,2006.111111111111,29.404223894332876,26.47673896161881,32.331708827046945
richness,inside,-7.656565656565657,2006.3434343434344,30.31758333200563,27.43711472730942,33.19805193670184
richness,inside,-7.424242424242424,2006.5757575757575,31.227421018993073,28.384384700677742,34.070457337308405
richness,inside,-7.191919191919192,2006.8080808080808,32.12726807227003,29.31036946228043,34.94416668225963
richness,inside,-6.959595959595959,2007.040404040404,33.010655608811305,30.207720887957535,35.81359032966508
richness,inside,-6.7272727272727275,2007.2727272727273,33.87111474559174,31.07003196585248,36.67219752533099
richness,inside,-6.494949494949495,2007.5050505050506,34.702176599586124,31.89185580790176,37.51249739127049
richness,inside,-6.262626262626263,2007.7373737373737,35.4973722877693,32.66862987956946,38.326114695969146
richness,inside,-6.03030303030303,2007.969696969697,36.25023292711607,33.39652189193858,39.103943962293556
richness,inside,-5.7979797979797985,2008.20202020202,36.95428963460125,34.072227264364514,39.83635200483799
richness,inside,-5.565656565656566,2008.4343434343434,37.60307352719967,34.692749909935294,40.513397144464044
richness,inside,-5.333333333333333,2008.6666666666667,38.190115721886144,35.2551897751269,41.12504166864539
richness,inside,-5.101010101010101,2008.8989898989898,38.71062759529882,35.757875401206604,41.66337978939104
richness,inside,-4.8686868686868685,2009.1313131313132,39.16654156272928,36.20404905469027,42.12903407076829
richness,inside,-4.636363636363637,2009.3636363636363,39.561470299132424,36.59765233797475,42.52528826029009
richness,inside,-4.404040404040405,2009.5959595959596,39.89902647946315,36.94209589981935,42.85595705910696
richness,inside,-4.171717171717171,2009.828282828283,40.182822778676396,37.24037311938253,43.12527243797026
richness,inside,-3.9393939393939394,2010.060606060606,40.41647187172704,37.49514935012005,43.337794393334036
richness,inside,-3.7070707070707076,2010.2929292929293,40.603586433570015,37.708833970784106,43.498338896355925
richness,inside,-3.474747474747474,2010.5252525252524,40.747779139160215,37.88364164767256,43.61191663064787
richness,inside,-3.242424242424242,2010.7575757575758,40.85266266345255,38.02164826946042,43.683677057444676
richness,inside,-3.0101010101010104,2010.989898989899,40.92184968140194,38.124846052452305,43.71885331035156
richness,inside,-2.7777777777777786,2011.2222222222222,40.95895286796327,38.19520123251574,43.7227045034108
richness,inside,-2.545454545454545,2011.4545454545455,40.967584898091474,38.234716400285954,43.700453395897
richness,inside,-2.313131313131313,2011.6868686868686,40.95135844674146,38.24549777394041,43.6572191195425
richness,inside,-2.0808080808080813,2011.919191919192,40.91388618886812,38.22982555459186,43.597946823144376
richness,inside,-1.8484848484848477,2012.1515151515152,40.85878079942637,38.19022322276036,43.527338376092395
richness,inside,-1.616161616161616,2012.3838383838383,40.78965495337113,38.1295197189935,43.449790187748754
richness,inside,-1.383838383838384,2012.6161616161617,40.71012132565729,38.05089756200518,43.3693450893094
richness,inside,-1.1515151515151523,2012.8484848484848,40.62379259123977,37.957920627937646,43.28966455454189
richness,inside,-0.9191919191919187,2013.080808080808,40.53428142507348,37.8545376398088,43.21402521033815
richness,inside,-0.6868686868686869,2013.3131313131314,40.44520050211332,37.74506088060382,43.145340123622816
richness,inside,-0.45454545454545503,2013.5454545454545,40.36016249731421,37.63412325445593,43.08620174017249
richness,inside,-0.2222222222222232,2013.7777777777778,40.28278008563106,37.52661952182546,43.038940649436654
richness,inside,0.010101010101010388,2014.010101010101,40.216665942018764,37.42763865780869,43.00569322622885
richness,inside,0.2424242424242422,2014.2424242424242,40.16543274143225,37.34239376781643,42.988471715048064
richness,inside,0.47474747474747403,2014.4747474747476,40.132693158826406,37.27615428933536,42.98923202831745
richness,inside,0.7070707070707076,2014.7070707070707,40.12205986915616,37.23418296585185,43.00993677246046
richness,inside,0.9393939393939394,2014.939393939394,40.137145547376406,37.22167786349355,43.05261323125925
richness,inside,1.1717171717171713,2015.171717171717,40.18156286844206,37.243717831254166,43.11940790562996
