local,platform_dist_km_mean,platform_dist_km_min,mpa_dist_km_mean,mpa_dist_km_min,mpa_boundary_dist_km_mean,inside_any_mpa_any,n_landing_points,municipality,coord_source,platform_exposure_class,mpa_exposure_class,combined_exposure_class
AREIA BRANCA,31.17549859480912,26.118944352602266,3.309766594129834,0,2.935615902731488,TRUE,8,721124.86,exact,20-50 km,inside,20-50 km × inside
CAICARA DO NORTE,31.721600034764556,27.543634207691436,38.044851750636056,36.79689657900764,38.044851750636056,FALSE,2,747235.11,exact,20-50 km,25-50 km,20-50 km × 25-50 km
GALINHOS,21.7644741498777,21.7644741498777,21.774377887425786,21.774377887425786,21.774377887425786,FALSE,1,747235.11,exact,20-50 km,10-25 km,20-50 km × 10-25 km
GROSSOS,44.696278903272656,43.6345241592095,20.13619075292307,17.321834393493607,20.13619075292307,FALSE,3,721124.86,exact,20-50 km,10-25 km,20-50 km × 10-25 km
GUAMARE,15.522437717087048,13.610610052445601,5.10015585248345,1.2072317492573859,5.10015585248345,FALSE,2,747235.11,exact,0-20 km,0-10 km,0-20 km × 0-10 km
MACAU,8.702154449506585,5.75455905443802,4.519425209447318,0,3.831009489925219,TRUE,6,747235.11,exact,0-20 km,0-10 km,0-20 km × 0-10 km
PORTO DO MANGUE,24.802382721308863,19.69551938451501,0.7506532327997195,0,0.3800736018380725,TRUE,3,735640.75,exact,20-50 km,inside,20-50 km × inside
TIBAU,56.56427207932279,47.34025679503974,36.298204746741284,27.51934457654446,36.298204746741284,FALSE,2,721124.86,exact,20-50 km,25-50 km,20-50 km × 25-50 km
