local,year,boat_type,vessels_monitored,fleet_production_ton,zero_production_flag
GALINHOS,2010,PED,2,9.952,False
GALINHOS,2010,PQM,0,0.0,True
GALINHOS,2010,PQR,0,0.0,True
GALINHOS,2010,PQV,0,7.976,False
GALINHOS,2011,BMG,0,0.0,True
GALINHOS,2011,BMM,3,8.97,False
GALINHOS,2011,BMP,10,31.69,False
GALINHOS,2011,BOM,8,8.0,False
GALINHOS,2011,BOV,11,24.04,False
GALINHOS,2011,CAM,62,79.71,False
GALINHOS,2011,CAR,2,2.0,False
GALINHOS,2011,CAV,10,32.47,False
GALINHOS,2011,JAM,1,1.0,False
GALINHOS,2011,JAV,2,16.21,False
GALINHOS,2011,PED,5,17.69,False
GALINHOS,2011,PQM,0,0.0,True
GALINHOS,2011,PQR,11,0.0,True
GALINHOS,2011,PQV,7,15.37,False
GALINHOS,2012,BMG,0,0.0,True
GALINHOS,2012,BMM,5,15.2,False
GALINHOS,2012,BMP,7,6.1,False
GALINHOS,2012,BOM,17,33.6,False
GALINHOS,2012,BOV,12,29.5,False
GALINHOS,2012,CAM,70,104.1,False
GALINHOS,2012,CAR,2,0.9,False
GALINHOS,2012,CAV,8,1.9,False
GALINHOS,2012,JAM,0,0.0,True
GALINHOS,2012,JAV,9,13.2,False
GALINHOS,2012,PED,9,1.2,False
GALINHOS,2012,PQM,0,0.0,True
GALINHOS,2012,PQV,6,13.8,False
GALINHOS,2013,BMG,0,0.0,True
GALINHOS,2013,BMM,3,23.3,False
GALINHOS,2013,BMP,1,2.4,False
GALINHOS,2013,BOM,6,32.6,False
GALINHOS,2013,BOV,7,27.0,False
GALINHOS,2013,CAM,39,102.7,False
GALINHOS,2013,CAR,0,0.6,False
GALINHOS,2013,CAV,3,1.5,False
GALINHOS,2013,JAM,0,0.4,False
GALINHOS,2013,JAV,4,12.7,False
GALINHOS,2013,PED,1,2.4,False
GALINHOS,2013,PQM,0,0.0,True
GALINHOS,2013,PQV,1,9.2,False
GALINHOS,2014,BMG,0,0.0,True
GALINHOS,2014,BMM,2,7.4,False
GALINHOS,2014,BMP,1,1.9,False
GALINHOS,2014,BOM,8,24.8,False
GALINHOS,2014,BOV,8,20.0,False
GALINHOS,2014,CAM,37,36.5,False
GALINHOS,2014,CAR,0,0.0,True
GALINHOS,2014,CAV,1,0.3,False
GALINHOS,2014,JAM,1,0.5,False
GALINHOS,2014,JAV,2,2.7,False
GALINHOS,2014,PED,1,0.1,False
GALINHOS,2014,PQM,0,0.0,True
GALINHOS,2014,PQV,0,0.1,False
GALINHOS,2015,BMG,0,0.0,True
GALINHOS,2015,BMM,5,17.4,False
GALINHOS,2015,BMP,4,12.9,False
GALINHOS,2015,BOM,4,8.4,False
GALINHOS,2015,BOV,7,8.2,False
GALINHOS,2015,CAM,33,38.8,False
GALINHOS,2015,CAR,0,0.0,True
GALINHOS,2015,CAV,0,0.1,False
GALINHOS,2015,JAM,1,1.4,False
GALINHOS,2015,JAV,1,1.5,False
GALINHOS,2015,PED,2,0.5,False
GALINHOS,2015,PQM,0,0.0,True
GALINHOS,2015,PQV,0,0.0,True
GALINHOS,2016,BMG,0,0.0,True
GALINHOS,2016,BMM,4,27.0,False
GALINHOS,2016,BMP,3,13.0,False
GALINHOS,2016,BOM,6,25.0,False
GALINHOS,2016,BOV,7,27.0,False
GALINHOS,2016,CAM,35,96.0,False
GALINHOS,2016,CAR,0,0.0,True
GALINHOS,2016,CAV,2,1.0,False
GALINHOS,2016,JAM,1,1.0,False
GALINHOS,2016,JAV,2,7.0,False
GALINHOS,2016,PED,2,1.0,False
GALINHOS,2016,PQM,0,0.0,True
GALINHOS,2016,PQV,1,6.0,False
GALINHOS,2017,BMG,0,0.0,True
GALINHOS,2017,BMM,3,12.0,False
GALINHOS,2017,BMP,3,0.0,True
GALINHOS,2017,BOM,6,21.0,False
GALINHOS,2017,BOV,6,35.0,False
GALINHOS,2017,CAM,34,32.0,False
GALINHOS,2017,CAR,0,1.0,False
GALINHOS,2017,CAV,1,0.0,True
GALINHOS,2017,JAM,1,1.0,False
GALINHOS,2017,JAV,1,2.0,False
GALINHOS,2017,PED,2,89.0,False
GALINHOS,2017,PQM,0,3.0,False
GALINHOS,2017,PQV,0,8.0,False
GALINHOS,2018,BMG,0,0.0,True
GALINHOS,2018,BMM,5,15.6,False
GALINHOS,2018,BMP,3,3.6,False
GALINHOS,2018,BOM,1,0.3,False
GALINHOS,2018,BOV,4,1.9,False
GALINHOS,2018,CAM,28,48.5,False
GALINHOS,2018,CAR,0,0.0,True
GALINHOS,2018,CAV,1,0.1,False
GALINHOS,2018,JAM,1,0.2,False
GALINHOS,2018,JAV,0,0.0,True
GALINHOS,2018,PED,3,5.7,False
GALINHOS,2018,PQM,0,0.0,True
GALINHOS,2018,PQV,0,0.0,True
GALINHOS,2019,BMG,0,0.0,True
GALINHOS,2019,BMM,10,34.6,False
GALINHOS,2019,BMP,4,7.8,False
GALINHOS,2019,BOM,1,1.5,False
GALINHOS,2019,BOV,5,10.3,False
GALINHOS,2019,CAM,30,147.4,False
GALINHOS,2019,CAR,0,0.0,True
GALINHOS,2019,CAV,0,0.0,True
GALINHOS,2019,JAM,2,1.9,False
GALINHOS,2019,JAV,0,0.0,True
GALINHOS,2019,PED,3,19.0,False
GALINHOS,2019,PQM,0,0.0,True
GALINHOS,2019,PQV,0,0.0,True
GALINHOS,2020,BMG,0,0.0,True
GALINHOS,2020,BMM,7,18.4,False
GALINHOS,2020,BMP,4,5.4,False
GALINHOS,2020,BOM,1,1.2,False
GALINHOS,2020,BOV,4,7.2,False
GALINHOS,2020,CAM,29,130.3,False
GALINHOS,2020,CAR,0,0.0,True
GALINHOS,2020,CAV,0,0.0,True
GALINHOS,2020,JAM,2,1.7,False
GALINHOS,2020,JAV,0,0.0,True
GALINHOS,2020,PED,3,15.4,False
GALINHOS,2020,PQM,0,0.0,True
GALINHOS,2020,PQV,0,0.0,True
GALINHOS,2021,BMG,0,0.0,True
GALINHOS,2021,BMM,7,26.619,False
GALINHOS,2021,BMP,5,14.885,False
GALINHOS,2021,BOM,1,0.835,False
GALINHOS,2021,BOV,3,10.171,False
GALINHOS,2021,CAM,28,122.757,False
GALINHOS,2021,CAR,0,0.0,True
GALINHOS,2021,CAV,0,0.0,True
GALINHOS,2021,JAM,1,2.274,False
GALINHOS,2021,JAV,0,0.0,True
GALINHOS,2021,PED,4,16.713,False
GALINHOS,2021,PQM,0,0.0,True
GALINHOS,2021,PQV,0,0.0,True
GALINHOS,2022,BMG,0,0.0,True
GALINHOS,2022,BMM,6,19.0,False
GALINHOS,2022,BMP,6,13.0,False
GALINHOS,2022,BOM,2,2.0,False
GALINHOS,2022,BOV,3,5.0,False
GALINHOS,2022,CAM,25,138.0,False
GALINHOS,2022,CAR,0,0.0,True
GALINHOS,2022,CAV,0,0.0,True
GALINHOS,2022,JAM,2,3.0,False
GALINHOS,2022,JAV,0,0.0,True
GALINHOS,2022,PED,4,18.0,False
GALINHOS,2022,PQM,0,0.0,True
GALINHOS,2022,PQV,0,0.0,True
GALINHOS,2023,BMG,0,0.0,True
GALINHOS,2023,BMM,7,24.0,False
GALINHOS,2023,BMP,5,15.0,False
GALINHOS,2023,BOM,2,3.0,False
GALINHOS,2023,BOV,2,5.0,False
GALINHOS,2023,CAM,28,170.0,False
GALINHOS,2023,CAR,0,0.0,True
GALINHOS,2023,CAV,0,0.0,True
GALINHOS,2023,JAM,1,2.0,False
GALINHOS,2023,JAV,0,0.0,True
GALINHOS,2023,PED,4,13.0,False
GALINHOS,2023,PQM,0,0.0,True
GALINHOS,2023,PQV,0,0.0,True
GALINHOS,2024,BMG,0,0.0,True
GALINHOS,2024,BMM,7,23.0,False
GALINHOS,2024,BMP,6,16.0,False
GALINHOS,2024,BOM,3,6.0,False
GALINHOS,2024,BOV,1,2.0,False
GALINHOS,2024,CAM,25,109.0,False
GALINHOS,2024,CAR,0,0.0,True
GALINHOS,2024,CAV,0,0.0,True
GALINHOS,2024,JAM,1,1.0,False
GALINHOS,2024,JAV,0,0.0,True
GALINHOS,2024,PED,6,22.0,False
GALINHOS,2024,PQM,0,0.0,True
GALINHOS,2024,PQV,0,0.0,True
GROSSOS,2003,BMM,1,0.82,False
GROSSOS,2005,BMM,2,2.77,False
GROSSOS,2007,BMM,1,1.3,False
GROSSOS,2009,BMM,10,29.595,False
GROSSOS,2009,BMP,2,0.484,False
GROSSOS,2009,BOM,0,0.0,True
GROSSOS,2009,BOV,11,4.193,False
GROSSOS,2009,CAM,1,0.597,False
GROSSOS,2009,CAV,34,22.355,False
GROSSOS,2009,JAV,4,0.0,True
GROSSOS,2009,PED,6,1.023,False
GROSSOS,2009,PQM,17,12.43,False
GROSSOS,2009,PQV,8,1.458,False
GROSSOS,2010,BMG,0,0.0,True
GROSSOS,2010,BMM,10,37.538,False
GROSSOS,2010,BMP,4,2.589,False
GROSSOS,2010,BOM,0,0.0,True
GROSSOS,2010,BOV,9,4.609,False
GROSSOS,2010,CAM,17,6.219,False
GROSSOS,2010,CAR,5,4.140000000000001,False
GROSSOS,2010,CAV,20,30.055,False
GROSSOS,2010,JAV,4,0.0,True
GROSSOS,2010,PED,7,5.88,False
GROSSOS,2010,PQM,10,16.377,False
GROSSOS,2010,PQR,0,0.0,True
GROSSOS,2010,PQV,10,0.604,False
GROSSOS,2011,BMG,0,0.0,True
GROSSOS,2011,BMM,10,42.126,False
GROSSOS,2011,BMP,2,2.409,False
GROSSOS,2011,BOM,3,0.523,False
GROSSOS,2011,BOV,5,2.35,False
GROSSOS,2011,CAM,7,25.342,False
GROSSOS,2011,CAR,5,10.34,False
GROSSOS,2011,CAV,15,9.409,False
GROSSOS,2011,JAM,1,0.225,False
GROSSOS,2011,JAV,3,0.0,True
GROSSOS,2011,PED,8,1.201,False
GROSSOS,2011,PQM,16,8.142,False
GROSSOS,2011,PQR,6,0.383,False
GROSSOS,2011,PQV,8,0.746,False
GROSSOS,2012,BMG,0,0.0,True
GROSSOS,2012,BMM,9,23.5,False
GROSSOS,2012,BMP,0,0.2,False
GROSSOS,2012,BOM,3,0.9,False
GROSSOS,2012,BOV,6,2.2,False
GROSSOS,2012,CAM,16,35.2,False
GROSSOS,2012,CAR,4,8.8,False
GROSSOS,2012,CAV,12,14.1,False
GROSSOS,2012,JAM,1,0.0,True
GROSSOS,2012,JAV,2,0.0,True
GROSSOS,2012,PED,12,1.4,False
GROSSOS,2012,PQM,16,9.9,False
GROSSOS,2012,PQV,7,0.7,False
GROSSOS,2013,BMG,0,0.2,False
GROSSOS,2013,BMM,6,23.5,False
GROSSOS,2013,BMP,0,0.0,True
GROSSOS,2013,BOM,2,1.6,False
GROSSOS,2013,BOV,1,1.17,False
GROSSOS,2013,CAM,9,25.8,False
GROSSOS,2013,CAR,3,4.1,False
GROSSOS,2013,CAV,4,8.0,False
GROSSOS,2013,JAM,0,0.0,True
GROSSOS,2013,JAV,0,0.0,True
GROSSOS,2013,PED,6,1.2,False
GROSSOS,2013,PQM,6,11.93,False
GROSSOS,2013,PQV,2,0.8,False
GROSSOS,2014,BMG,0,0.0,True
GROSSOS,2014,BMM,3,6.9,False
GROSSOS,2014,BMP,0,0.0,True
GROSSOS,2014,BOM,2,1.0,False
GROSSOS,2014,BOV,0,0.0,True
GROSSOS,2014,CAM,11,14.3,False
GROSSOS,2014,CAR,4,3.1,False
GROSSOS,2014,CAV,5,4.6,False
GROSSOS,2014,JAM,0,0.0,True
GROSSOS,2014,JAV,0,0.1,False
GROSSOS,2014,PED,7,0.8,False
GROSSOS,2014,PQM,5,4.2,False
GROSSOS,2014,PQV,2,0.9,False
GROSSOS,2015,BMG,1,2.1,False
GROSSOS,2015,BMM,4,8.6,False
GROSSOS,2015,BMP,0,0.0,True
GROSSOS,2015,BOM,2,1.0,False
GROSSOS,2015,BOV,0,0.0,True
GROSSOS,2015,CAM,10,13.3,False
GROSSOS,2015,CAR,2,1.7,False
GROSSOS,2015,CAV,4,4.2,False
GROSSOS,2015,JAM,0,0.0,True
GROSSOS,2015,JAV,1,0.3,False
GROSSOS,2015,PED,5,0.6,False
GROSSOS,2015,PQM,4,2.5,False
GROSSOS,2015,PQV,2,0.4,False
GROSSOS,2016,BMG,1,2.0,False
GROSSOS,2016,BMM,6,21.0,False
GROSSOS,2016,BMP,1,0.0,True
GROSSOS,2016,BOM,4,2.0,False
GROSSOS,2016,BOV,0,0.0,True
GROSSOS,2016,CAM,10,28.0,False
GROSSOS,2016,CAR,3,4.0,False
GROSSOS,2016,CAV,4,9.0,False
GROSSOS,2016,JAM,0,0.0,True
GROSSOS,2016,JAV,0,0.0,True
GROSSOS,2016,PED,5,1.0,False
GROSSOS,2016,PQM,5,7.0,False
GROSSOS,2016,PQV,1,1.0,False
GROSSOS,2017,BMG,1,1.0,False
GROSSOS,2017,BMM,3,0.0,True
GROSSOS,2017,BMP,0,4.0,False
GROSSOS,2017,BOM,1,19.0,False
GROSSOS,2017,BOV,1,2.0,False
GROSSOS,2017,CAM,17,0.0,True
GROSSOS,2017,CAR,3,1.0,False
GROSSOS,2017,CAV,3,8.0,False
GROSSOS,2017,JAM,0,9.0,False
GROSSOS,2017,JAV,1,0.0,True
GROSSOS,2017,PED,7,28.0,False
GROSSOS,2017,PQM,5,1.0,False
GROSSOS,2017,PQV,3,0.0,True
GROSSOS,2018,BMG,1,0.7,False
GROSSOS,2018,BMM,2,6.6,False
GROSSOS,2018,BMP,0,0.0,True
GROSSOS,2018,BOM,2,0.5,False
GROSSOS,2018,BOV,1,0.2,False
GROSSOS,2018,CAM,8,6.6,False
GROSSOS,2018,CAR,2,0.7,False
GROSSOS,2018,CAV,0,0.0,True
GROSSOS,2018,JAM,2,0.9,False
GROSSOS,2018,JAV,0,0.0,True
GROSSOS,2018,PED,0,0.0,True
GROSSOS,2018,PQM,5,1.7,False
GROSSOS,2018,PQV,0,0.0,True
GROSSOS,2019,BMG,1,2.6,False
GROSSOS,2019,BMM,1,9.4,False
GROSSOS,2019,BMP,0,0.0,True
GROSSOS,2019,BOM,2,0.9,False
GROSSOS,2019,BOV,0,0.8,False
GROSSOS,2019,CAM,7,12.1,False
GROSSOS,2019,CAR,2,1.7,False
GROSSOS,2019,CAV,0,0.0,True
GROSSOS,2019,JAM,3,2.7,False
GROSSOS,2019,JAV,0,0.0,True
GROSSOS,2019,PED,0,0.0,True
GROSSOS,2019,PQM,5,3.7,False
GROSSOS,2019,PQV,1,0.5,False
GROSSOS,2020,BMG,0,1.1,False
GROSSOS,2020,BMM,0,0.6,False
GROSSOS,2020,BMP,0,0.0,True
GROSSOS,2020,BOM,2,0.7,False
GROSSOS,2020,BOV,1,3.6,False
GROSSOS,2020,CAM,6,160.9,False
GROSSOS,2020,CAR,1,1.2,False
GROSSOS,2020,CAV,0,0.0,True
GROSSOS,2020,JAM,3,5.2,False
GROSSOS,2020,JAV,0,0.0,True
GROSSOS,2020,PED,0,0.0,True
GROSSOS,2020,PQM,5,2.7,False
GROSSOS,2020,PQV,0,0.1,False
GROSSOS,2021,BMG,1,1.168,False
GROSSOS,2021,BMM,1,2.228,False
GROSSOS,2021,BMP,0,0.0,True
GROSSOS,2021,BOM,2,0.905,False
GROSSOS,2021,BOV,1,1.402,False
GROSSOS,2021,CAM,6,14.598,False
GROSSOS,2021,CAR,1,1.199,False
GROSSOS,2021,CAV,0,0.0,True
GROSSOS,2021,JAM,3,2.929,False
GROSSOS,2021,JAV,0,0.0,True
GROSSOS,2021,PED,2,0.296,False
GROSSOS,2021,PQM,5,3.124,False
GROSSOS,2021,PQV,1,0.536,False
GROSSOS,2022,BMG,1,1.0,False
GROSSOS,2022,BMM,1,1.0,False
GROSSOS,2022,BMP,0,0.0,True
GROSSOS,2022,BOM,2,1.0,False
GROSSOS,2022,BOV,0,0.0,True
GROSSOS,2022,CAM,8,19.0,False
GROSSOS,2022,CAR,2,2.0,False
GROSSOS,2022,CAV,0,0.0,True
GROSSOS,2022,JAM,2,2.0,False
GROSSOS,2022,JAV,0,0.0,True
GROSSOS,2022,PED,5,1.0,False
GROSSOS,2022,PQM,4,3.0,False
GROSSOS,2022,PQV,1,0.0,True
GROSSOS,2023,BMG,1,2.0,False
GROSSOS,2023,BMM,1,1.0,False
GROSSOS,2023,BMP,0,0.0,True
GROSSOS,2023,BOM,2,3.0,False
GROSSOS,2023,BOV,0,0.0,True
GROSSOS,2023,CAM,9,16.0,False
GROSSOS,2023,CAR,2,1.0,False
GROSSOS,2023,CAV,0,0.0,True
GROSSOS,2023,JAM,3,4.0,False
GROSSOS,2023,JAV,0,0.0,True
GROSSOS,2023,PED,4,1.0,False
GROSSOS,2023,PQM,4,5.0,False
GROSSOS,2023,PQV,0,0.0,True
GROSSOS,2024,BMG,0,0.0,True
GROSSOS,2024,BMM,1,1.0,False
GROSSOS,2024,BMP,1,1.0,False
GROSSOS,2024,BOM,2,2.0,False
GROSSOS,2024,BOV,0,0.0,True
GROSSOS,2024,CAM,8,14.0,False
GROSSOS,2024,CAR,2,2.0,False
GROSSOS,2024,CAV,0,0.0,True
GROSSOS,2024,JAM,3,3.0,False
GROSSOS,2024,JAV,0,0.0,True
GROSSOS,2024,PED,4,0.0,True
GROSSOS,2024,PQM,4,3.0,False
GROSSOS,2024,PQV,0,0.0,True
GUAMARE,2001,BMG,2,2.8,False
GUAMARE,2001,BMM,5,3.06,False
GUAMARE,2001,BMP,9,8.27,False
GUAMARE,2001,BOV,5,0.81,False
GUAMARE,2001,CAV,29,20.94,False
GUAMARE,2001,PED,4,4.92,False
GUAMARE,2001,PQM,3,1.84,False
GUAMARE,2002,BMG,1,1.53,False
GUAMARE,2002,BMM,11,12.84,False
GUAMARE,2002,BMP,13,12.54,False
GUAMARE,2002,BOV,3,0.37,False
GUAMARE,2002,CAV,47,34.46,False
GUAMARE,2002,PED,6,10.51,False
GUAMARE,2002,PQM,1,1.13,False
GUAMARE,2003,BMM,9,13.65,False
GUAMARE,2003,BMP,5,6.95,False
GUAMARE,2003,BOV,3,1.55,False
GUAMARE,2003,CAV,55,40.2,False
GUAMARE,2003,PED,1,4.45,False
GUAMARE,2003,PQM,1,0.88,False
GUAMARE,2004,BMM,15,38.21,False
GUAMARE,2004,BMP,10,16.86,False
GUAMARE,2004,BOV,3,1.44,False
GUAMARE,2004,CAV,57,76.3,False
GUAMARE,2004,PED,1,16.23,False
GUAMARE,2004,PQM,1,0.02,False
GUAMARE,2005,BMM,11,18.7,False
GUAMARE,2005,BMP,8,11.69,False
GUAMARE,2005,BOV,1,0.58,False
GUAMARE,2005,CAV,51,41.22,False
GUAMARE,2005,PED,1,9.98,False
GUAMARE,2006,BMM,10,10.73,False
GUAMARE,2006,BMP,7,6.67,False
GUAMARE,2006,BOV,2,1.2,False
GUAMARE,2006,CAM,6,3.18,False
GUAMARE,2006,CAV,24,18.68,False
GUAMARE,2006,PED,1,8.1,False
GUAMARE,2006,PQM,1,0.37,False
GUAMARE,2007,BMM,14,14.28,False
GUAMARE,2007,BMP,7,7.88,False
GUAMARE,2007,BOV,1,0.45,False
GUAMARE,2007,CAM,10,7.32,False
GUAMARE,2007,CAV,15,7.8,False
GUAMARE,2007,PED,2,13.91,False
GUAMARE,2007,PQM,2,0.29,False
GUAMARE,2008,BMM,23,312.41,False
GUAMARE,2008,BMP,11,28.48,False
GUAMARE,2008,BOV,2,0.3,False
GUAMARE,2008,CAM,33,32.96,False
GUAMARE,2008,CAV,45,44.63,False
GUAMARE,2008,PED,10,43.28,False
GUAMARE,2008,PQM,1,0.71,False
GUAMARE,2009,BMG,1,3.388,False
GUAMARE,2009,BMM,9,132.106,False
GUAMARE,2009,BMP,6,41.171,False
GUAMARE,2009,BOM,0,0.0,True
GUAMARE,2009,CAM,47,103.028,False
GUAMARE,2009,CAV,36,58.58199999999999,False
GUAMARE,2009,JAV,0,0.0,True
GUAMARE,2009,PED,7,99.556,False
GUAMARE,2009,PQM,0,0.0,True
GUAMARE,2009,PQV,1,0.394,False
GUAMARE,2010,BMG,1,17.79,False
GUAMARE,2010,BMM,10,84.81899999999999,False
GUAMARE,2010,BMP,12,44.071,False
GUAMARE,2010,BOM,0,0.0,True
GUAMARE,2010,BOV,4,4.19,False
GUAMARE,2010,CAM,52,124.763,False
GUAMARE,2010,CAR,0,0.0,True
GUAMARE,2010,CAV,18,15.869,False
GUAMARE,2010,JAV,0,0.0,True
GUAMARE,2010,PED,8,71.055,False
GUAMARE,2010,PQM,0,0.0,True
GUAMARE,2010,PQR,0,0.0,True
GUAMARE,2010,PQV,0,1.882,False
GUAMARE,2011,BMG,1,10.64,False
GUAMARE,2011,BMM,7,99.386,False
GUAMARE,2011,BMP,6,36.802,False
GUAMARE,2011,BOM,4,3.061,False
GUAMARE,2011,BOV,0,0.734,False
GUAMARE,2011,CAM,50,119.703,False
GUAMARE,2011,CAR,0,0.0,True
GUAMARE,2011,CAV,9,7.105,False
GUAMARE,2011,JAM,1,0.266,False
GUAMARE,2011,JAV,0,0.0,True
GUAMARE,2011,PED,11,68.434,False
GUAMARE,2011,PQM,0,0.018,False
GUAMARE,2011,PQR,1,0.0,True
GUAMARE,2011,PQV,1,0.502,False
GUAMARE,2012,BMG,0,0.0,True
GUAMARE,2012,BMM,9,17.7,False
GUAMARE,2012,BMP,7,12.7,False
GUAMARE,2012,BOM,2,5.6,False
GUAMARE,2012,BOV,2,11.8,False
GUAMARE,2012,CAM,64,98.69999999999999,False
GUAMARE,2012,CAR,0,0.0,True
GUAMARE,2012,CAV,7,1.2,False
GUAMARE,2012,JAM,0,0.0,True
GUAMARE,2012,JAV,0,0.0,True
GUAMARE,2012,PED,10,33.2,False
GUAMARE,2012,PQM,3,2.7,False
GUAMARE,2012,PQV,0,0.0,True
GUAMARE,2013,BMG,0,0.0,True
GUAMARE,2013,BMM,6,46.2,False
GUAMARE,2013,BMP,1,8.8,False
GUAMARE,2013,BOM,1,0.9,False
GUAMARE,2013,BOV,1,3.7,False
GUAMARE,2013,CAM,43,100.8,False
GUAMARE,2013,CAR,0,0.0,True
GUAMARE,2013,CAV,2,1.7,False
GUAMARE,2013,JAM,0,0.0,True
GUAMARE,2013,JAV,0,0.0,True
GUAMARE,2013,PED,4,30.9,False
GUAMARE,2013,PQM,0,1.2,False
GUAMARE,2013,PQV,1,0.8,False
GUAMARE,2014,BMG,0,0.0,True
GUAMARE,2014,BMM,5,16.6,False
GUAMARE,2014,BMP,3,8.6,False
GUAMARE,2014,BOM,2,2.4,False
GUAMARE,2014,BOV,1,5.1,False
GUAMARE,2014,CAM,50,57.0,False
GUAMARE,2014,CAR,0,0.0,True
GUAMARE,2014,CAV,1,0.3,False
GUAMARE,2014,JAM,0,0.0,True
GUAMARE,2014,JAV,0,0.0,True
GUAMARE,2014,PED,3,12.1,False
GUAMARE,2014,PQM,0,0.1,False
GUAMARE,2014,PQV,1,0.1,False
GUAMARE,2015,BMG,0,0.0,True
GUAMARE,2015,BMM,7,23.5,False
GUAMARE,2015,BMP,2,3.5,False
GUAMARE,2015,BOM,2,1.1,False
GUAMARE,2015,BOV,2,4.5,False
GUAMARE,2015,CAM,53,69.8,False
GUAMARE,2015,CAR,0,0.0,True
GUAMARE,2015,CAV,1,0.3,False
GUAMARE,2015,JAM,0,0.0,True
GUAMARE,2015,JAV,0,0.0,True
GUAMARE,2015,PED,4,13.9,False
GUAMARE,2015,PQM,1,0.3,False
GUAMARE,2015,PQV,1,0.1,False
GUAMARE,2016,BMG,0,0.0,True
GUAMARE,2016,BMM,6,50.0,False
GUAMARE,2016,BMP,2,8.0,False
GUAMARE,2016,BOM,2,3.0,False
GUAMARE,2016,BOV,2,10.0,False
GUAMARE,2016,CAM,48,130.0,False
GUAMARE,2016,CAR,0,0.0,True
GUAMARE,2016,CAV,2,0.0,True
GUAMARE,2016,JAM,0,0.0,True
GUAMARE,2016,JAV,0,0.0,True
GUAMARE,2016,PED,4,24.0,False
GUAMARE,2016,PQM,1,1.0,False
GUAMARE,2016,PQV,1,0.0,True
GUAMARE,2017,BMG,0,0.0,True
GUAMARE,2017,BMM,5,9.0,False
GUAMARE,2017,BMP,2,0.0,True
GUAMARE,2017,BOM,1,46.0,False
GUAMARE,2017,BOV,1,2.0,False
GUAMARE,2017,CAM,49,8.0,False
GUAMARE,2017,CAR,0,28.0,False
GUAMARE,2017,CAV,1,1.0,False
GUAMARE,2017,JAM,0,1.0,False
GUAMARE,2017,JAV,0,0.0,True
GUAMARE,2017,PED,4,136.0,False
GUAMARE,2017,PQM,1,0.0,True
GUAMARE,2017,PQV,1,0.0,True
GUAMARE,2018,BMG,0,1.2,False
GUAMARE,2018,BMM,4,11.7,False
GUAMARE,2018,BMP,1,2.5,False
GUAMARE,2018,BOM,1,2.0,False
GUAMARE,2018,BOV,1,0.2,False
GUAMARE,2018,CAM,44,58.4,False
GUAMARE,2018,CAR,0,0.0,True
GUAMARE,2018,CAV,2,0.6,False
GUAMARE,2018,JAM,0,0.0,True
GUAMARE,2018,JAV,0,0.0,True
GUAMARE,2018,PED,5,34.7,False
GUAMARE,2018,PQM,0,0.0,True
GUAMARE,2018,PQV,1,0.6,False
GUAMARE,2019,BMG,0,6.2,False
GUAMARE,2019,BMM,6,58.0,False
GUAMARE,2019,BMP,1,5.9,False
GUAMARE,2019,BOM,1,2.2,False
GUAMARE,2019,BOV,1,1.2,False
GUAMARE,2019,CAM,50,115.6,False
GUAMARE,2019,CAR,0,0.0,True
GUAMARE,2019,CAV,1,1.1,False
GUAMARE,2019,JAM,0,0.0,True
GUAMARE,2019,JAV,0,0.0,True
GUAMARE,2019,PED,4,105.7,False
GUAMARE,2019,PQM,0,0.0,True
GUAMARE,2019,PQV,1,0.4,False
GUAMARE,2020,BMG,1,10.7,False
GUAMARE,2020,BMM,7,30.6,False
GUAMARE,2020,BMP,3,11.8,False
GUAMARE,2020,BOM,2,3.7,False
GUAMARE,2020,BOV,0,0.0,True
GUAMARE,2020,CAM,46,86.4,False
GUAMARE,2020,CAR,0,0.0,True
GUAMARE,2020,CAV,1,0.4,False
GUAMARE,2020,JAM,0,0.0,True
GUAMARE,2020,JAV,0,0.0,True
GUAMARE,2020,PED,3,45.2,False
GUAMARE,2020,PQM,0,0.0,True
GUAMARE,2020,PQV,0,0.1,False
GUAMARE,2021,BMG,1,16.592,False
GUAMARE,2021,BMM,7,28.119,False
GUAMARE,2021,BMP,3,12.135,False
GUAMARE,2021,BOM,0,0.0,True
GUAMARE,2021,BOV,1,0.372,False
GUAMARE,2021,CAM,44,71.696,False
GUAMARE,2021,CAR,0,0.0,True
GUAMARE,2021,CAV,1,0.653,False
GUAMARE,2021,JAM,0,0.0,True
GUAMARE,2021,JAV,0,0.0,True
GUAMARE,2021,PED,4,73.86,False
GUAMARE,2021,PQM,0,0.0,True
GUAMARE,2021,PQV,0,0.0,True
GUAMARE,2022,BMG,1,18.0,False
GUAMARE,2022,BMM,9,50.0,False
GUAMARE,2022,BMP,5,21.0,False
GUAMARE,2022,BOM,0,0.0,True
GUAMARE,2022,BOV,1,1.0,False
GUAMARE,2022,CAM,49,86.0,False
GUAMARE,2022,CAR,0,0.0,True
GUAMARE,2022,CAV,1,0.0,True
GUAMARE,2022,JAM,0,0.0,True
GUAMARE,2022,JAV,0,0.0,True
GUAMARE,2022,PED,5,164.0,False
GUAMARE,2022,PQM,1,2.0,False
GUAMARE,2022,PQV,0,0.0,True
GUAMARE,2023,BMG,1,13.0,False
GUAMARE,2023,BMM,9,40.0,False
GUAMARE,2023,BMP,4,17.0,False
GUAMARE,2023,BOM,0,0.0,True
GUAMARE,2023,BOV,0,0.0,True
GUAMARE,2023,CAM,47,154.0,False
GUAMARE,2023,CAR,0,0.0,True
GUAMARE,2023,CAV,1,0.0,True
