local,year,boat_type,vessels_monitored,fleet_production_ton,zero_production_flag
AREIA BRANCA,2015,CAM,1,0.7,False
AREIA BRANCA,2015,CAR,1,0.8,False
AREIA BRANCA,2015,CAV,3,1.0,False
AREIA BRANCA,2015,JAM,9,15.3,False
AREIA BRANCA,2015,JAV,19,15.2,False
AREIA BRANCA,2015,PED,6,0.5,False
AREIA BRANCA,2015,PQM,2,1.2,False
AREIA BRANCA,2015,PQV,4,1.7,False
AREIA BRANCA,2016,BMG,26,2728.0,False
AREIA BRANCA,2016,BMM,26,206.0,False
AREIA BRANCA,2016,BMP,10,31.0,False
AREIA BRANCA,2016,BOM,7,19.0,False
AREIA BRANCA,2016,BOV,11,19.0,False
AREIA BRANCA,2016,CAM,1,1.0,False
AREIA BRANCA,2016,CAR,1,2.0,False
AREIA BRANCA,2016,CAV,3,4.0,False
AREIA BRANCA,2016,JAM,9,20.0,False
AREIA BRANCA,2016,JAV,16,30.0,False
AREIA BRANCA,2016,PED,5,2.0,False
AREIA BRANCA,2016,PQM,2,2.0,False
AREIA BRANCA,2016,PQV,7,5.0,False
AREIA BRANCA,2017,BMG,21,2665.0,False
AREIA BRANCA,2017,BMM,20,32.0,False
AREIA BRANCA,2017,BMP,9,1.0,False
AREIA BRANCA,2017,BOM,5,208.0,False
AREIA BRANCA,2017,BOV,7,20.0,False
AREIA BRANCA,2017,CAM,0,19.0,False
AREIA BRANCA,2017,CAR,0,2.0,False
AREIA BRANCA,2017,CAV,2,1.0,False
AREIA BRANCA,2017,JAM,11,3.0,False
AREIA BRANCA,2017,JAV,17,21.0,False
AREIA BRANCA,2017,PED,2,1.0,False
AREIA BRANCA,2017,PQM,1,6.0,False
AREIA BRANCA,2017,PQV,4,26.0,False
AREIA BRANCA,2018,BMG,30,2065.9,False
AREIA BRANCA,2018,BMM,22,119.3,False
AREIA BRANCA,2018,BMP,6,67.6,False
AREIA BRANCA,2018,BOM,1,0.1,False
AREIA BRANCA,2018,BOV,4,2.3,False
AREIA BRANCA,2018,CAM,0,0.0,True
AREIA BRANCA,2018,CAR,0,0.0,True
AREIA BRANCA,2018,CAV,1,0.0,True
AREIA BRANCA,2018,JAM,16,18.4,False
AREIA BRANCA,2018,JAV,12,4.8,False
AREIA BRANCA,2018,PED,4,0.6,False
AREIA BRANCA,2018,PQM,3,4.2,False
AREIA BRANCA,2018,PQV,4,0.8,False
AREIA BRANCA,2019,BMG,32,3601.8,False
AREIA BRANCA,2019,BMM,22,253.0,False
AREIA BRANCA,2019,BMP,7,116.2,False
AREIA BRANCA,2019,BOM,1,3.2,False
AREIA BRANCA,2019,BOV,4,5.4,False
AREIA BRANCA,2019,CAM,0,0.0,True
AREIA BRANCA,2019,CAR,0,0.0,True
AREIA BRANCA,2019,CAV,1,0.0,True
AREIA BRANCA,2019,JAM,24,50.1,False
AREIA BRANCA,2019,JAV,12,15.4,False
