local,year,species,sp_production_ton
AREIA BRANCA,2009,Budiao,0.1636
AREIA BRANCA,2009,Caico,23.5854
AREIA BRANCA,2009,Camarao,122.708
AREIA BRANCA,2009,Camurim,4.4671
AREIA BRANCA,2009,Camurupim,0.1416
AREIA BRANCA,2009,Cangulo,0.0209
AREIA BRANCA,2009,Caranguejo,0.0
AREIA BRANCA,2009,Carapeba,4.9691
AREIA BRANCA,2009,Cavala,14.0122
AREIA BRANCA,2009,Caçao,15.3729
AREIA BRANCA,2009,Cioba,32.2527
AREIA BRANCA,2009,Cururuca,15.0659
AREIA BRANCA,2009,Dentao,1.6801
AREIA BRANCA,2009,Dourado,4.7082
AREIA BRANCA,2009,Espada,0.0
AREIA BRANCA,2009,Garajuba,38.2889
AREIA BRANCA,2009,Garoupa,1.2509
AREIA BRANCA,2009,Guaiuba,11.6065
AREIA BRANCA,2009,Lagosta,76.1594
AREIA BRANCA,2009,Outros,7.694699999999999
AREIA BRANCA,2009,Pargo,0.7988
AREIA BRANCA,2009,Peixe Voador,0.02
AREIA BRANCA,2009,Pescada,12.9518
AREIA BRANCA,2009,Polvo,0.0001
AREIA BRANCA,2009,Salema,17.1791
AREIA BRANCA,2009,Sardinha,0.3176
AREIA BRANCA,2009,Serra,22.7326
AREIA BRANCA,2009,Sirigado,18.3837
AREIA BRANCA,2009,Tainha,7.411300000000001
AREIA BRANCA,2009,Xareu,2.6024
AREIA BRANCA,2010,Agulha,5.514
AREIA BRANCA,2010,Agulhao,4.834
AREIA BRANCA,2010,Albacora,256.01
AREIA BRANCA,2010,Albacorinha,0.647
AREIA BRANCA,2010,Arabaiana,1.621
AREIA BRANCA,2010,Ariaco,34.119
AREIA BRANCA,2010,Arraia,7.334
AREIA BRANCA,2010,Bagre,7.043
AREIA BRANCA,2010,Biquara,4.920999999999999
AREIA BRANCA,2010,Bonito,7.086
AREIA BRANCA,2010,Budiao,0.146
AREIA BRANCA,2010,Caico,57.981
AREIA BRANCA,2010,Camarao,11.419
AREIA BRANCA,2010,Camurim,3.877
AREIA BRANCA,2010,Camurupim,1.951
AREIA BRANCA,2010,Cangulo,0.096
AREIA BRANCA,2010,Caranguejo,0.0
AREIA BRANCA,2010,Carapeba,2.864
AREIA BRANCA,2010,Cavala,18.679
AREIA BRANCA,2010,Caçao,16.47
AREIA BRANCA,2010,Cioba,19.297
AREIA BRANCA,2010,Cururuca,28.441
AREIA BRANCA,2010,Dentao,2.208
AREIA BRANCA,2010,Dourado,6.002
AREIA BRANCA,2010,Garajuba,20.076
AREIA BRANCA,2010,Garoupa,1.046
AREIA BRANCA,2010,Guaiuba,12.628
AREIA BRANCA,2010,Lagosta,85.34899999999999
AREIA BRANCA,2010,Outros,10.45
AREIA BRANCA,2010,Pargo,0.888
AREIA BRANCA,2010,Peixe Voador,0.0
AREIA BRANCA,2010,Pescada,8.02
AREIA BRANCA,2010,Polvo,0.0
AREIA BRANCA,2010,Salema,7.878
AREIA BRANCA,2010,Sardinha,0.211
AREIA BRANCA,2010,Serra,43.806
AREIA BRANCA,2010,Sirigado,6.638
AREIA BRANCA,2010,Tainha,5.261
AREIA BRANCA,2010,Xareu,3.422
AREIA BRANCA,2011,Agulha,9.581
AREIA BRANCA,2011,Agulhao,1.367
AREIA BRANCA,2011,Albacora,127.828
AREIA BRANCA,2011,Arabaiana,3.217
AREIA BRANCA,2011,Ariaco,54.133
AREIA BRANCA,2011,Arraia,7.479
AREIA BRANCA,2011,Bagre,8.413
AREIA BRANCA,2011,Beijupira,1.999
AREIA BRANCA,2011,Bicuda,0.895
AREIA BRANCA,2011,Biquara,16.231
AREIA BRANCA,2011,Bonito,10.751
AREIA BRANCA,2011,Budiao,0.217
AREIA BRANCA,2011,Buzios,0.009
AREIA BRANCA,2011,Caico,21.809
AREIA BRANCA,2011,Camarao,7.577
AREIA BRANCA,2011,Camurim,5.09
AREIA BRANCA,2011,Camurupim,4.807
AREIA BRANCA,2011,Cangulo,0.408
AREIA BRANCA,2011,Caranguejo,0.0
AREIA BRANCA,2011,Carapeba,3.891
AREIA BRANCA,2011,Carauna,0.033
AREIA BRANCA,2011,Cavala,8.115
AREIA BRANCA,2011,Caçao,13.395
AREIA BRANCA,2011,Cioba,23.859
AREIA BRANCA,2011,Cururuca,35.832
AREIA BRANCA,2011,Dentao,2.616
AREIA BRANCA,2011,Dourado,4.64
AREIA BRANCA,2011,Espada,2.742
AREIA BRANCA,2011,Garabebeu,0.006
AREIA BRANCA,2011,Garajuba,20.065
AREIA BRANCA,2011,Garoupa,2.749
AREIA BRANCA,2011,Guaiuba,11.41
AREIA BRANCA,2011,Lagosta,109.562
AREIA BRANCA,2011,Marisco,0.0
AREIA BRANCA,2011,Outros,119.883
AREIA BRANCA,2011,Pampo,1.072
AREIA BRANCA,2011,Pargo,3.034
AREIA BRANCA,2011,Paru,6.191
AREIA BRANCA,2011,Peixe Galo,0.519
AREIA BRANCA,2011,Peixe Voador,0.0
AREIA BRANCA,2011,Pescada,6.423999999999999
AREIA BRANCA,2011,Pirauna,0.01
AREIA BRANCA,2011,Polvo,0.084
AREIA BRANCA,2011,Salema,2.523
AREIA BRANCA,2011,Saramunete,0.001
AREIA BRANCA,2011,Sardinha,0.185
AREIA BRANCA,2011,Serra,29.689
AREIA BRANCA,2011,Siri,0.256
AREIA BRANCA,2011,Sirigado,6.236
AREIA BRANCA,2011,Tainha,6.313
AREIA BRANCA,2011,Tilapia,0.0
AREIA BRANCA,2011,Xareu,5.195
AREIA BRANCA,2012,Agulha,9.3
AREIA BRANCA,2012,Agulhao,2.6
AREIA BRANCA,2012,Albacora,453.8
AREIA BRANCA,2012,Arabaiana,7.6
AREIA BRANCA,2012,Ariaco,49.5
AREIA BRANCA,2012,Arraia,7.1
AREIA BRANCA,2012,Bagre,8.9
AREIA BRANCA,2012,Beijupira,1.7
AREIA BRANCA,2012,Bicuda,2.1
AREIA BRANCA,2012,Biquara,18.2
AREIA BRANCA,2012,Bonito,11.1
AREIA BRANCA,2012,Budiao,0.3
AREIA BRANCA,2012,Buzios,0.0
AREIA BRANCA,2012,Caico,26.5
AREIA BRANCA,2012,Camarao,0.8
AREIA BRANCA,2012,Camurim,5.1
AREIA BRANCA,2012,Camurupim,1.2
AREIA BRANCA,2012,Cangulo,1.6
AREIA BRANCA,2012,Caranguejo,0.0
AREIA BRANCA,2012,Carapeba,2.3
AREIA BRANCA,2012,Carauna,0.0
AREIA BRANCA,2012,Cavala,18.7
AREIA BRANCA,2012,Caçao,10.7
AREIA BRANCA,2012,Cioba,26.3
AREIA BRANCA,2012,Cururuca,27.6
AREIA BRANCA,2012,Dentao,8.700000000000001
AREIA BRANCA,2012,Dourado,9.399999999999999
AREIA BRANCA,2012,Espada,2.8
AREIA BRANCA,2012,Garabebeu,0.1
AREIA BRANCA,2012,Garajuba,21.1
